" Movie Title"," Distributor"," Gross"," Release"
"Shrek Forever After","Lusomundo","$6,323,776","7/8"
"Alice in Wonderland (2010)","Disney","$3,525,009","3/4"
"Toy Story 3","Lusomundo","$3,456,577","7/29"
"Tangled","Lusomundo","$3,354,699","12/16"
"The Twilight Saga: Eclipse","Lusomundo","$3,215,915","6/30"
"Harry Potter and the Deathly Hallows (Part One)","WB","$2,639,605","11/18"
"Inception","WB","$2,625,003","7/22"
"How to Train Your Dragon","Lusomundo","$2,548,807","3/25"
"Despicable Me","UIP","$2,360,658","10/21"
"Prince of Persia: The Sands of Time","Disney","$2,056,265","5/27"
"Eat Pray Love","Sony","$1,993,935","9/30"
"Robin Hood","Lusomundo","$1,886,136","5/13"
"The Last Airbender","Lusomundo","$1,718,359","8/12"
"The Expendables","Lusomundo","$1,687,774","8/12"
"Due Date","WB","$1,641,765","12/1"
"The Princess and the Frog","Disney","$1,532,519","2/4"
"Little Fockers","Lusomundo","$1,518,686","12/23"
"Salt","Sony","$1,505,756","8/19"
"It's Complicated","UIP","$1,436,315","3/4"
"The Sorcerer's Apprentice","Disney","$1,424,263","8/26"
"Sex and the City 2","WB","$1,422,229","6/3"
"Knight & Day","Castello","$1,408,093","7/15"
"Up in the Air","Lusomundo","$1,371,763","1/21"
"Clash of the Titans (2010)","WB","$1,318,879","4/15"
"Invictus","WB","$1,249,560","1/28"
"Shutter Island","Lusomundo","$1,232,057","2/25"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$1,215,064","12/9"
"Resident Evil: Afterlife","Sony","$1,188,776","9/16"
"Iron Man 2","Lusomundo","$1,132,347","4/29"
"The Social Network","Sony","$1,076,086","11/4"
"Megamind","Lusomundo","$1,036,132","12/1"
"The Karate Kid","Sony","$991,120","9/2"
"Grown Ups","Sony","$977,830","8/5"
"The Town","WB","$977,369","10/14"
"The Wolfman","Lusomundo","$930,826","2/18"
"Cloudy with a Chance of Meatballs","Sony","$926,477","2/11"
"Sammy's Adventures: The Secret Passage","Prisvideo","$916,520","12/9"
"Saw 3D","Prisvideo","$903,034","11/18"
"Wall Street: Money Never Sleeps","Castello","$875,613","9/23"
"Unstoppable","Castello","$814,528","11/25"
"Dinner for Schmucks","Lusomundo","$782,522","9/9"
"The Bounty Hunter","Sony","$745,978","5/6"
"The Blind Side","WB","$712,584","3/25"
"Did You Hear About the Morgans?","Sony","$711,370","1/7"
"Life as We Know It","WB","$702,988","10/28"
"Valentine's Day","WB","$691,806","2/11"
"Red","Lusomundo","$681,137","11/11"
"Date Night","Castello","$638,877","4/8"
"Law Abiding Citizen","Lusomundo","$609,592","4/1"
"Whatever Works","Lusomundo","$608,676","2/4"
"Step Up 3-D","Lusomundo","$607,674","9/9"
"The Switch","Prisvideo","$581,883","9/16"
"Nine","Castello","$581,581","1/14"
"The Book of Eli","Sony","$552,478","3/11"
"The Men Who Stare at Goats","Prisvideo","$544,549","2/4"
