" Movie Title","Distributor","Gross","Release"
"Pirates of the Caribbean: On Stranger Tides (3D)","Lusomundo","$4,232,686","5/20"
"The Smurfs","Sony","$3,960,351","8/11"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$3,859,876","7/14"
"Rio","Castello","$3,688,140","4/14"
"Puss in Boots","Lusomundo","$3,629,151","12/1"
"Cars 2","Lusomundo","$3,490,158","7/7"
"Fast Five","Lusomundo","$3,292,264","5/5"
"The Twilight Saga: Breaking Dawn Part 1","Lusomundo","$3,089,749","11/17"
"The Adventures of Tintin","Sony","$2,706,642","10/27"
"The Tourist","Sony","$2,696,084","1/6"
"The Hangover Part II","WB","$2,637,630","6/2"
"Kung Fu Panda 2","Lusomundo","$2,462,454","6/9"
"Johnny English Reborn","Lusomundo","$2,365,061","10/5"
"Transformers 3","Lusomundo","$2,274,967","6/30"
"The King's Speech","Lusomundo","$2,182,740","2/10"
"Alvin and the Chipmunks: Chipwrecked","Castello","$1,861,099","12/15"
"Black Swan","Fox","$1,776,937","2/3"
"Mission: Impossible - Ghost Protocol","Lusomundo","$1,645,990","12/15"
"Captain America: The First Avenger","Lusomundo","$1,508,941","8/4"
"Thor","Lusomundo","$1,355,963","4/28"
"Midnight in Paris","Lusomundo","$1,292,447","9/15"
"Friends with Benefits","Sony","$1,226,362","8/25"
"Rango","Lusomundo","$1,194,174","3/3"
"Just Go With It","Sony","$1,192,391","4/7"
"No Strings Attached","Lusomundo","$1,182,594","2/10"
"Bad Teacher","Sony","$1,121,602","6/23"
"Horrible Bosses","WB","$1,082,559","8/4"
"Super 8","Lusomundo","$1,080,721","7/28"
"Rise of the Planet of the Apes","Castello","$1,053,935","8/11"
"Hereafter","WB","$1,029,073","1/20"
"Gnomeo and Juliet","Lusomundo","$994,313","3/17"
"Tower Heist","Lusomundo","$913,887","11/10"
"Yogi Bear","WB","$898,894","3/3"
"Konferenz der Tiere (Animals United)","n/a","$878,025","8/4"
"True Grit","Lusomundo","$858,508","2/17"
"The Tree of Life","Lusomundo","$853,987","5/26"
"Tron Legacy","Lusomundo","$811,479","1/13"
"In Time","Fox","$794,989","11/10"
"The Next Three Days","Prisvideo","$789,091","1/27"
"Crazy, Stupid, Love.","WB","$777,066","9/22"
"New Year's Eve","WB","$760,395","12/15"
"The Change-Up","Lusomundo","$734,270","9/15"
"Cowboys & Aliens","Lusomundo","$732,804","8/18"
"The Three Musketeers (2011)","Lusomundo","$730,330","10/13"
"The Adjustment Bureau","Lusomundo","$713,931","3/10"
"Gulliver's Travels","Castello","$691,225","1/20"
"Conan the Barbarian (2011)","Lusomundo","$687,912","8/25"
"X-Men: First Class","Castello","$672,020","6/9"
"Love and Other Drugs","Castello","$649,950","1/27"
"Hop","Lusomundo","$638,390","4/7"
"Contagion","WB","$625,616","10/13"
"Hall Pass","WB","$576,630","3/24"
"Arthur Christmas","Sony","$576,020","11/24"
"Colombiana","Lusomundo","$567,268","9/8"
"Larry Crowne","Lusomundo","$560,507","7/7"
"Killer Elite","Lusomundo","$559,765","9/22"
"Bridesmaids","Lusomundo","$547,598","7/14"
"Immortals","Prisvideo","$533,610","11/24"
"Red Riding Hood","WB","$519,361","4/14"
"The Rite","WB","$504,091","3/10"
"Season of the Witch","Prisvideo","$501,461","3/10"
"Final Destination 5","WB","$491,438","9/1"
"Unknown","WB","$485,588","5/5"
"Hoodwinked 2","Prisvideo","$472,754","9/1"
"Real Steel","Disney","$471,135","11/3"
"Sanctum (3D)","Lusomundo","$461,886","2/17"
"Mr. Popper's Penguins","Fox","$436,565","7/21"
"127 Hours","Fox","$425,503","2/24"
"Limitless","Prisvideo","$418,250","4/28"
"The Dilemma","Lusomundo","$376,160","2/24"
"Happy Feet Two","WB","$375,089","12/8"
"You Will Meet a Tall Dark Stranger","Lusomundo","$363,670","1/20"
"I Am Number Four","Lusomundo","$362,594","3/17"
"Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2)","Lusomundo","$358,622","4/7"
"How Do You Know","Sony","$338,685","3/3"
"Zookeeper","Sony","$338,331","9/8"
"I Don't Know How She Does It","Lusomundo","$333,146","10/20"
"Source Code","Lusomundo","$321,967","4/14"
"Scream 4","Lusomundo","$321,689","4/21"
"Battle: Los Angeles","Sony","$316,225","4/21"
"What's Your Number?","Castello","$315,716","10/27"
"A Dangerous Method","Lusomundo","$315,287","11/24"
"Big Mommas: Like Father, Like Son","Castello","$309,932","3/31"
"Abduction","Prisvideo","$298,999","10/13"
"Paranormal Activity 3","Lusomundo","$289,712","10/20"
"Dream House","Lusomundo","$289,320","9/29"
"Trespass (2011)","Lusomundo","$288,263","12/8"
"The Ides of March","Lusomundo","$284,664","11/10"
"The Fighter","n/a","$279,104","2/10"
"Green Lantern","WB","$271,932","8/18"
"The Lion King (in 3D)","Lusomundo","$265,738","12/22"
"One Day","Castello","$265,361","9/1"
"The Help","Lusomundo","$264,876","10/5"
"Morning Glory","Lusomundo","$256,872","3/24"
"The Green Hornet","Sony","$253,869","2/3"
"The Mechanic","Prisvideo","$239,354","3/17"
"Alpha and Omega","Prisvideo","$237,831","3/24"
"Winx Club 3D: Magic Adventure","Lusomundo","$231,785","3/31"
"Water for Elephants","Fox","$226,218","5/5"
"Biutiful","Castello","$212,860","1/27"
"The Skin I Live In","Prisvideo","$212,556","11/17"
"Miral","Lusomundo","$211,175","6/16"
"The Lincoln Lawyer","Lusomundo","$211,056","5/12"
"Insidious","Prisvideo","$209,069","7/21"
"The Rum Diary","Prisvideo","$205,780","12/22"
"Drive (2011)","Prisvideo","$205,286","12/8"
"Hanna","Sony","$201,120","7/7"
"The Eagle","Castello","$194,474","6/16"
"The Beaver","Lusomundo","$188,529","6/16"
"Sucker Punch","WB","$187,947","3/31"
"Chloe","Lusomundo","$185,515","1/6"
"The Conspirator","Lusomundo","$180,932","7/21"
"Something Borrowed","Lusomundo","$174,742","6/23"
"Last Night","Lusomundo","$173,152","4/21"
"Blitz","Prisvideo","$168,452","8/11"
"Les petits mouchoirs (Little White Lies)","Lusomundo","$155,711","6/30"
"The Thing (2011)","Lusomundo","$153,948","11/3"
"The Debt","Lusomundo","$150,420","12/1"
"Anonymous","Sony","$144,697","12/1"
"Chasseurs de dragons (Dragon Hunters)","Lusomundo","$142,804","7/28"
"Tinker, Tailor, Soldier, Spy","Lusomundo","$139,815","12/22"
"Arthur et la guerre des deux mondes","Lusomundo","$138,198","4/28"
"Arthur (2011)","WB","$131,451","5/12"
"Somewhere","Prisvideo","$129,339","2/24"
"Pina","n/a","$126,645","5/19"
"London Boulevard","Prisvideo","$121,934","4/14"
"Beginners","Lusomundo","$113,576","9/1"
"Fright Night (2011)","Lusomundo","$107,450","9/8"
"Spy Kids: All the Time in the World","Lusomundo","$106,857","9/15"
"Seeking Justice","Lusomundo","$104,949","12/29"
"50/50","Prisvideo","$103,891","11/3"
"Shark Night 3D","Lusomundo","$98,197","10/5"
