" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$5,556,796","12/18"
"Ice Age: Dawn of the Dinosaurs","Odeon","$2,318,561","7/3"
"2012","InterCom","$1,656,935","11/13"
"The Final Destination","InterCom","$834,859","9/11"
"Sherlock Holmes","InterCom","$824,261","1/1"
"The Twilight Saga: New Moon","MediaPro","$739,392","11/22"
"A Christmas Carol (2009)","Prooptiki","$656,102","11/13"
"Michael Jackson's This Is It","InterCom","$643,062","11/1"
"The Proposal","Prooptiki","$610,169","8/14"
"My Bloody Valentine 3-D","MediaPro","$573,262","2/13"
"Inglourious Basterds","Ro Image 2000","$565,615","9/4"
"Angels & Demons","InterCom","$510,808","5/15"
"The Hangover","InterCom","$487,439","7/10"
"G-Force","Prooptiki","$478,420","9/4"
"Couples Retreat","Ro Image 2000","$472,375","12/4"
"Fast and Furious","Ro Image 2000","$463,900","4/3"
"Harry Potter and the Half Blood Prince","InterCom","$444,531","7/24"
"The Ugly Truth","InterCom","$442,824","9/4"
"Yes Man","InterCom","$434,875","1/9"
"The Rebound","MediaPro","$403,822","10/11"
"Alvin and the Chipmunks: The
Squeakquel","Odeon","$347,135","12/25"
"Transformers: Revenge of the Fallen","InterCom","$335,498","6/26"
"Spread","MediaPro","$334,742","8/23"
"Terminator Salvation: The Future Begins","InterCom","$309,682","6/5"
"Twilight","MediaPro","$293,735","1/23"
"Public Enemies","Ro Image 2000","$284,541","8/14"
"Law Abiding Citizen","MediaPro","$270,992","12/11"
"Up","Prooptiki","$239,644","6/12"
"Ghosts of Girlfriends Past","InterCom","$231,562","6/12"
"Surrogates","Prooptiki","$226,297","11/27"
"The Taking of Pelham One, Two, Three","InterCom","$225,784","8/7"
"The Pink Panther 2","InterCom","$223,376","2/13"
"Funny People","Ro Image 2000","$223,375","9/25"
"Monsters Vs. Aliens","Ro Image 2000","$219,974","4/10"
"The Curious Case of Benjamin Button","InterCom","$211,154","2/20"
"Slumdog Millionaire","MediaPro","$203,030","3/13"
"G.I. Joe","Ro Image 2000","$199,794","8/28"
"Australia","Odeon","$195,771","1/2"
"Knowing","MediaPro","$195,358","6/19"
"Bad Lieutenant: Port of Call New Orleans","Prorom/Ro Im.","$194,180","11/6"
