" Movie Title"," Gross"
"Percy Jackson & The Olympians: The Lightning Thief","$1,679,627"
"Alice in Wonderland (2010)","$1,323,181"
"Inception","$1,096,340"
"Shrek Forever After","$1,045,791"
"Prince of Persia: The Sands of Time","$902,819"
"Tron Legacy","$895,098"
"Clash of the Titans (2010)","$877,043"
"Little Fockers","$804,614"
"Step Up 3-D","$732,603"
"The Twilight Saga: Eclipse","$710,730"
"Robin Hood","$707,068"
"Due Date","$647,275"
"Harry Potter and the Deathly Hallows (Part One)","$640,734"
"Resident Evil: Afterlife","$538,348"
"The Last Airbender","$536,068"
"Saw 3D","$523,390"
"Sex and the City 2","$522,673"
"How to Train Your Dragon","$520,355"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$498,322"
"Old Dogs","$487,537"
"Iron Man 2","$466,054"
"Salt","$455,365"
"Eat Pray Love","$443,160"
"Shutter Island","$439,979"
"Grown Ups","$428,989"
"Gulliver's Travels","$406,897"
"Legend of the Guardians: The Owls of Ga'Hoole","$398,396"
"Wall Street: Money Never Sleeps","$387,476"
"Killers","$382,072"
"The Bounty Hunter","$381,578"
"Life as We Know It","$367,319"
"Piranha 3D","$364,054"
"Knight & Day","$361,832"
"Valentine's Day","$339,750"
"Sammy's Adventures: The Secret Passage","$334,661"
"Red","$333,617"
"The Sorcerer's Apprentice","$325,011"
"The Next Three Days","$323,805"
"The Book of Eli","$316,100"
"Toy Story 3","$294,463"
"Did You Hear About the Morgans?","$285,472"
"Unstoppable","$277,705"
"Megamind","$272,192"
"Cats & Dogs: Revenge of Kitty Galore","$266,459"
"The Expendables","$264,494"
"It's Complicated","$256,239"
"The Other Guys","$252,512"
"You Again","$241,672"
"The Wolfman","$239,734"
"Eu cand vreau sa fluier, fluier","$216,557"
"Despicable Me","$194,014"
"Predators","$188,434"
"Date Night","$186,135"
"Love Happens","$182,540"
"Cop Out","$179,725"
"Faster","$169,496"
"Takers","$168,247"
"The Back-Up Plan","$168,196"
"She's Out of My League","$164,102"
"When in Rome","$164,084"
"The Social Network","$163,516"
"The American","$160,802"
"Up in the Air","$160,479"
"The Town","$154,265"
"Hot Tub Time Machine","$153,513"
"Going the Distance","$152,063"
"The Ghost Writer","$147,150"
"The A-Team","$146,626"
"From Paris with Love","$144,804"
"The Princess and the Frog","$137,678"
"Edge of Darkness","$135,767"
"Remember Me","$127,621"
"Poker","$113,020"
"Leap Year","$112,796"
"Get Him to the Greek","$110,991"
"The Karate Kid","$110,904"
"Machete","$110,661"
"The Nutcracker in 3D","$107,930"
"Easy A","$105,623"
"Agora (Mists of Time)","$105,063"
"Devil","$95,227"
"Wild Target","$86,258"
"Letters to Juliet","$86,055"
"Le concert (2009)","$85,267"
"The Spy Next Door","$84,014"
"A Nightmare on Elm Street (2010)","$83,657"
"The Losers","$77,597"
"Green Zone","$75,608"
"The Last Song","$73,689"
"Nine","$73,031"
"The Men Who Stare at Goats","$71,382"
"Legion (2010)","$71,258"
"Magic Journey to Africa","$65,300"
"Nanny McPhee and The Big Bang","$54,815"
"Case 39","$53,820"
"Paranormal Activity","$48,850"
"Marmaduke","$48,055"
"Charlie St. Cloud","$46,139"
"Daybreakers","$45,191"
"The Lovely Bones","$44,254"
"Splice","$43,895"
"Kick Ass","$42,315"
"Invictus","$37,372"
"Nuntã în Basarabia","$36,321"
"Marti, dupa craciun","$36,225"
"Autobiografia lui Nicolae Ceausescu (The Autobiography of Nicolae Ceausescu)","$33,058"
"WebSiteStory","$32,619"
"An Education","$30,951"
"Tell-Tale","$30,063"
"Medalia de onoare (Medal of Honor)","$26,777"
"Ces amours-là","$25,926"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","$25,164"
"Scott Pilgrim vs. the World","$21,960"
"Morgen","$21,437"
"Whatever Works","$18,745"
"Arthur et la vengeance de Maltazard","$18,603"
"The Countess","$15,262"
"Kapitalism - reþeta noastrã secretã","$14,786"
"The Lightkeepers","$13,567"
"Portretul luptatorului la tinereþe (Portrait of the Fighter as a Young Man)","$13,314"
"Triage","$13,292"
"The Illusionist (2010)","$11,096"
"Antichrist","$10,154"
"Flickan som lekte med elden","$9,562"
"Capitalism: A Love Story","$9,196"
"Soul Kitchen","$8,784"
"Felicia inainte de toate (First of All, Felicia)","$8,399"
"The Last Word","$7,974"
"Micmacs à tire-larigot","$7,603"
"A Prophet (Un prophète)","$6,950"
"The White Ribbon","$6,465"
"Leaving (Partir)","$5,621"
"Luftslottet som sprängdes (The Girl Who Kicked the Hornet's Nest)","$5,424"
"Giallo","$4,050"
"Nowhere Boy","$3,427"
"Bakjwi (Thirst)","$3,231"
"Kino Caravan","$3,202"
"Looking for Eric","$3,202"
"Luna Verde","$3,098"
"Mar nero","$3,095"
"Les herbes folles (Wild Grass)","$3,073"
"Europolis","$2,839"
"The Killing Jar","$2,339"
"Casanova, identitate femininã","$1,501"
"Cul De Sac","$1,500"
"Despre alte mame","$1,397"
"Louise-Michel","$1,108"
"Eva","$601"
