" Movie Title"," Gross"
"Crni Gruja i kamen mudrosti (Black Gruja)","$452,981"
"Cetvrti covek (The Fourth Man)","$341,488"
"The Simpsons Movie","$296,136"
"Harry Potter and the Order of the Phoenix","$268,856"
"Promeni me (Change Me)","$224,360"
"Klopka (The Trap)","$187,370"
"300","$175,763"
"Mr. Bean's Holiday","$140,447"
"Pirates of the Caribbean: At World's End","$139,815"
"Ocean's Thirteen","$124,793"
"Shrek the Third","$114,696"
"Spider-Man 3","$95,988"
"Night at the Museum","$83,487"
"Transformers","$74,997"
"The Golden Compass","$71,737"
"Live Free or Die Hard","$69,913"
"Hadersfild (Huddersfield International)","$66,300"
"Ghost Rider","$63,502"
"Beowulf","$62,045"
"Fantastic Four: Rise of the Silver Surfer","$55,100"
"Music and Lyrics","$51,450"
"Babel","$50,508"
"Elizabeth: The Golden Age","$49,390"
"TMNT","$48,575"
"Volver","$46,845"
"Stardust","$45,384"
"Alien vs. Predator - Requiem","$45,228"
"Ratatouille","$44,689"
"No Reservations","$44,032"
"Fracture","$43,044"
"Apocalypto","$42,453"
"The Bourne Ultimatum","$41,786"
"Bee Movie","$38,620"
"Surf's Up","$37,973"
"Rocky Balboa","$37,592"
"Agi i Ema","$37,411"
"Perfect Stranger","$36,920"
"Konji vrani (Black Horses)","$35,576"
"Lions for Lambs","$35,385"
"Rush Hour 3","$32,800"
"P.S. I Love You","$32,270"
"Goya's Ghosts","$31,382"
"The Queen","$31,288"
"Blood Diamond","$30,157"
"The Heartbreak Kid","$30,039"
"Zodiac","$29,229"
"Hitman","$28,657"
"Norbit","$24,671"
"Good Luck Chuck","$23,425"
"Letters from Iwo Jima","$22,882"
"Little Miss Sunshine","$22,715"
"The Last King of Scotland","$20,643"
"Superbad","$20,151"
"Flags of Our Fathers","$20,126"
"Enchanted","$19,678"
"Flushed Away","$18,862"
"La Môme (La Vie en Rose)","$18,676"
"Hannibal Rising","$17,934"
"Step Up","$17,747"
"Sunshine","$17,429"
"Notes on a Scandal","$17,076"
"The Brave One","$16,736"
"The Reaping","$16,689"
"Astérix et les Vikings","$16,407"
"I Now Pronounce You Chuck and Larry","$16,143"
"Meet the Robinsons","$15,475"
"Direktøren for det hele (Boss of It All)","$15,426"
"El Laberinto del Fauno (Pan's Labyrinth)","$14,996"
"Shoot 'Em Up","$14,520"
"Becoming Jane","$14,374"
"Lonely Hearts","$14,154"
"Das Leben der Anderen (The Lives of Others)","$13,991"
"Laitakaupungin valot (Lights in the Dusk)","$13,927"
"Urmel aus dem Eis","$13,823"
"Ne le dis à personne (Tell No One)","$13,634"
"Dreamgirls","$12,077"
"Michael Clayton","$11,986"
"Control (2007)","$11,255"
"The Seeker: The Dark Is Rising","$11,252"
"Knocked Up","$11,217"
"The Invasion","$10,948"
"The Last Legion","$10,719"
"Hairspray (2007)","$10,239"
"Love (2007)","$9,657"
"La Reine soleil","$9,469"
"Rendition","$9,413"
"The Hoax","$9,237"
"The Pursuit of Happyness","$9,187"
"Nafaka","$8,998"
"A Prairie Home Companion","$8,225"
"Alatriste","$8,116"
"The Good Shepherd","$7,858"
"Elementarteilchen (Atomised)","$7,508"
"Shooter","$6,693"
"The Road to Guantanamo","$6,626"
"In the Valley of Elah","$6,605"
"Fast Food Nation","$6,261"
"Wild Hogs","$5,968"
"The Science of Sleep","$5,774"
"Odbacen (Reject)","$5,305"
"Taxidermia","$5,106"
"Red Road","$4,836"
"Bridge to Terabithia","$4,373"
"Le Héros de la famille","$4,158"
"Zwartboek (Black Book)","$4,105"
"Crónica de una fuga (Buenos Aires, 1977)","$4,028"
"Stranger Than Fiction","$3,823"
"La Stella che non c'è","$3,792"
"Disturbia","$3,778"
"Catch a Fire","$3,768"
"The Front Line","$3,681"
"Transe","$3,512"
"He Was a Quiet Man","$3,343"
"Kontakt (2005)","$3,076"
"Tsotsi","$3,050"
"Je vous trouve très beau","$2,694"
"L'Ivresse du pouvoir (Comedy of Power)","$2,622"
"Il Regista di matrimoni","$2,568"
"The Grudge 2","$2,213"
"Smokin' Aces","$1,974"
"Made in YU","$1,754"
"Hyeongsa (Duelist)","$1,745"
"Love Is in the Air","$1,411"
"Bobby","$1,349"
"Mein Führer - Die wirklich wahrste Wahrheit über Adolf Hitler","$1,160"
"Evan Almighty","$1,104"
"L'Entente cordiale","$1,071"
"Fair Play","$949"
"Das Fräulein","$842"
"Truands","$725"
"La Educación de las hadas","$327"
"Les Amours d'Astrée et de Céladon","$122"
"L'Étoile du soldat (Soldier's Star)","$98"
