" Movie Title"," Distributor"," Gross"," Release"
"Parada (Parade)","n/a","$1,078,675","11/3"
"The Smurfs","Sony","$628,116","8/11"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$407,666","5/20"
"Rio","Fox","$345,697","4/14"
"The Hangover Part II","Warner Bros.","$338,231","5/26"
"Harry Potter and the Deathly Hallows (Part Two)","Warner Bros.","$287,899","7/14"
"Kung Fu Panda 2","UIP","$177,395","6/2"
"Puss in Boots","Disney","$176,255","12/1"
"Sherlock Holmes: A Game of Shadows","Warner Bros.","$175,737","12/22"
"New Year's Eve","Warner Bros.","$158,559","12/8"
"Immortals","n/a","$155,262","11/17"
"Tangled","Disney","$134,754","1/20"
"Tilva Ros","n/a","$132,922","2/3"
"Transformers 3","UIP","$124,347","6/30"
"Beli lavovi","n/a","$123,275","4/28"
"Arthur Christmas","Sony","$119,287","11/17"
"The Three Musketeers (2011)","n/a","$116,434","10/20"
"Johnny English Reborn","UIP","$116,258","9/15"
"The Twilight Saga: Breaking Dawn Part 1","n/a","$112,664","11/24"
"No Strings Attached","UIP","$104,990","2/10"
"Black Swan","Fox","$103,749","3/10"
"Alvin and the Chipmunks: Chipwrecked","Fox","$102,152","12/15"
"Horrible Bosses","Warner Bros.","$92,133","8/18"
"Mission: Impossible - Ghost Protocol","UIP","$89,152","12/15"
"Final Destination 5","Warner Bros.","$86,433","9/1"
"The King's Speech","n/a","$86,214","3/3"
"Just Go With It","Sony","$83,774","4/7"
"Rise of the Planet of the Apes","Fox","$77,512","8/4"
"Thor","UIP","$72,757","4/28"
"Limitless","n/a","$65,380","3/24"
"The Adventures of Tintin","Sony","$64,046","11/3"
"Mr. Popper's Penguins","Fox","$63,722","8/25"
"Friends with Benefits","Sony","$63,341","9/29"
"Ma nije on takav","n/a","$62,358","3/17"
"Crazy, Stupid, Love.","Warner Bros.","$61,848","9/22"
"Bad Teacher","Sony","$61,774","9/8"
"Cars 2","Disney","$59,215","9/8"
"X-Men: First Class","Fox","$58,665","6/2"
"Tron Legacy","Disney","$54,834","1/6"
"Rango","UIP","$52,095","3/17"
"The Darkest Hour","Fox","$51,793","12/29"
"Tower Heist","UIP","$51,765","11/10"
"Red Riding Hood","Warner Bros.","$51,040","4/28"
