" Movie Title"," Gross"
"Avatar","$8,112,994"
"Transformers: Revenge of the Fallen","$5,834,711"
"2012","$4,645,078"
"Harry Potter and the Half Blood Prince","$3,474,126"
"Night at the Museum: Battle of the Smithsonian","$3,005,252"
"Up","$2,864,063"
"Ice Age: Dawn of the Dinosaurs","$2,730,040"
"X-Men Origins: Wolverine","$2,559,609"
"G.I. Joe","$2,505,428"
"Alvin and the Chipmunks: The Squeakquel","$2,370,286"
"Sherlock Holmes","$2,306,579"
"The Twilight Saga: New Moon","$2,188,474"
"Angels & Demons","$2,162,779"
"Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II)","$2,153,404"
"Terminator Salvation: The Future Begins","$2,058,365"
"Monsters Vs. Aliens","$1,901,469"
"Xia dao xiao (Where Got Ghost?)","$1,851,721"
"Fast and Furious","$1,571,047"
"Shi yue wei cheng (Bodyguards and Assassins)","$1,443,899"
"G-Force","$1,411,278"
"The Proposal","$1,393,207"
"San suk si gin (Shinjuku Incident)","$1,299,876"
"Slumdog Millionaire","$1,286,393"
"The Final Destination","$1,279,603"
"Star Trek","$1,195,561"
"Da xi shi (The Wedding Game)","$1,118,466"
"Fung wan II (The Storm Warriors)","$1,113,761"
"Xing fu wan sui (Love Matters)","$1,108,032"
"The Ugly Truth","$1,057,162"
"The Curious Case of Benjamin Button","$1,024,707"
"Drag Me to Hell","$1,019,779"
"Inkheart","$967,282"
"17 Again","$964,624"
"A Christmas Carol (2009)","$941,116"
"Confessions of a Shopaholic","$938,315"
"The Hangover","$935,655"
"Knowing","$934,926"
"Cloudy with a Chance of Meatballs","$934,110"
"Surrogates","$921,486"
"Ghosts of Girlfriends Past","$888,887"
"Marley and Me","$875,168"
"Race to Witch Mountain","$850,039"
"Michael Jackson's This Is It","$814,356"
"Ninja Assassin","$789,138"
"Bride Wars","$787,122"
"Underworld: Rise of the Lycans","$717,421"
"Watchmen","$715,880"
"Dragonball Evolution","$715,239"
"He's Just Not That Into You","$710,201"
"Inglourious Basterds","$700,280"
"Land of the Lost","$679,794"
"Taken","$669,539"
"500 Days of Summer","$609,884"
"The Taking of Pelham One, Two, Three","$609,252"
"Paranormal Activity","$583,875"
"Paul Blart: Mall Cop","$569,938"
"Valkyrie","$568,680"
"Public Enemies","$561,046"
"The Princess and the Frog","$544,942"
"Ga yau hei si 2009 (All's Well, Ends Well 2009)","$544,466"
"My Sister's Keeper","$543,789"
"Ci Ling (The Treasure Hunter)","$540,314"
"Ha phraeng (Phobia 2)","$536,563"
"Jennifer's Body","$526,663"
"Astro Boy","$513,876"
"Ong bak 2","$513,006"
"Hua Mulan","$505,741"
"Push","$495,360"
"The Time Traveler's Wife","$495,208"
"Program Nar Vinyan Ar-Kat (Coming Soon)","$493,532"
"Planet 51","$487,588"
"Transporter 3","$468,808"
"Gamer (2009)","$464,748"
"The Pink Panther 2","$462,796"
"Qie ting feng yun (Wiretap) (Overheard)","$444,617"
"District 9","$406,028"
"Orphan","$400,746"
"Fame (2009)","$392,303"
"Haeundae","$391,359"
"Couples Retreat","$390,885"
"Chilgeup gongmuwon (My Girlfriend is an Agent)","$389,888"
"Blood: The Last Vampire","$384,834"
"The Haunting in Connecticut","$382,978"
"My Bloody Valentine 3-D","$382,635"
"Seven Pounds","$375,922"
"Friday the 13th (2009)","$356,312"
"Julie & Julia","$349,699"
"Okuribito (Departures)","$340,134"
"Old Dogs","$333,129"
"Imagine That","$332,035"
"The Unborn (2009)","$331,570"
"Aliens in the Attic","$326,808"
"Hannah Montana The Movie","$322,082"
"Sniper","$321,561"
"I Love You Man","$320,505"
"Hotel for Dogs","$315,763"
"Brüno","$313,381"
"The International","$311,978"
"Street Fighter: The Legend of Chun-Li","$306,333"
"Pandorum","$299,217"
"Gake no ue no Ponyo (Ponyo on a Cliff)","$297,824"
"Poker King","$297,473"
"12 Rounds","$280,522"
"The Fantastic Mr. Fox","$279,377"
"Obsessed","$277,778"
"Changeling","$276,113"
"The Horsemen","$271,036"
"Zombieland","$270,562"
"Coco avant Chanel","$268,286"
"The Hurt Locker","$267,667"
"Hansamu sûtsu (Handsome Suits)","$266,666"
"Love Happens","$263,433"
"Whiteout","$258,734"
"Duplicity","$257,806"
"The Uninvited","$257,631"
"Jangan Tegur","$253,042"
"Yau lung hei fung (Look for a Star)","$251,975"
"Yi ngoi (Accident)","$248,663"
"Gran Torino","$245,631"
"Coraline","$242,744"
"Case 39","$241,196"
"Funny People","$235,813"
"State of Play","$231,543"
"Gong fu chu shen (Kung Fu Chef)","$225,778"
"9","$220,919"
"Year One","$215,290"
"Huan hun (Blood Ties)","$198,903"
"Halloween II (2009)","$196,960"
"Darah","$190,363"
"The Informant","$177,350"
"The Reader","$173,842"
"I Love You Beth Cooper","$172,521"
"The Ramen Girl","$171,808"
"Detroit Metal City","$166,983"
"Punisher: War Zone","$164,685"
"Laughing gor chi bin chit (Turning Point)","$163,008"
"Outlander","$160,105"
"The Fourth Kind","$158,276"
"Saat yan faan (Murderer)","$157,293"
"Sorority Row","$146,873"
"The Blue Mansion","$146,776"
"Chandni Chowk to China","$144,899"
"Raging Phoenix","$142,588"
"Fighting","$141,571"
"Revolutionary Road","$140,332"
"Defiance","$138,258"
"Yôgisha X no kenshin (Suspect X)","$132,878"
"Saw VI","$132,193"
"New in Town","$126,561"
"Ssanghwajeom (A Frozen Flower)","$126,142"
"The Tale of Despereaux","$124,805"
"K-20: Kaijin niju menso den","$122,519"
"Dance Subaru","$115,951"
"Echelon Conspiracy","$115,383"
"Pou hark wong (Poker King)","$110,118"
"Dance Flick","$109,896"
"Shorts","$107,919"
"Passengers","$106,858"
"The Duchess","$95,554"
"A Perfect Getaway","$94,415"
"Daai sau cha ji neui (Lady Cop & Papa Crook)","$93,008"
"The Last House on the Left (2009)","$91,841"
"Milk","$90,949"
"Role Models","$88,601"
