" Movie Title"," Distributor"," Gross"," Release"
"Transformers 3","UIP","$9,181,891","6/29"
"Kung Fu Panda 2","UIP","$7,416,602","5/26"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$6,522,416","7/14"
"Mission: Impossible - Ghost Protocol","UIP","$4,786,766","12/15"
"Johnny English Reborn","UIP","$4,597,349","9/15"
"X-Men: First Class","Fox","$4,547,291","6/2"
"Thor","UIP","$4,250,375","4/28"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$4,087,668","5/19"
"Captain America: The First Avenger","UIP","$3,556,722","7/28"
"Fast Five","UIP","$3,514,117","5/5"
"Real Steel","Disney","$3,411,327","10/6"
"The Smurfs","Sony","$2,957,787","9/1"
"Sherlock Holmes: A Game of Shadows","Golden Village","$2,696,712","12/22"
"Green Lantern","WB","$2,654,412","6/16"
"Rise of the Planet of the Apes","Fox","$2,367,786","8/4"
"Puss in Boots","UIP","$2,300,589","11/24"
"You Are the Apple of My Eye","Fox","$2,269,003","11/10"
"Alvin and the Chipmunks: Chipwrecked","Fox","$2,257,034","12/15"
"The Green Hornet","Sony","$2,222,876","1/27"
"The Twilight Saga: Breaking Dawn Part 1","Shaw","$2,180,038","11/24"
"The Adventures of Tintin","UIP","$2,104,620","11/10"
"New Legend Of Shaolin (2011)","Golden Village","$1,969,435","1/21"
"Tua Seh Kai","Golden Village","$1,902,926","1/27"
"Rio","Fox","$1,878,218","4/7"
"The Hangover Part II","WB","$1,756,482","6/2"
"Immortals","UIP","$1,736,665","11/17"
"Shaolin Temple","Golden Village","$1,712,442","1/21"
"Cars 2","Disney","$1,653,584","8/25"
"Battle: Los Angeles","Sony","$1,635,473","3/17"
"Final Destination 5","WB","$1,517,554","8/25"
"I Am Number Four","Disney","$1,463,707","2/24"
"Horrible Bosses","WB","$1,353,767","8/4"
"Mr. Popper's Penguins","Fox","$1,347,738","6/16"
"In Time","Fox","$1,342,995","10/26"
"Zookeeper","Sony","$1,318,178","8/9"
"Happy Feet Two","Golden Village","$1,289,240","11/17"
"23:59","Golden Village","$1,208,479","11/3"
"Super 8","UIP","$1,208,111","6/9"
"Priest","Sony","$1,204,104","5/11"
"Cowboys & Aliens","UIP","$1,189,263","8/9"
"The Ghost Must Be Crazy","Golden Village","$1,133,837","1/6"
"Homecoming","Golden Village","$1,098,423","2/3"
"Guan yun chang (The Lost Bladesman)","Golden Village","$1,082,246","5/5"
"Already Famous","Cathay","$1,010,384","12/1"
"Wu Xia (Dragon)","Golden Village","$999,832","7/21"
"Just Go With It","Sony","$996,463","2/10"
"No Strings Attached","UIP","$989,390","2/17"
"Rango","UIP","$977,083","3/10"
"Black Swan","Fox","$974,372","2/10"
"Crazy, Stupid, Love.","WB","$951,942","9/1"
"Limitless","Golden Village","$951,780","4/7"
"Tower Heist","UIP","$943,791","11/3"
"Source Code","Shaw","$924,597","4/21"
"New Year's Eve","WB","$910,455","12/8"
"Contagion","WB","$910,137","9/8"
"Sucker Punch","WB","$904,874","3/24"
"The Darkest Hour","Fox","$859,785","12/29"
"The Three Musketeers (2011)","Shaw","$832,446","10/26"
"Sien nui yau wan (Chinese Ghost
Story)","Golden Village","$790,730","4/21"
"Big Mommas: Like Father, Like Son","Fox","$785,990","3/10"
"Season of the Witch","Golden Village","$761,985","1/13"
"Unknown","WB","$758,714","2/24"
"Gnomeo and Juliet","Golden Village","$736,902","3/3"
"Love and Other Drugs","Fox","$736,397","1/6"
"Red Riding Hood","WB","$718,249","3/10"
"Hop","UIP","$705,157","3/31"
"Flying Swords of Dragon Gate","Golden Village","$662,765","12/29"
