" Movie Title","Distributor","Gross","Release"
"Bathory","Tatrafilm","$1,941,259","7/10"
"Madagascar: Escape 2 Africa","Tatrafilm","$1,072,395","11/13"
"Astérix aux jeux olympiques","SPI Int'l","$492,390","1/31"
"Mamma Mia!","Tatrafilm","$471,711","8/21"
"Sex and the City","Continental","$440,207","6/12"
"Step Up 2 the Streets","SPI Int'l","$394,685","4/3"
"Kung Fu Panda","Tatrafilm","$390,351","7/3"
"Gympl","Continental","$385,415","1/10"
"Indiana Jones and the Kingdom of the Crystal Skull","Tatrafilm","$371,478","5/22"
"Quantum of Solace","Itafilm","$338,578","11/6"
"Hancock","Itafilm","$329,279","7/3"
"The Chronicles of Narnia: Prince Caspian","Saturn","$310,743","6/26"
"The Mummy: Tomb of the Dragon Emperor","Tatrafilm","$297,894","7/31"
"High School Musical 3: Senior Year","Saturn","$285,994","11/27"
"U me dobry","SPI Int'l","$265,358","8/7"
"The Dark Knight","Continental","$260,188","7/24"
"Medvidek","SPI Int'l","$253,801","1/24"
"10,000 B.C.","Continental","$214,391","3/13"
"Taková normální rodinka","Garfield","$187,648","5/15"
"National Treasure: Book of Secrets","Saturn","$178,101","1/24"
"Muzika","Continental","$174,818","4/17"
"Bobule","Magic Box","$154,685","9/11"
"I Am Legend","Continental","$151,368","1/3"
"P.S. I Love You","SPI Int'l","$150,491","2/14"
"Dr. Seuss' Horton Hears a Who!","Tatrafilm","$128,691","4/10"
"You Don't Mess with the Zohan","Itafilm","$127,793","8/28"
"What Happens in Vegas","Tatrafilm","$122,807","5/15"
"American Gangster","Tatrafilm","$121,145","1/3"
"The Day the Earth Stood Still (2008)","Tatrafilm","$118,534","12/11"
"Tropic Thunder","Tatrafilm","$116,471","9/25"
"Superhero Movie","SPI Int'l","$111,811","8/21"
"Four Christmases","Continental","$109,155","12/11"
"Wanted","Tatrafilm","$106,017","6/26"
"Australia","Tatrafilm","$104,911","12/25"
"Body of Lies","Continental","$101,206","11/27"
"Niko - Lentäjän poika (Niko & The Way to the Stars)","Continental","$95,573","12/4"
"Eagle Eye","Tatrafilm","$93,199","10/9"
"The Bucket List","Continental","$90,716","5/1"
"Open Season 2","Tatrafilm","$88,752","12/18"
"Cinka Panna","Tatrafilm","$87,331","10/23"
"Journey to the Center of the Earth","Continental","$86,258","9/18"
"Max Payne","Tatrafilm","$82,658","10/30"
"Hellboy II: The Golden Army","Tatrafilm","$82,639","9/4"
"The Other Boleyn Girl","Palace","$81,705","12/18"
"Made of Honor","Itafilm","$80,447","9/4"
"Václav","Continental","$80,064","2/28"
"Fool's Gold","Continental","$76,748","4/17"
"21","Itafilm","$74,475","5/8"
"Sweeney Todd: The Demon Barber of Fleet Street","Continental","$74,371","2/7"
"Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom)","SPI Int'l","$72,909","2/28"
"Jumper","Tatrafilm","$70,301","3/6"
"Saw IV","Continental","$69,691","1/17"
"The Nanny Diaries","Palace","$69,597","2/14"
