" Movie Title"," Gross"
"Shrek Forever After","$1,570,982"
"Alice in Wonderland (2010)","$1,093,280"
"Harry Potter and the Deathly Hallows (Part One)","$988,493"
"Tangled","$895,433"
"Clash of the Titans (2010)","$655,170"
"Inception","$603,440"
"The Twilight Saga: Eclipse","$549,973"
"Román pro muže","$514,112"
"Toy Story 3","$483,478"
"Despicable Me","$481,779"
"How to Train Your Dragon","$467,953"
"Step Up 3-D","$398,433"
"Kajínek","$388,364"
"Sex and the City 2","$380,618"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$334,282"
"The Tourist","$321,165"
"Ženy v pokušení","$304,100"
"Saw 3D","$292,098"
"Prince of Persia: The Sands of Time","$290,238"
"Cats & Dogs: Revenge of Kitty Galore","$281,772"
"Eat Pray Love","$279,186"
"Legend of the Guardians: The Owls of Ga'Hoole","$249,842"
"Resident Evil: Afterlife","$221,284"
"The Princess and the Frog","$208,840"
"Iron Man 2","$202,047"
"The Bounty Hunter","$197,442"
"Robin Hood","$189,364"
"The Last Airbender","$188,675"
"Alpha and Omega","$187,811"
"Deadline (2010)","$181,695"
"Little Fockers","$180,678"
"Legenda o Lietajúcom Cypriánovi","$169,797"
"Salt","$151,522"
"Doktor od Jezera hrochu","$149,222"
"Shutter Island","$147,446"
"Valentine's Day","$139,275"
"Law Abiding Citizen","$139,155"
"Garfield's Pet Force","$137,470"
"It's Complicated","$132,094"
"The Sorcerer's Apprentice","$131,528"
"Grown Ups","$127,825"
"The Social Network","$124,007"
"Desert Flower","$113,579"
"The Expendables","$112,730"
"Planet 51","$104,623"
"Wall Street: Money Never Sleeps","$93,572"
"Megamind","$90,517"
"The Back-Up Plan","$90,272"
"StreetDance 3D","$81,292"
"The Book of Eli","$76,762"
"Knight & Day","$68,759"
"Did You Hear About the Morgans?","$68,598"
"Predators","$63,605"
"The Wolfman","$63,495"
"Kawasakiho ruze (Kawasaki's Rose)","$62,844"
"The Karate Kid","$62,048"
"The Other Guys","$55,977"
"Percy Jackson & The Olympians: The Lightning Thief","$54,477"
"Legion (2010)","$49,302"
"Red","$48,416"
"Edge of Darkness","$45,644"
"The Imaginarium of Doctor Parnassus","$41,555"
"L'arnacoeur (Heartbreaker)","$39,819"
"The Fourth Kind","$38,454"
"Brothers","$33,396"
"Life as We Know It","$28,162"
"Up in the Air","$25,588"
"Remember Me","$24,090"
"Machete","$22,002"
"Killers","$21,567"
"Paranormal Activity 2","$21,141"
"Going the Distance","$12,537"
"Daybreakers","$11,048"
"The Ghost Writer","$9,477"
