" Movie Title"," Distributor"," Gross"," Release"
"Mamma Mia!","Karantanija","$788,493","9/4"
"Madagascar: Escape 2 Africa","Karantanija","$708,027","12/11"
"Kung Fu Panda","Karantanija","$591,331","8/7"
"Sex and the City","Blitz","$549,772","6/5"
"Indiana Jones and the Kingdom of the Crystal Skull","Karantanija","$529,193","5/22"
"Quantum of Solace","Continental","$496,131","11/6"
"Hancock","CF","$362,060","7/3"
"Alvin and the Chipmunks","CF","$316,150","2/14"
"Australia","Continental","$297,385","12/25"
"Fly Me to the Moon","Ljubljanski","$291,338","10/15"
"The Dark Knight","Blitz","$278,100","7/24"
"The Chronicles of Narnia: Prince Caspian","CENEX","$249,899","7/31"
"Wall-E","CENEX","$240,071","8/28"
"What Happens in Vegas","CF","$208,360","5/8"
"The Mummy: Tomb of the Dragon Emperor","Karantanija","$198,872","8/14"
"27 Dresses","CF","$195,792","2/14"
"National Treasure: Book of Secrets","CENEX","$193,433","1/24"
"Made of Honor","CF","$192,563","8/21"
"Astérix aux jeux olympiques","FIVIA","$183,164","2/7"
"Wanted","Karantanija","$182,172","6/26"
"Dr. Seuss' Horton Hears a Who!","CF","$174,945","3/20"
"Tropic Thunder","Karantanija","$161,136","9/25"
"Forgetting Sarah Marshall","Karantanija","$157,848","4/24"
"You Don't Mess with the Zohan","CF","$156,370","8/7"
"Journey to the Center of the Earth","Blitz","$141,756","9/4"
"Four Christmases","Blitz","$132,292","12/18"
"I Am Legend","Blitz","$132,279","1/17"
"Role Models","Karantanija","$126,795","12/25"
"High School Musical 3: Senior Year","CENEX","$126,319","11/20"
"No Country for Old Men","Karantanija","$123,569","2/14"
"Vicky Cristina Barcelona","Cinemania","$120,841","11/27"
"Saw V","Cinemania","$119,802","10/23"
"Juno","FIVIA","$116,459","3/6"
"Nights in Rodanthe","Blitz","$115,584","10/30"
"Wild Child","Karantanija","$114,801","10/30"
"The House Bunny","CF","$113,855","10/9"
"10,000 B.C.","Blitz","$109,294","3/13"
"The Game Plan","CENEX","$108,068","3/20"
"Rambo","FIVIA","$104,193","2/21"
"The Happening","CF","$96,088","6/12"
"Iron Man","Karantanija","$88,033","4/30"
"The Day the Earth Stood Still (2008)","Continental","$85,945","12/11"
"Alien vs. Predator - Requiem","CF","$85,810","1/3"
"Body of Lies","Blitz","$83,001","11/27"
"Definitely, Maybe","Karantanija","$82,415","4/10"
"Eagle Eye","Karantanija","$82,142","10/16"
"Cloverfield","Karantanija","$80,979","1/31"
"Burn After Reading","Cinemania","$80,086","12/4"
"21","CF","$73,161","4/17"
"The X-Files: I Want to Believe","CF","$70,990","7/24"
"Death Race","Karantanija","$69,468","10/2"
"The Other Boleyn Girl","Cinemania","$69,453","5/15"
"Estrellita - Pesem za domov","Cinemania","$69,043","1/24"
"Sweeney Todd: The Demon Barber of Fleet Street","Blitz","$68,420","2/21"
"Vantage Point","CF","$66,425","3/27"
"Jumper","CF","$65,374","4/10"
"P.S. I Love You","Blitz","$62,454","3/6"
"Max Payne","Continental","$62,067","10/23"
"Atonement","Karantanija","$60,481","1/10"
"Street Kings","CF","$59,952","4/17"
"The Incredible Hulk","Karantanija","$59,940","6/12"
"Fool's Gold","Blitz","$58,803","4/3"
"Bangkok Dangerous (2008)","Karantanija","$58,294","9/18"
"Charlie Wilson's War","Karantanija","$56,774","2/7"
"Gone Baby Gone","CENEX","$56,248","1/3"
"The Women (2008)","Blitz","$55,616","12/11"
"Prom Night (2008)","CF","$55,042","6/5"
"The Bucket List","Blitz","$52,788","4/17"
"Dan in Real Life","Cinemania","$52,611","3/13"
"The Spiderwick Chronicles","Karantanija","$52,150","3/20"
"The Hunting Party","FIVIA","$50,327","1/3"
"Eastern Promises","Cinemania","$46,840","2/21"
"U2 3D","n/a","$45,271","12/25"
"2 Days in Paris","FIVIA","$44,876","4/3"
"Bedtime Stories","CENEX","$43,668","12/25"
"The Mist","Cinemania","$43,329","4/3"
"Mirrors","Continental","$40,442","11/13"
"What Just Happened?","Karantanija","$40,354","11/20"
"Mad Money","FIVIA","$40,234","3/27"
"Pineapple Express","CF","$39,662","10/16"
"The Bank Job","Blitz","$39,656","10/2"
"Gomorra","Cinemania","$38,132","12/11"
"There Will Be Blood","CENEX","$37,139","4/3"
"Step Up 2 the Streets","Blitz","$36,884","5/1"
"Becoming Jane","FIVIA","$34,658","2/28"
"Vratné lahve","Cinemania","$34,625","2/14"
"Quarantine","Continental","$31,321","11/27"
"Pokrajina St.2","Cinemania","$30,032","10/23"
"Hellboy II: The Golden Army","Karantanija","$29,571","9/11"
"The Water Horse: Legend of the Deep","CF","$28,258","2/21"
"L Kot Ljubezen","FIVIA","$26,970","2/14"
"Obsluhoval jsem anglického krále (I Served the King of England)","Cinemania","$26,412","4/24"
"The Edge of Love","Karantanija","$26,072","10/9"
"El Orfanato (The Orphanage)","Cinemania","$25,553","12/18"
"Get Smart","Blitz","$25,216","8/21"
"The Rocker","CF","$25,028","9/11"
"My Blueberry Nights","Cinemania","$22,315","6/19"
"The Darjeeling Limited","CF","$22,122","1/31"
"I'm Not There","Cinemania","$19,747","7/10"
"One Missed Call","Blitz","$18,433","3/27"
"Teeth","Cinemania","$17,541","8/14"
"Rogue","Cinemania","$17,329","10/10"
"The Last Legion","FIVIA","$16,956","1/17"
"Si jie (Lust, Caution)","Cinemania","$16,725","2/7"
"Star Wars: The Clone Wars","Blitz","$14,540","10/2"
"Doomsday","Cinemania","$13,442","9/25"
"Tesko je biti fin (It's Hard to Be Nice)","Demiurg","$13,085","10/9"
"Teah","Cinemania","$11,966","2/21"
"Delirious","FIVIA","$11,269","1/24"
"In Bruges","Cinemania","$11,134","9/18"
"Irina Palm","Cinemania","$8,457","7/17"
"Die Fälscher (The Counterfeiters)","FIVIA","$8,094","5/15"
"Closing the Ring","n/a","$6,617","5/29"
"Speed Racer","Blitz","$6,317","5/15"
"Good Bye Bafana","Karantanija","$5,750","1/24"
"L'Avocat de la terreur (Terror's Advocate)","FIVIA","$5,031","3/6"
"The Savages","CF","$5,009","1/25"
