" Movie Title"," Gross"
"The Smurfs","$1,372,209"
"Pirates of the Caribbean: On Stranger Tides (3D)","$783,632"
"Harry Potter and the Deathly Hallows (Part Two)","$616,381"
"The Hangover Part II","$594,225"
"Kung Fu Panda 2","$583,684"
"Johnny English Reborn","$579,329"
"Cars 2","$520,850"
"Fast Five","$516,582"
"Rio","$475,900"
"Tangled","$450,847"
"Alvin and the Chipmunks: Chipwrecked","$371,806"
"The Twilight Saga: Breaking Dawn Part 1","$334,922"
"Just Go With It","$321,288"
"Listy do M.","$298,618"
"The King's Speech","$288,335"
"Mission: Impossible - Ghost Protocol","$243,357"
"Tower Heist","$229,124"
"Winx Club 3D: Magic Adventure","$225,838"
"Sherlock Holmes: A Game of Shadows","$215,840"
"The Tourist","$215,661"
"Transformers 3","$210,099"
"Horrible Bosses","$209,017"
"Rango","$208,974"
"No Strings Attached","$200,067"
"New Year's Eve","$198,010"
"Arthur Christmas","$193,126"
"Sammy's Adventures: The Secret Passage","$186,310"
"Hop","$179,689"
"The Change-Up","$173,565"
"Black Swan","$164,404"
"Bridesmaids","$150,267"
"Friends with Benefits","$150,052"
"Immortals","$149,569"
"Hall Pass","$143,870"
"Mr. Popper's Penguins","$143,442"
"The Three Musketeers (2011)","$139,771"
"Limitless","$133,701"
"Big Mommas: Like Father, Like Son","$132,519"
"Final Destination 5","$128,459"
"Thor","$122,992"
"Bad Teacher","$122,282"
"Gulliver's Travels","$120,261"
"Honey 2","$119,020"
"Crazy, Stupid, Love.","$118,768"
"In Time","$102,428"
"The Dilemma","$101,109"
"Unknown","$97,828"
"Paranormal Activity 3","$91,156"
"Rise of the Planet of the Apes","$89,706"
"The Rite","$86,856"
"The Girl with the Dragon Tattoo (2011)","$85,900"
"Parada (Parade)","$80,967"
"Winnie the Pooh","$79,576"
"Footloose (2011)","$74,106"
"What's Your Number?","$72,974"
"Happy Feet Two","$72,957"
"Killer Elite","$72,193"
"Paul","$68,933"
"Captain America: The First Avenger","$68,827"
"X-Men: First Class","$68,272"
"True Grit","$67,411"
"Contagion","$67,115"
"The Green Hornet","$66,771"
"Your Highness","$65,434"
"Drive Angry","$65,346"
"Super 8","$61,836"
"Midnight in Paris","$60,163"
"I Don't Know How She Does It","$56,598"
"Zookeeper","$56,318"
"Justin Bieber: Never Say Never","$54,616"
"Cowboys & Aliens","$54,184"
"Priest","$53,558"
"Burlesque","$50,672"
"Real Steel","$49,069"
"The Adjustment Bureau","$48,930"
"Shark Night 3D","$48,166"
"Morning Glory","$47,728"
"Season of the Witch","$47,019"
"Something Borrowed","$44,544"
"Hanna","$40,354"
"Biutiful","$39,191"
"Red Riding Hood","$39,148"
"Battle: Los Angeles","$38,358"
"How Do You Know","$36,409"
"Green Lantern","$34,855"
"The Roommate","$31,275"
"Jane Eyre (2011)","$30,041"
"I Am Number Four","$29,162"
"One Day","$29,061"
"Moneyball","$28,086"
"The Help","$27,204"
"The Skin I Live In","$25,864"
"Dream House","$18,173"
"The Adventures of Tintin","$17,887"
"The Guard","$17,331"
"The Thing (2011)","$17,144"
"Sucker Punch","$14,986"
"Faster","$14,842"
"Tomorrow, When the War Began","$14,072"
"The Lincoln Lawyer","$13,851"
"Spy Kids: All the Time in the World","$3,232"
