" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$7,780,468","12/18"
"Ice Age: Dawn of the Dinosaurs","Nu Metro","$3,492,517","7/1"
"The Proposal","Ster Kinekor","$2,631,303","7/10"
"Transformers: Revenge of the Fallen","UIP","$2,430,504","6/24"
"2012","n/a","$2,311,282","12/4"
"Couples Retreat","n/a","$2,282,294","12/11"
"The Hangover","Nu Metro","$2,001,996","6/19"
"Up","Ster Kinekor","$1,951,879","9/11"
"Fast and Furious","UIP","$1,830,098","4/9"
"Alvin and the Chipmunks: The
Squeakquel","n/a","$1,764,028","12/23"
"Harry Potter and the Half Blood Prince","Nu Metro","$1,764,007","7/15"
"Night at the Museum: Battle of the
Smithsonian","Nu Metro","$1,710,703","5/22"
"Old Dogs","n/a","$1,470,435","11/25"
"Marley and Me","Nu Metro","$1,440,176","3/20"
"Invictus","n/a","$1,424,679","12/11"
"Monsters Vs. Aliens","UIP","$1,403,609","4/3"
"The Ugly Truth","n/a","$1,351,415","10/9"
"G.I. Joe","UIP","$1,345,701","8/14"
"X-Men Origins: Wolverine","Nu Metro","$1,322,059","4/29"
"District 9","Ster Kinekor","$1,299,600","8/28"
"17 Again","Nu Metro","$1,276,156","4/17"
"Slumdog Millionaire","Ster Kinekor","$1,245,660","3/6"
"G-Force","Ster Kinekor","$1,201,897","7/31"
"Angels & Demons","Ster Kinekor","$1,052,036","5/15"
"Ghosts of Girlfriends Past","Nu Metro","$1,008,293","5/13"
"He's Just Not That Into You","Nu Metro","$931,784","2/13"
"Knowing","UIP","$881,794","7/1"
"The Taking of Pelham One, Two, Three","n/a","$864,359","9/25"
"Yes Man","Nu Metro","$863,630","1/2"
"Terminator Salvation: The Future Begins","Ster Kinekor","$851,398","6/5"
"My Sister's Keeper","Nu Metro","$830,357","8/14"
"Bride Wars","Nu Metro","$785,479","1/23"
"Transporter 3","UIP","$769,016","1/16"
"Hannah Montana The Movie","Ster Kinekor","$748,758","4/29"
"Cloudy with a Chance of Meatballs","n/a","$724,670","10/16"
"The Rebound","n/a","$718,131","12/30"
"Confessions of a Shopaholic","Ster Kinekor","$710,605","3/13"
"The Curious Case of Benjamin Button","Nu Metro","$685,513","2/27"
"Duplicity","UIP","$660,584","5/29"
"The Pink Panther 2","Ster Kinekor","$632,208","2/27"
"Bedtime Stories","Ster Kinekor","$622,079","1/30"
"White Wedding","Ster Kinekor","$617,455","4/29"
"Race to Witch Mountain","Ster Kinekor","$567,217","3/27"
"Four Christmases","Nu Metro","$508,332","1/9"
"Julie & Julia","n/a","$501,732","11/13"
"Watchmen","Ster Kinekor","$460,229","3/6"
"Public Enemies","UIP","$459,963","9/4"
"The Time Traveler's Wife","Nu Metro","$417,300","9/11"
"Brüno","UIP","$410,927","7/10"
"Star Trek","UIP","$383,493","5/8"
"My Life in Ruins","Ster Kinekor","$376,058","7/31"
"State of Play","UIP","$346,560","6/12"
"Obsessed","Ster Kinekor","$343,932","6/19"
