" Movie Title"," Gross"
"Schuks Tshabalala’s Guide to S.A.","$5,148,841"
"The Twilight Saga: Eclipse","$3,744,343"
"Shrek Forever After","$3,410,775"
"Toy Story 3","$3,344,199"
"Alice in Wonderland (2010)","$3,188,348"
"Step Up 3-D","$3,040,681"
"Iron Man 2","$2,589,816"
"Despicable Me","$2,345,587"
"Spud","$2,316,147"
"Harry Potter and the Deathly Hallows (Part One)","$2,268,033"
"Little Fockers","$1,977,706"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$1,931,605"
"Megamind","$1,895,039"
"Liefling","$1,842,887"
"The Karate Kid","$1,829,441"
"Eat Pray Love","$1,826,482"
"Prince of Persia: The Sands of Time","$1,803,854"
"Valentine's Day","$1,583,752"
"Inception","$1,553,586"
"Sherlock Holmes","$1,553,004"
"Salt","$1,547,824"
"Tron Legacy","$1,538,932"
"Tooth Fairy","$1,519,904"
"Grown Ups","$1,514,810"
"It's Complicated","$1,466,267"
"The Bounty Hunter","$1,410,328"
"Clash of the Titans (2010)","$1,378,879"
"Due Date","$1,342,183"
"The Last Airbender","$1,328,262"
"Knight & Day","$1,310,803"
"The Other Guys","$1,204,080"
"Life as We Know It","$1,172,038"
"Robin Hood","$1,140,199"
"Marmaduke","$1,101,621"
"Death at a Funeral (2010)","$1,098,918"
"Killers","$1,085,954"
"The Blind Side","$1,046,568"
"Sex and the City 2","$981,707"
"Unstoppable","$963,953"
"The Princess and the Frog","$954,509"
"The Sorcerer's Apprentice","$949,465"
"Did You Hear About the Morgans?","$908,970"
"Red","$815,188"
"Date Night","$807,654"
"The Book of Eli","$772,044"
"The Back-Up Plan","$770,599"
"Bakgat 2","$762,261"
"Shutter Island","$686,846"
"She's Out of My League","$668,820"
"The A-Team","$665,795"
"The Spy Next Door","$648,495"
"Planet 51","$603,855"
"Cats & Dogs: Revenge of Kitty Galore","$595,376"
"Percy Jackson & The Olympians: The Lightning Thief","$584,837"
"Nanny McPhee and The Big Bang","$561,898"
"Tyler Perry's Why Did I Get Married Too?","$558,754"
"How to Train Your Dragon","$553,139"
"The Switch","$541,358"
"The Wolfman","$535,525"
"Jackass 3-D","$506,596"
"Faster","$499,347"
"Letters to Juliet","$477,259"
"Legend of the Guardians: The Owls of Ga'Hoole","$470,982"
"Takers","$460,076"
"Resident Evil: Afterlife","$450,701"
"Up in the Air","$447,997"
"Mao's Last Dancer","$428,842"
"The Social Network","$415,980"
"The Town","$414,417"
"Jakhalsdans","$411,116"
"Wall Street: Money Never Sleeps","$409,571"
"You Again","$394,708"
"The Last Song","$385,001"
"Alpha and Omega","$368,645"
"When in Rome","$354,116"
"Yogi Bear","$339,389"
"Piranha 3D","$336,694"
"The Hurt Locker","$316,525"
"The American","$293,888"
"Charlie St. Cloud","$291,268"
"Green Zone","$289,702"
"Leap Year","$281,741"
"Going the Distance","$279,854"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","$276,717"
"My Name is Khan","$270,698"
"From Paris with Love","$256,181"
"Paranormal Activity 2","$246,354"
"Edge of Darkness","$244,920"
"Remember Me","$234,504"
"Ninja Assassin","$209,739"
"A Perfect Getaway","$207,298"
"Love Happens","$205,367"
"Vampires Suck","$197,693"
"Nine","$195,627"
"An Education","$195,624"
"Stoute Boudjies","$195,054"
"Susanna Van Biljon","$184,270"
