" Movie Title"," Gross"
"El Orfanato (The Orphanage)","$37,725,830"
"Pirates of the Caribbean: At World's End","$31,487,539"
"Shrek the Third","$30,413,846"
"The Simpsons Movie","$25,325,129"
"Harry Potter and the Order of the Phoenix","$24,972,080"
"Spider-Man 3","$24,665,705"
"Ratatouille","$21,473,012"
"300","$20,762,055"
"I Am Legend","$19,274,927"
"The Golden Compass","$19,180,460"
"Night at the Museum","$16,584,669"
"National Treasure: Book of Secrets","$14,121,148"
"American Gangster","$13,788,442"
"The Bourne Ultimatum","$13,324,553"
"[Rec]","$12,343,196"
"Enchanted","$12,232,703"
"Ocean's Thirteen","$10,979,002"
"Live Free or Die Hard","$10,874,750"
"Bee Movie","$10,718,049"
"Transformers","$10,534,627"
"Fantastic Four: Rise of the Silver Surfer","$10,489,003"
"Blood Diamond","$9,611,220"
"Mr. Bean's Holiday","$9,389,009"
"The Pursuit of Happyness","$8,926,557"
"Alvin and the Chipmunks","$8,909,375"
"Ghost Rider","$7,441,324"
"Meet the Robinsons","$7,368,312"
"Beowulf","$7,169,936"
"Next","$7,141,196"
"Surf's Up","$6,980,489"
"Las 13 rosas","$6,881,072"
"Das Leben der Anderen (The Lives of Others)","$6,833,795"
"Saw IV","$6,800,171"
"Rocky Balboa","$6,737,274"
"Lions for Lambs","$6,569,116"
"Evan Almighty","$6,194,885"
"Apocalypto","$6,075,033"
"Superbad","$6,053,517"
"1408","$5,798,948"
"The Last Legion","$5,693,155"
"Perfect Stranger","$5,658,763"
"Resident Evil: Extinction","$5,607,968"
"Zodiac","$5,550,395"
"Bridge to Terabithia","$5,420,339"
"The Prestige","$5,129,330"
"Premonition","$5,052,136"
"The Good Shepherd","$5,023,890"
"Eastern Promises","$4,821,946"
"The Reaping","$4,714,978"
"Pathfinder: Legend of the Ghost Warrior","$4,596,510"
"No Reservations","$4,596,206"
"28 Weeks Later","$4,576,757"
"Music and Lyrics","$4,480,463"
"The Messengers","$4,410,051"
"Hannibal Rising","$4,364,182"
"Epic Movie","$4,336,832"
"The Painted Veil","$4,250,587"
"Stardust","$4,212,995"
"Wild Hogs","$4,147,043"
"Michael Clayton","$4,139,644"
"Death at a Funeral","$3,949,527"
"The Number 23","$3,942,076"
"The Seeker: The Dark Is Rising","$3,927,763"
"Hairspray (2007)","$3,817,868"
"I Now Pronounce You Chuck and Larry","$3,606,534"
"The Nanny Diaries","$3,590,397"
"License to Wed","$3,584,341"
"Norbit","$3,533,066"
"Café solo o con ellas","$3,493,166"
"The Heartbreak Kid","$3,471,723"
"Rush Hour 3","$3,438,386"
"Cassandra's Dream","$3,416,432"
"Marie Antoinette","$3,298,920"
"The Brave One","$3,243,856"
"Hitman","$3,159,527"
"Notes on a Scandal","$3,132,948"
"The Invasion","$3,054,692"
"Flags of Our Fathers","$2,921,620"
"La Carta esférica","$2,916,940"
"Earth (2007)","$2,899,993"
"Because I Said So","$2,886,017"
"Bordertown","$2,821,166"
"Shooter","$2,815,303"
"Sunshine","$2,814,362"
"Happily N'Ever After","$2,714,627"
"The Flock","$2,710,004"
"Mr. Brooks","$2,682,606"
"John Tucker Must Die","$2,604,389"
"The Grudge 2","$2,546,888"
"Fracture","$2,505,159"
"Elizabeth: The Golden Age","$2,469,094"
"El Arca","$2,448,956"
"Mr. Magorium's Wonder Emporium","$2,371,539"
"The Last King of Scotland","$2,365,886"
"I Could Never Be Your Woman","$2,302,917"
"La Torre de Suso","$2,302,645"
"Grindhouse: Death Proof","$2,295,987"
"Flawless (2007)","$2,295,114"
"Shark Bait (a.k.a. The Reef)","$2,242,910"
"Si jie (Lust, Caution)","$2,115,646"
"WAR","$2,059,539"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","$2,033,892"
"BRATZ","$2,026,858"
"El Club de los suicidas","$2,017,741"
"Atasco en la nacional","$2,008,201"
"El Ekipo Ja","$2,006,521"
"Hostel Part II","$1,990,699"
"Salir pitando (Blinkers)","$1,962,687"
"Knocked Up","$1,958,451"
"Grindhouse: Planet Terror","$1,906,698"
"Mataharis","$1,904,293"
"The Kovak Box","$1,901,483"
"Caótica Ana","$1,871,286"
"The Hills Have Eyes 2","$1,864,744"
"Pulse","$1,808,710"
"Donkey Xote","$1,761,676"
"La Môme (La Vie en Rose)","$1,754,341"
"Siete mesas (de billar francés)","$1,693,814"
"Letters from Iwo Jima","$1,668,545"
"Dreamgirls","$1,654,746"
"A Mighty Heart","$1,615,748"
"Lola (2007)","$1,598,612"
"Bobby","$1,529,848"
"Bajo las estrellas","$1,494,730"
"Turistas","$1,494,159"
"Vacancy","$1,468,372"
"Dnevnoy dozor (Day Watch)","$1,466,812"
"Odette Toulemonde","$1,442,458"
"Dialogue avec mon jardinier","$1,418,106"
"In the Land of Women","$1,359,278"
"The Good German","$1,351,208"
"Ladrones","$1,312,386"
"Disturbia","$1,254,723"
"Zwartboek (Black Book)","$1,240,692"
"White Noise 2: The Light","$1,235,303"
"Breach","$1,232,466"
"Charlotte's Web","$1,229,048"
"Manuale d'amore 2 (Capitoli successivi)","$1,197,140"
"Little Children","$1,197,068"
"The Hoax","$1,192,487"
"The Kingdom","$1,180,868"
"Deck the Halls","$1,165,746"
"Gwoemul (The Host)","$1,113,686"
"Paris, je t'aime","$1,113,467"
"Vier Minuten (Four Minutes)","$1,094,987"
"Urmel aus dem Eis","$1,057,239"
"2 Days in Paris","$1,035,776"
"Luz de domingo","$1,032,535"
"La Soledad","$1,020,921"
"Ángeles S.A.","$1,016,516"
"See No Evil","$1,006,430"
"Miss Potter","$996,488"
"Los Totenwackers","$980,818"
"¿Y tú quién eres?","$967,997"
"Daddy Day Camp","$961,794"
"Ensemble, c'est tout (Hunting and Gathering)","$945,621"
"School for Scoundrels","$928,868"
"Fur: An Imaginary Portrait of Diane Arbus","$927,911"
"Gone Baby Gone","$900,466"
"Smokin' Aces","$892,476"
"Teresa, el cuerpo de Cristo (Theresa: The Body of Christ)","$881,327"
"Once","$879,999"
"Shrooms","$866,925"
"Hors de prix (Priceless)","$864,826"
"Becoming Jane","$829,186"
"Love and Other Disasters","$829,183"
"Trust the Man","$816,980"
"La Habitación de Fermat","$812,785"
"Irina Palm","$807,806"
"El Corazón de la tierra","$796,163"
"Wedding Daze","$789,586"
"¿Quién dice que es fácil?","$773,224"
"Stormbreaker","$722,048"
"The Namesake","$715,497"
"Alpha Dog","$670,078"
"Gray Matters","$669,311"
"Blood and Chocolate","$645,911"
"Días de cine","$636,029"
"L'Ivresse du pouvoir (Comedy of Power)","$634,681"
"Lonely Hearts","$630,326"
"Direktøren for det hele (Boss of It All)","$623,820"
"Persepolis","$623,336"
"Doraemon: Nobita no kyôryû (2006)","$621,269"
"Chuecatown","$619,769"
"Goal! 2: Living the Dream...","$607,578"
"Infamous","$606,629"
"Shoot 'Em Up","$585,378"
"Feast of Love","$580,335"
"Sleuth (2007)","$575,093"
"Nocturna","$574,878"
"TMNT","$573,534"
"A Prairie Home Companion","$566,038"
"Away from Her","$565,387"
"Captivity","$550,412"
"Efter brylluppet (After the Wedding)","$544,702"
"Cry Wolf","$540,836"
"Evening","$532,194"
"Wolf Creek","$524,469"
"Canciones de amor en Lolita's Club","$523,555"
"Fred Claus","$520,709"
"The Abandoned","$515,659"
"The Assassination of Jesse James by the Coward Robert Ford","$515,518"
"Die Weisse Massai (The White Massai)","$514,680"
"Oviedo Express","$511,488"
"Dead Silence","$505,511"
"The Science of Sleep","$494,390"
"Mr. Woodcock","$493,283"
"10 Items or Less","$486,895"
"A Guide to Recognizing Your Saints","$483,457"
"Hollywoodland","$478,064"
"El Hombre de arena","$472,937"
"Ciudad en celo","$452,591"
"Atlas de geografía humana","$448,773"
"Mon meilleur ami (My Best Friend)","$431,919"
"The Fountain","$427,748"
"Blade Runner: The Final Cut","$426,713"
"Stranger Than Fiction","$410,634"
"The Hitcher (2007)","$404,501"
"Tocar el cielo","$396,858"
"Hot Fuzz","$376,542"
"La Masseria delle allodole","$373,080"
"La Zona","$369,794"
"La Luna en botella","$340,111"
"Black Christmas (2006)","$339,636"
"Pudor","$334,055"
"Qué tan lejos","$332,098"
"Die Stille vor Bach","$322,116"
"Tuya de hun shi (Tuya's Marriage)","$319,208"
"53 días de invierno","$315,497"
"Les Chansons d'amour (Love Songs)","$313,300"
"Breaking and Entering","$312,477"
"Concursante","$302,487"
"Quand j'étais chanteur (The Singer)","$299,912"
"Crayon Shin-chan arashi wo yobu! - Mouretsu! Otona teikoku no gyakushuu","$297,518"
"No digas nada","$297,329"
"Emmas Glück","$289,965"
"Mio fratello è figlio unico (My Brother Is an Only Child)","$279,991"
"Un Buen día lo tiene cualquiera","$278,571"
"August Rush","$275,245"
"Shortbus","$268,622"
"Dos rivales casi iguales","$264,869"
"Venus","$251,187"
"Indigènes (Days of Glory)","$249,995"
"La Señal","$249,683"
"Flyboys","$248,170"
"Tuya siempre","$241,003"
"Chromophobia","$240,307"
"Fast Food Nation","$238,968"
"I Love Miami","$237,189"
"The Night Listener","$233,365"
"Tristram Shandy: A Cock and Bull Story","$233,022"
"El Niño de barro","$230,359"
"Good Bye Bafana","$221,977"
"Half Nelson","$220,293"
"Lucky You","$217,278"
"Waitress","$211,621"
"Il Mio miglior nemico","$209,166"
