" Movie Title"," Distributor"," Gross"," Release"
"Indiana Jones and the Kingdom of the Crystal Skull","UPI","$32,751,799","5/22"
"Hancock","Sony","$26,259,302","7/18"
"Kung Fu Panda","UPI","$21,736,799","7/11"
"Madagascar: Escape 2 Africa","PPI","$20,426,689","11/28"
"Mamma Mia!","UPI","$19,529,262","8/15"
"The Mummy: Tomb of the Dragon Emperor","UPI","$18,965,712","8/1"
"The Dark Knight","WB","$16,318,208","8/13"
"Twilight","Aurum","$16,175,300","12/5"
"Australia","Fox","$15,206,346","12/26"
"The Chronicles of Narnia: Prince Caspian","Disney","$15,002,021","7/2"
"Wall-E","Disney","$14,973,097","8/8"
"The Boy in the Striped Pajamas","Disney","$13,315,890","9/26"
"10,000 B.C.","WB","$13,119,769","3/7"
"High School Musical 3: Senior Year","Disney","$12,680,857","10/24"
"The Oxford Murders","WB","$12,525,441","1/18"
"Iron Man","Sony","$12,030,026","4/30"
"Quantum of Solace","Sony","$12,029,112","11/21"
"Mortadelo y Filemón. Misión: Salvar la Tierra","On","$11,945,068","1/25"
"What Happens in Vegas","Fox","$11,868,763","5/9"
"Changeling","UPI","$11,683,293","12/19"
"Dr. Seuss' Horton Hears a Who!","Fox","$11,058,226","3/14"
"Bolt","Disney","$10,972,787","12/5"
"No Country for Old Men","UPI","$10,785,575","2/8"
"You Don't Mess with the Zohan","Sony","$10,312,404","8/22"
"Jumper","Fox","$9,933,972","2/15"
"Burn After Reading","UPI","$9,899,325","10/10"
"Vicky Cristina Barcelona","WB","$9,862,445","9/19"
"The Argentine (Che: Part One)","Fox","$9,794,107","9/5"
"Journey to the Center of the Earth","Tri","$9,781,687","9/5"
"Sex and the City","Tri","$9,740,001","6/20"
"The Happening","Fox","$9,690,746","6/13"
"Astérix aux jeux olympiques","Tri","$9,181,000","2/8"
"The Day the Earth Stood Still (2008)","Fox","$8,168,883","12/12"
"Juno","Fox","$7,962,730","2/1"
"Fuera de carta","WB","$7,819,057","4/11"
"The Incredible Hulk","Sony","$7,693,842","6/20"
"Body of Lies","WB","$7,558,975","11/7"
"Wanted","UPI","$7,126,878","9/12"
"21","Sony","$6,840,432","4/11"
"Hellboy II: The Golden Army","UPI","$6,647,483","8/29"
"Vantage Point","Sony","$6,578,759","2/28"
"Meet the Spartans","Fox","$6,542,138","3/28"
"Made of Honor","Sony","$6,390,277","5/30"
"27 Dresses","Fox","$6,377,486","2/29"
"Atonement","UPI","$6,145,095","1/11"
"The Game Plan","Disney","$6,016,924","3/28"
"Yes Man","WB","$5,972,772","12/19"
"The Other Boleyn Girl","UPI","$5,861,510","2/29"
"Los Girasoles ciegos","Alta","$5,744,412","8/29"
"The Bucket List","WB","$5,682,938","2/1"
"The Spiderwick Chronicles","UPI","$5,534,589","3/14"
"Taken","Fox","$5,464,669","8/8"
"Saw V","Disney","$5,380,130","11/14"
"Rambo","Manga","$5,323,543","2/1"
"Get Smart","WB","$5,273,100","7/23"
"Mirrors","Fox","$5,145,244","10/3"
"Sweeney Todd: The Demon Barber of Fleet Street","WB","$5,144,278","2/15"
"Alien vs. Predator - Requiem","Fox","$4,561,458","1/11"
"Charlie Wilson's War","UPI","$4,300,052","2/22"
"Righteous Kill","Sony","$4,209,120","10/3"
"Love in the Time of Cholera","Aurum","$4,202,408","1/18"
"Street Kings","Fox","$4,152,039","4/25"
"30 Days of Night","Sony","$4,113,870","2/8"
"Nim's Island","UPI","$4,006,848","9/5"
"Nights in Rodanthe","WB","$3,985,032","10/24"
"The Tale of Despereaux","UPI","$3,948,152","12/19"
"88 Minutes","Filmax","$3,919,422","4/30"
"Elegy","On","$3,914,620","4/18"
"Die Fälscher (The Counterfeiters)","Wanda","$3,871,085","3/14"
"P.S. I Love You","Filmax","$3,854,100","7/11"
"Shutter","Fox","$3,782,211","4/11"
"We Own the Night","UPI","$3,742,720","3/28"
"Cloverfield","UPI","$3,722,223","2/1"
"The Forbidden Kingdom","Aurum","$3,683,549","10/17"
"Before the Devil Knows You're Dead","Baditri","$3,620,899","5/23"
"Bangkok Dangerous (2008)","Deapl.","$3,611,432","8/22"
"The Mist","Notro","$3,502,124","5/30"
"The Water Horse: Legend of the Deep","Sony","$3,438,882","3/7"
"The Strangers","UPI","$3,345,047","9/19"
"Gomorra","Alta","$3,282,402","11/14"
"Step Up 2 the Streets","Disney","$3,223,112","8/22"
"Disaster Movie","Aurum","$3,218,390","10/31"
"Max Payne","Fox","$3,193,586","10/17"
"The X-Files: I Want to Believe","Fox","$3,066,134","7/24"
"In the Valley of Elah","Aurum","$3,046,512","1/18"
"Transsiberian","Filmax","$2,997,144","10/24"
"Fool's Gold","WB","$2,959,860","4/25"
"Tropic Thunder","PPI","$2,903,103","9/26"
"The Spirit","Sony","$2,877,313","12/25"
"The Eye","Deapl.","$2,864,484","3/14"
"Death Defying Acts","Deapl.","$2,839,345","4/4"
"La Conjura de El Escorial","Sony","$2,784,297","9/5"
"Appaloosa","Tri","$2,748,823","11/21"
"Meet Dave","Fox","$2,745,239","9/19"
"Dan in Real Life","UPI","$2,706,563","3/19"
"Babylon A.D.","Aurum","$2,692,463","9/26"
"Outlander","Deapl.","$2,685,324","11/28"
"Death Race","UPI","$2,559,223","10/3"
"Forgetting Sarah Marshall","UPI","$2,542,955","6/27"
"Bella","E.D.","$2,507,983","11/7"
"Halloween (2007)","UPI","$2,454,513","1/4"
"There Will Be Blood","Disney","$2,415,805","2/15"
"Eagle Eye","PPI","$2,260,670","10/10"
"Camino","Alta","$2,150,273","10/17"
"One Missed Call","WB","$2,119,000","3/19"
"The House Bunny","Sony","$2,101,614","10/10"
"Carlitos y el campo de los sueños","Fox","$2,064,565","8/22"
"Speed Racer","WB","$2,048,700","5/9"
"Silk","Tri","$2,029,874","3/19"
"Space Chimps","Aurum","$1,925,652","8/22"
"Untraceable","UPI","$1,893,655","4/4"
"The Contract","Filmax","$1,885,696","4/4"
"Sukkar banat (Caramel)","Alta","$1,848,875","1/18"
"Prom Night (2008)","Sony","$1,848,662","5/14"
"The Kite Runner","UPI","$1,842,916","3/7"
"Superhero Movie","Aurum","$1,799,804","11/28"
"The Darjeeling Limited","Fox","$1,735,972","1/4"
"My Best Friend's Girl","Sony","$1,730,906","11/14"
"The Hunting Party","Aurum","$1,708,436","1/4"
"Die Welle (The Wave)","Aurum","$1,683,775","11/28"
"Star Wars: The Clone Wars","WB","$1,673,412","8/29"
"Never Back Down","Aurum","$1,628,270","4/18"
"3:10 to Yuma (2007)","Filmax","$1,599,433","9/5"
"Una Palabra tuya","Alta","$1,573,444","8/22"
"Diario de una ninfómana","Filmax","$1,572,535","10/17"
"The Children of Huang Shi","Deapl.","$1,572,390","10/31"
"Cobardes","Filmax","$1,528,988","4/25"
"Eskalofrío","Disney","$1,514,915","7/18"
"Awake","Aurum","$1,513,431","3/28"
"Step Brothers","Sony","$1,504,766","10/31"
"Sólo quiero caminar","Fox","$1,488,707","10/31"
"Missing Lynx (El Lince Perdido)","Aurum","$1,445,936","12/25"
"Casual Day","Disney","$1,405,814","5/9"
"8 citas","Alta","$1,354,462","4/18"
"Rendition","Tri","$1,350,950","4/18"
"Four Christmases","Tri","$1,350,701","12/19"
"Auf der anderen Seite (Yasamin kiyisinda) (The Edge of Heaven)","Golem","$1,340,082","3/14"
"My Mom's New Boyfriend (a.k.a. Homeland Security)","Deapl.","$1,324,291","4/30"
"Mongol","Karma","$1,290,566","12/5"
"Death Sentence","Tri","$1,263,144","5/16"
"Todos estamos invitados","Alta","$1,251,557","4/11"
"Spirit of the Forest","Manga","$1,246,516","9/12"
"In Bruges","UPI","$1,227,138","7/18"
"Brideshead Revisited","Notro","$1,215,600","10/31"
"A Thousand Good Years of Prayers","Karma","$1,163,809","4/18"
"My Blueberry Nights","Vertigo","$1,160,112","12/12"
"The Women (2008)","On","$1,135,949","10/17"
"El Ratón Pérez 2","Filmax","$1,120,819","12/12"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)","Golem","$1,063,172","1/25"
"The Ugly Duckling and Me!","Filmax","$1,034,649","6/20"
"Sangre de mayo","Alta","$1,020,203","10/3"
"Rivales","n/a","$1,019,451","6/27"
"The Savages","Fox","$989,819","4/4"
"The Last Mimzy","Tri","$985,263","1/4"
"Leatherheads","UPI","$934,847","6/6"
"Lissi und der wilde Kaiser","WB","$922,955","12/12"
"Funny Games","WB","$878,081","7/4"
"Emotional Arithmetic","Golem","$867,310","6/6"
"Harold and Kumar Escape from Guantanamo Bay","Tri","$865,124","7/11"
"Rise: Blood Hunter","Aurum","$823,623","2/29"
"The Ruins","UPI","$786,832","4/18"
"Joulutarina (Christmas Story)","F&P","$785,040","12/5"
"Into the Wild","UPI","$782,821","1/25"
"Franklin et le trésor du lac","Wanda","$766,086","2/22"
"Virgin Territory","Aurum","$753,741","8/8"
"This Is England","Festival","$739,369","1/4"
"Gente de mala calidad","Manga","$735,897","7/11"
"O Jerusalem","Notro","$723,419","7/4"
"Il y a longtemps que je t'aime (I've Loved You So Long)","Golem","$720,566","8/29"
"Miss Pettigrew Lives for a Day","Notro","$708,956","12/5"
"P2","Deapl.","$705,835","2/22"
"Enfin veuve","Notro","$703,093","8/22"
"Tropa de Elite (Elite Squad)","Alta","$700,810","7/18"
"El Greco","Manga","$674,095","11/21"
"Deux jours à tuer","Golem","$650,541","8/1"
"Obsluhoval jsem anglického krále (I Served the King of England)","Wanda","$621,209","7/18"
"Whisper","Vertigo","$616,357","8/1"
"Perfect Creature","F&P","$614,729","1/18"
"Happy-Go-Lucky","Deapl.","$605,645","10/10"
"Le Renard et l'enfant (The Fox and the Child)","Wanda","$600,938","11/7"
"Kilómetro 31","Filmax","$597,338","2/15"
"La Buena nueva","Golem","$577,175","11/14"
"Le Fils de l'épicier (The Grocer's Son)","Karma","$570,041","9/12"
"It's a Free World...","Alta","$565,458","2/22"
"Be Kind, Rewind","UPI","$561,516","4/11"
"Etz Limon (Lemon Tree)","Golem","$548,354","10/3"
"L'Heure d'été (Summer Hours)","Baditri","$535,824","11/14"
"Caos calmo (Quiet Chaos)","Alta","$529,427","6/20"
"Passengers","Deapl.","$512,075","9/26"
"Saint-Jacques... La mecque","Baditri","$497,000","8/8"
"La Fille coupée en deux (A Girl Cut in Two)","Wanda","$493,500","5/16"
"Buda as sharm foru rikht","Wanda","$489,438","2/29"
"Butterfly on a Wheel","Manga","$482,919","4/30"
"El Cuerno de la abundancia","Golem","$478,670","10/24"
"Bikur Ha-Tizmoret (The Band's Visit)","Manga","$462,560","4/11"
"Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom)","Filmax","$459,738","12/19"
"Que parezca un accidente","UPI","$450,807","11/14"
"Mad Money","Filmax","$447,339","10/10"
"In Search of a Midnight Kiss","Sherlock","$439,808","12/5"
"Drillbit Taylor","UPI","$438,312","5/16"
"The Air I Breathe","Filmax","$434,009","9/19"
"Los Años desnudos","UPI","$431,291","10/24"
"U2 3D","Precision","$429,856","10/3"
"Die Herbstzeitlosen","Yedra","$416,081","5/9"
"De Fortabte sjæles ø","F&P","$408,900","5/16"
"Rennschwein Rudi Rüssel 2 - Rudi rennt wieder!","F&P","$407,216","4/25"
"Lo Mejor de mí","Alta","$401,227","3/7"
"El Patio de mi cárcel","WB","$395,442","9/26"
"Der Letzte Zug","F&P","$393,527","1/11"
