" Movie Title","Distributor","Gross","Release"
"Avatar","Fox","$109,992,746","12/18"
"Up","Disney","$37,052,520","7/30"
"Ice Age: Dawn of the Dinosaurs","Fox","$32,142,485","7/2"
"Agora (Mists of Time)","Fox","$29,609,470","10/9"
"The Twilight Saga: New Moon","Aurum","$28,617,897","11/20"
"2012","Sony","$22,591,580","11/13"
"Angels & Demons","Sony","$21,944,084","5/15"
"Harry Potter and the Half Blood Prince","WB","$20,813,480","7/15"
"Gran Torino","WB","$19,038,938","3/6"
"The Curious Case of Benjamin Button","WB","$16,210,146","2/6"
"Celda 211","PPI","$15,905,730","11/6"
"Planet 51","Deapl.","$15,762,612","11/27"
"Inglourious Basterds","UIP","$15,418,489","9/18"
"Slumdog Millionaire","Filmax","$14,887,637","2/13"
"Monsters Vs. Aliens","PPI","$14,174,228","4/3"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","Vertigo","$13,727,644","5/29"
"Alvin and the Chipmunks: The Squeakquel","Fox","$12,983,049","12/25"
"G-Force","Disney","$12,966,370","10/9"
"X-Men Origins: Wolverine","Fox","$11,967,909","5/1"
"Spanish Movie","Fox","$10,875,184","12/4"
"Public Enemies","UIP","$10,686,582","8/14"
"Terminator Salvation: The Future Begins","Sony","$10,082,138","6/5"
"Fuga de Cerebros","Fox","$9,868,246","4/24"
"The Hangover","WB","$9,374,796","8/14"
"Hannah Montana The Movie","Disney","$9,219,841","5/8"
"Night at the Museum: Battle of the Smithsonian","Fox","$8,925,816","5/22"
"The Taking of Pelham One, Two, Three","Sony","$8,867,740","7/24"
"Fast and Furious","UIP","$8,747,242","4/3"
"Transformers: Revenge of the Fallen","PPI","$8,698,257","6/24"
"A Christmas Carol (2009)","Disney","$8,321,029","11/13"
"El secreto de sus ojos","Alta","$7,989,574","9/25"
"Valkyrie","Fox","$7,963,996","1/30"
"Beverly Hills Chihuahua","Disney","$7,963,722","2/6"
"The Ugly Truth","Sony","$7,800,185","10/16"
"Sorority Row","Aurum","$7,787,224","12/4"
"Flickan som lekte med elden","Vertigo","$7,772,456","10/23"
"[Rec] 2","Filmax","$7,684,043","10/2"
"District 9","Sony","$7,023,330","9/11"
"Cloudy with a Chance of Meatballs","Sony","$7,000,967","12/4"
"He's Just Not That Into You","Tri","$6,788,630","9/3"
"Bedtime Stories","Disney","$6,753,174","3/6"
"The Reader","On","$6,648,318","2/13"
"Knowing","Deapl.","$6,612,965","4/8"
"G.I. Joe","PPI","$6,501,034","8/7"
