" Movie Title","Distributor","Gross","Release"
"Torrente 4","WB","$29,031,125","3/11"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$27,122,003","5/20"
"The Twilight Saga: Breaking Dawn Part 1","Aurum","$25,504,159","11/18"
"The Adventures of Tintin","Sony","$24,828,029","10/28"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$21,887,869","7/15"
"Puss in Boots","PPI","$20,252,386","11/25"
"Tangled","Disney","$19,948,977","2/4"
"The Smurfs","Sony","$19,516,437","7/29"
"Rise of the Planet of the Apes","Fox","$19,411,178","8/5"
"Fast Five","UIP","$14,498,253","4/29"
"Black Swan","Fox","$14,463,540","2/18"
"Cars 2","Disney","$14,367,788","7/6"
"Hereafter","WB","$14,048,686","1/21"
"Super 8","PPI","$13,426,792","8/19"
"Rio","Fox","$13,340,789","4/8"
"Thor","PPI","$12,440,218","4/29"
"Transformers 3","PPI","$11,127,016","6/29"
"Kung Fu Panda 2","PPI","$11,015,256","6/17"
"Midnight in Paris","Alta","$10,785,072","5/13"
"The Hangover Part II","WB","$10,274,285","6/23"
"X-Men: First Class","Fox","$8,424,440","6/3"
"Mission: Impossible - Ghost Protocol","PPI","$8,268,168","12/16"
"Gnomeo and Juliet","Disney","$8,162,614","3/18"
"Insidious","Aurum","$7,734,705","6/10"
"Captain America: The First Avenger","PPI","$7,714,453","8/5"
"In Time","Fox","$7,442,372","12/2"
"Rango","PPI","$7,338,148","3/4"
"Zookeeper","Sony","$7,269,426","8/12"
"True Grit","PPI","$7,083,447","2/11"
"Johnny English Reborn","UIP","$6,978,465","9/30"
"Fuga de cerebros 2","UIP","$6,685,523","12/2"
"Immortals","UIP","$6,605,495","12/23"
"Alvin and the Chipmunks: Chipwrecked","Fox","$6,433,471","12/16"
"The Skin I Live In","WB","$6,217,516","9/2"
"Bad Teacher","Sony","$6,055,117","7/8"
"También la lluvia (Even the Rain)","Alta","$5,722,780","1/5"
"Just Go With It","Sony","$5,711,634","2/25"
"Phineas And Ferb","Disney","$5,689,121","8/31"
"Limitless","Tri","$5,573,340","4/8"
"No habrá paz para los malvados","WB","$5,470,004","9/23"
"Primos (Cousinhood)","WB","$5,253,556","2/4"
"Battle: Los Angeles","Sony","$5,152,165","4/1"
"Real Steel","Disney","$5,134,264","12/2"
"Friends with Benefits","Sony","$5,087,697","9/23"
"Yogi Bear","WB","$5,083,092","2/18"
"Unknown","WB","$5,062,049","5/13"
"Saw 3D","Deapl.","$5,055,458","2/16"
"Hop","UIP","$5,027,911","4/15"
"Bridesmaids","UIP","$4,803,495","8/12"
"Cowboys & Aliens","PPI","$4,744,645","9/2"
