" Movie Title"," Gross"
"Mamma Mia!","$25,059,113"
"Quantum of Solace","$8,990,483"
"The Dark Knight","$7,332,500"
"Arn - Riket vid vägens slut","$7,050,131"
"Indiana Jones and the Kingdom of the Crystal Skull","$6,736,816"
"Sex and the City","$6,190,774"
"Australia","$5,699,462"
"The Chronicles of Narnia: Prince Caspian","$4,492,411"
"National Treasure: Book of Secrets","$4,379,468"
"Kung Fu Panda","$3,801,832"
"Madagascar: Escape 2 Africa","$3,551,071"
"Vi hade i alla fall tur med vädret - Igen","$3,508,221"
"Wall-E","$3,303,411"
"Alvin and the Chipmunks","$3,173,471"
"Patrik 1,5","$3,166,718"
"Yes Man","$3,120,932"
"Hancock","$2,968,082"
"High School Musical 3: Senior Year","$2,578,842"
"Rallybrudar","$2,278,570"
"Twilight","$2,172,455"
"Atonement","$2,073,679"
"Iron Man","$2,057,727"
"Dr. Seuss' Horton Hears a Who!","$2,016,594"
"You Don't Mess with the Zohan","$1,921,913"
"Maria Larssons eviga ögonblick (Everlasting Moments)","$1,863,064"
"No Country for Old Men","$1,821,872"
"I Am Legend","$1,752,612"
"LasseMajas detektivbyrå - Kameleontens hämnd","$1,727,560"
"Morgan Pålsson - Världsreporter","$1,701,124"
"Jumper","$1,621,057"
"Låt den rätte komma in (Let the Right One In)","$1,602,993"
"10,000 B.C.","$1,572,809"
"21","$1,520,568"
"The Day the Earth Stood Still (2008)","$1,469,094"
"Varg (Wolf)","$1,444,528"
"What Happens in Vegas","$1,443,326"
"The Mummy: Tomb of the Dragon Emperor","$1,374,829"
"Allt flyter","$1,342,970"
"The Happening","$1,304,996"
"Mamma Mu och kråkan","$1,295,238"
"Vicky Cristina Barcelona","$1,238,530"
"Sweeney Todd: The Demon Barber of Fleet Street","$1,218,213"
"Juno","$1,198,093"
"The Kite Runner","$1,150,000"
"Tropic Thunder","$1,088,583"
"Cloverfield","$1,076,046"
"The Incredible Hulk","$1,075,183"
"Himlens hjärta (Heaven's Heart)","$963,448"
"27 Dresses","$936,482"
"Angel (2008)","$934,592"
"Burn After Reading","$892,406"
"We Own the Night","$857,588"
"Alien vs. Predator - Requiem","$836,174"
"The X-Files: I Want to Believe","$835,107"
"Superhero Movie","$820,478"
"Get Smart","$797,900"
"P.S. I Love You","$790,214"
"Step Brothers","$768,306"
"Max Payne","$724,964"
"The Spiderwick Chronicles","$695,433"
"Vantage Point","$691,622"
"Beverly Hills Chihuahua","$657,256"
"Star Wars: The Clone Wars","$626,123"
"Made of Honor","$607,730"
"Wanted","$553,911"
"Charlie Wilson's War","$543,955"
"Rambo","$543,691"
"Lilla spöket Laban - Världens snällaste spöke","$536,905"
"El Orfanato (The Orphanage)","$526,850"
"Mr. Magorium's Wonder Emporium","$500,884"
"Body of Lies","$491,725"
"I'm Not There","$482,069"
"Saw V","$479,311"
"Astérix aux jeux olympiques","$475,833"
"De Ofrivilliga","$462,717"
"Mirrors","$457,623"
"Into the Wild","$451,017"
"There Will Be Blood","$428,691"
"The Bucket List","$407,662"
"Si jie (Lust, Caution)","$380,142"
"Hellboy II: The Golden Army","$367,373"
"Once","$361,755"
"Street Kings","$354,969"
"Righteous Kill","$345,257"
"Eagle Eye","$319,806"
"Forgetting Sarah Marshall","$317,227"
"Le Fils de l'épicier (The Grocer's Son)","$307,607"
"Fool's Gold","$307,124"
"Control (2007)","$305,437"
"Meet the Spartans","$299,253"
"Le Scaphandre et le papillon (The Diving Bell and the Butterfly)","$299,062"
"Dan in Real Life","$290,845"
"Ping-pongkingen","$289,682"
"Der Baader-Meinhof Komplex","$289,266"
"Be Kind, Rewind","$283,547"
"The Love Guru","$278,344"
"The Eye","$258,357"
"Rendition","$248,037"
"The Mist","$233,669"
"Space Chimps","$230,566"
"Tropa de Elite (Elite Squad)","$230,000"
"Babylon A.D.","$217,718"
"Brideshead Revisited","$210,405"
"Nim's Island","$203,368"
"Niko - Lentäjän poika (Niko & The Way to the Stars)","$186,656"
"Tali-Ihantala 1944","$174,381"
"Entre les murs (The Class)","$172,283"
"Doomsday","$165,397"
"Iscariot","$160,180"
"The Duchess","$160,070"
"Pineapple Express","$136,117"
"Untraceable","$128,501"
"Things We Lost in the Fire","$123,918"
"Gone Baby Gone","$115,032"
"La Zona","$114,422"
"The Other Boleyn Girl","$113,148"
"Paranoid Park","$112,089"
"Sex Drive","$109,431"
"Joulutarina (Christmas Story)","$108,424"
"L'Heure d'été (Summer Hours)","$105,317"
"Shine a Light","$102,093"
"3:10 to Yuma (2007)","$99,798"
"It's a Free World...","$98,683"
"Etz Limon (Lemon Tree)","$98,078"
"Margot at the Wedding","$96,756"
"La Graine et le mulet (The Secret of the Grain)","$96,694"
"Step Up 2 the Streets","$96,207"
"The Forbidden Kingdom","$88,945"
"RockNRolla","$87,325"
"Die Welle (The Wave)","$85,724"
"Kautokeino-opprøret","$85,237"
"Far Jag Lov - Till Den Sista Dansen?","$84,837"
"My Best Friend's Girl","$84,286"
"30 Days of Night","$79,661"
"Bang Och Varldshistorien","$78,620"
"De Fortabte sjæles ø","$75,449"
"Elegy","$72,858"
"Donkey Punch","$70,025"
"Happily N'Ever After","$67,681"
"Tuya de hun shi (Tuya's Marriage)","$67,001"
"Before the Devil Knows You're Dead","$66,651"
"Semi-Pro","$65,923"
"Sukkar banat (Caramel)","$61,579"
"Speed Racer","$57,242"
"Blade Runner: The Final Cut","$56,433"
"My Blueberry Nights","$55,372"
"The Savages","$54,517"
"Death Race","$54,131"
"The Visitor","$52,541"
"Ljusår","$49,995"
"Molière (2007)","$49,443"
"Happy-Go-Lucky","$45,290"
"Rachel Getting Married","$44,630"
"Shutter","$44,487"
"Bangkok Dangerous (2008)","$43,026"
"W Delta Z (a.k.a. Waz)","$40,591"
"[Rec]","$40,152"
"All the Boys Love Mandy Lane","$39,650"
"The Ruins","$38,628"
"Across the Universe","$37,965"
"Buda as sharm foru rikht","$36,245"
"Necrobusiness","$35,307"
"Expired","$35,207"
"Mio fratello è figlio unico (My Brother Is an Only Child)","$32,894"
"Fishy","$31,956"
"Love in the Time of Cholera","$31,802"
"Die Fälscher (The Counterfeiters)","$31,412"
"Meet Dave","$31,120"
"Funny Games","$30,627"
"Reservation Road","$30,611"
"Kunsten at græde i kor (The Art of Crying)","$29,941"
"Definitely, Maybe","$29,144"
"Sagan","$28,817"
"In the Valley of Elah","$28,753"
