" Movie Title"," Distributor"," Gross"," Release"
"Harry Potter and the Deathly Hallows (Part One)","WB","$15,700,220","11/17"
"Inception","WB","$9,368,607","7/23"
"Änglagård - Tredje gången gillt","Svensk","$9,050,030","12/25"
"The Twilight Saga: Eclipse","Nordisk","$7,358,424","6/30"
"Snabba Cash (Easy Money)","Nordisk","$7,205,130","1/15"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$6,869,710","12/25"
"Alice in Wonderland (2010)","Disney","$6,483,980","3/3"
"Toy Story 3","Disney","$5,769,210","8/27"
"Sex and the City 2","Sandrew","$5,236,199","5/27"
"Shrek Forever After","UIP","$5,074,950","7/7"
"Farsan","Svensk","$4,884,223","2/12"
"Svinalängorna (Beyond)","Nordisk","$4,800,080","12/10"
"Robin Hood","UIP","$3,994,494","5/12"
"Shutter Island","UIP","$3,714,446","2/19"
"Sherlock Holmes","Sandrew","$3,658,521","1/1"
"I rymden finns inga känslor","Svensk","$3,462,611","9/3"
"How to Train Your Dragon","UIP","$3,051,153","3/26"
"Himlen är oskyldigt blå (Behind Blue
Skies)","Nordisk","$2,921,178","10/15"
"Despicable Me","UIP","$2,606,523","10/1"
"Tron Legacy","Disney","$2,580,809","12/17"
"Sammy's Adventures: The Secret Passage","Svensk","$2,560,284","10/29"
"The Princess and the Frog","Disney","$2,547,916","2/5"
"Wall Street: Money Never Sleeps","Fox","$2,515,470","9/24"
"Cornelis","Svensk","$2,485,731","11/12"
"Megamind","UIP","$2,482,015","12/25"
"Hævnen (In a Better World)","Nordisk","$2,269,634","10/1"
"Saw 3D","Scanbox","$2,258,133","10/29"
"Due Date","WB","$2,241,876","11/3"
"Knight & Day","Fox","$2,182,195","7/14"
"Prince of Persia: The Sands of Time","Disney","$1,989,159","5/19"
"The Social Network","Sony","$1,983,938","10/22"
"Iron Man 2","UIP","$1,968,871","4/28"
"Resident Evil: Afterlife","Sony","$1,965,423","9/17"
"Clash of the Titans (2010)","WB","$1,878,400","4/14"
"Bröderna Karlsson","Svensk","$1,820,573","7/30"
"The Sorcerer's Apprentice","Disney","$1,808,518","7/28"
"It's Complicated","UIP","$1,737,141","1/22"
"Cloudy with a Chance of Meatballs","Sony","$1,514,699","1/22"
"The Last Airbender","UIP","$1,432,303","10/15"
"Eat Pray Love","Sony","$1,424,551","10/1"
"Kommissarie Späck","Nordisk","$1,421,333","6/4"
"The Town","Sandrew","$1,394,136","12/15"
"Beck – Levande begravd","Nordisk","$1,274,072","6/21"
"The Karate Kid","Sony","$1,249,977","8/6"
"The A-Team","Fox","$1,141,017","6/9"
"The Expendables","n/a","$1,096,956","8/13"
"Marmaduke","Fox","$999,980","9/17"
"Grown Ups","Sony","$977,750","8/20"
"Predators","Fox","$965,812","8/6"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$947,492","2/24"
"Salt","Sony","$917,732","9/3"
"The Wolfman","UIP","$916,741","2/10"
"Änglavakt (Among Us)","Svensk","$888,041","3/12"
"Green Zone","UIP","$844,187","3/12"
"Paranormal Activity 2","UIP","$836,578","10/22"
"Did You Hear About the Morgans?","Sony","$821,322","1/8"
"Valentine's Day","WB","$802,121","2/12"
"I Love You, Phillip Morris","Scanbox","$788,038","2/26"
"The Other Guys","Sony","$782,248","10/8"
"Remember Me","Nordisk","$765,852","3/12"
"Cats & Dogs: Revenge of Kitty Galore","Sandrew","$750,803","8/13"
"Tusen gånger starkare (A Thousand Times
Stronger)","Svensk","$746,398","9/24"
"Vampires Suck","Fox","$735,736","8/18"
"Kick Ass","Nordisk","$694,867","4/9"
"The Next Three Days","Svensk","$688,767","12/3"
"The Bounty Hunter","Sony","$674,983","3/31"
"Legend of the Guardians: The Owls of Ga'Hoole","WB","$672,463","10/22"
"Oceans","Atlantic","$666,524","10/1"
"Up in the Air","UIP","$654,727","1/15"
"Prinzessin Lillifee","Svensk","$571,247","9/10"
