" Movie Title"," Gross"
"Avatar","$13,634,452"
"2012","$13,395,852"
"Transformers: Revenge of the Fallen","$7,537,453"
"Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II)","$4,512,737"
"Angels & Demons","$4,162,577"
"Terminator Salvation: The Future Begins","$3,392,424"
"Harry Potter and the Half Blood Prince","$3,106,984"
"Yes Man","$2,942,790"
"Up","$2,571,288"
"Sherlock Holmes","$2,445,815"
"The Curious Case of Benjamin Button","$2,328,845"
"The Ugly Truth","$2,151,035"
"Ice Age: Dawn of the Dinosaurs","$2,059,262"
"G.I. Joe","$2,048,471"
"The Final Destination","$1,898,219"
"Inkheart","$1,815,500"
"Night at the Museum: Battle of the Smithsonian","$1,653,058"
"The Twilight Saga: New Moon","$1,588,979"
"Madagascar: Escape 2 Africa","$1,529,524"
"The Proposal","$1,400,215"
"He's Just Not That Into You","$1,282,755"
"Bride Wars","$1,152,355"
"Fast and Furious","$1,139,333"
"Shi yue wei cheng (Bodyguards and Assassins)","$1,124,979"
"Gake no ue no Ponyo (Ponyo on a Cliff)","$1,072,756"
"Slumdog Millionaire","$1,068,100"
"X-Men Origins: Wolverine","$1,062,118"
"Okuribito (Departures)","$1,011,410"
"Knowing","$907,279"
"Michael Jackson's This Is It","$883,247"
"Confessions of a Shopaholic","$828,714"
"Ip Man","$801,604"
"The Taking of Pelham One, Two, Three","$792,231"
"Marley and Me","$773,889"
"17 Again","$743,424"
"A Christmas Carol (2009)","$727,953"
"Valkyrie","$695,875"
"Surrogates","$690,081"
"Orphan","$652,099"
"My Bloody Valentine 3-D","$650,526"
"Watchmen","$648,733"
"Program Nar Vinyan Ar-Kat (Coming Soon)","$613,175"
"Public Enemies","$576,659"
"Julie & Julia","$573,200"
"Star Trek","$557,031"
"Changeling","$530,379"
"Seven Pounds","$514,496"
"The Hangover","$512,666"
"Taken","$487,265"
"Monsters Vs. Aliens","$444,156"
"The Time Traveler's Wife","$442,996"
"Inglourious Basterds","$418,586"
"Detroit Metal City","$403,564"
"Drag Me to Hell","$394,868"
"The Reader","$377,530"
"District 9","$358,198"
"Underworld: Rise of the Lycans","$350,200"
"Meitantei Conan: Shikkoku No Chaser (Detective Conan: The Raven Chaser)","$320,673"
"Feng sheng (The Message)","$318,761"
"Crank: High Voltage","$314,718"
"Revolutionary Road","$313,699"
"Friday the 13th (2009)","$306,654"
"Saw VI","$289,145"
"500 Days of Summer","$277,514"
"The Haunting in Connecticut","$276,930"
"Push","$272,222"
"My Sister's Keeper","$264,741"
"G-Force","$261,298"
"Taking Woodstock","$256,856"
"The International","$256,377"
"Gekijô ban Naruto: Shippûden - Kizuna (2008)","$226,585"
"Ai dao di (L-O-V-E)","$225,869"
"Coco avant Chanel","$220,474"
"Ci Ling (The Treasure Hunter)","$213,181"
"Law Abiding Citizen","$210,893"
"Duplicity","$205,018"
"Couples Retreat","$203,223"
"Case 39","$202,457"
"Thick as Thieves","$199,621"
"The Pink Panther 2","$182,473"
"Ghosts of Girlfriends Past","$177,455"
"Dragonball Evolution","$174,310"
"Ninja Assassin","$173,922"
"Paranormal Activity","$167,157"
"Gamer (2009)","$165,831"
"Love Happens","$156,630"
"San suk si gin (Shinjuku Incident)","$156,479"
"Whiteout","$151,607"
"Spread","$149,945"
"The Rebound","$141,962"
"Milk","$139,288"
"Blood: The Last Vampire","$130,497"
"Pandorum","$128,416"
"Ha phraeng (Phobia 2)","$120,156"
"Race to Witch Mountain","$117,383"
"New York, I Love You","$117,271"
"The Unborn (2009)","$115,233"
"Defiance","$110,349"
"Yomei Ikkagetsu No Hanayome (April Bride)","$98,188"
"Ssanghwajeom (A Frozen Flower)","$94,086"
"Largo Winch","$91,879"
"Gran Torino","$91,226"
"New in Town","$89,352"
"Carriers","$86,971"
"Evangerion shin gekijôban: Ha (Evangelion: 2.0 You Can (Not) Advance)","$85,380"
"Zack and Miri Make a Porno","$84,984"
"Halloween II (2009)","$82,909"
"The Invitation","$78,755"
"Two Lovers","$76,510"
"The Fourth Kind","$72,694"
"Astro Boy","$71,942"
"The Brothers Bloom","$68,967"
"Fung wan II (The Storm Warriors)","$68,872"
"The Last House on the Left (2009)","$65,213"
"Make It Happen","$63,782"
"Coco Chanel & Igor Stravinsky","$62,056"
"Shonen merikensakku","$61,101"
"A Perfect Getaway","$59,577"
"Fame (2009)","$56,525"
"Lei wangzi (Prince of Tears)","$55,438"
"Sorority Row","$54,324"
"Management","$50,731"
"Milarepa","$50,520"
"Rookies: Sotsugyô","$50,164"
"K-20: Kaijin niju menso den","$49,361"
"Fei Cheng Wu Rao (If You Are the One)","$49,258"
"Haeundae","$48,213"
"Jump!","$45,476"
"Jodhaa Akbar","$45,264"
"Last Chance Harvey","$45,067"
"Keinohrhasen","$42,204"
