" Movie Title"," Gross"
"Tamnaan somdet phra Naresuan maharat: Phaak prakaat itsaraphaap (Declaration of Independence)","$7,215,385"
"Naresuan (King Naresuan)","$7,124,588"
"Spider-Man 3","$6,053,014"
"Harry Potter and the Order of the Phoenix","$5,728,373"
"Pirates of the Caribbean: At World's End","$4,463,110"
"Transformers","$4,066,435"
"Resident Evil: Extinction","$2,862,253"
"The Bodyguard 2","$2,849,046"
"Teng Nong Khon Ma Ha Hear","$2,707,183"
"National Treasure: Book of Secrets","$2,696,573"
"Live Free or Die Hard","$2,659,722"
"I Am Legend","$2,658,824"
"Mae-Na-Rok Mouy-Yok-Lor","$2,508,776"
"Tad su fut (Kung Fu Tootsie)","$2,442,749"
"Pong-Lang Sading Lamsing Saina","$2,406,323"
"Sailap jap baan lek (The Bedside Detective)","$2,331,573"
"Fantastic Four: Rise of the Silver Surfer","$2,311,406"
"The Golden Compass","$2,209,600"
"Alien vs. Predator - Requiem","$2,135,249"
"Ghost Rider","$2,053,661"
"Alone (2007)","$2,040,003"
"300","$1,806,471"
"Ma-Mha See Kha Krab","$1,759,455"
"Khuu raet (The Odd Couple)","$1,610,129"
"Rush Hour 3","$1,582,540"
"Hor taew tak (Haunting Me)","$1,569,231"
"The Bourne Ultimatum","$1,557,890"
"Beowulf","$1,481,449"
"Baan phii sing (The House)","$1,346,634"
"Rak Hang Siam (Love of Siam)","$1,305,125"
"Opapatika","$1,186,582"
"Isam samawang (In Country Melody)","$1,172,614"
"Ratatouille","$1,151,153"
"Kho Hai Rak Jong Ja Roean","$1,043,070"
"Yen Pe Le Semakute","$1,011,396"
"Body sob 19","$928,176"
"Kon Bai: The Movie","$910,258"
"The Kingdom","$898,516"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","$885,039"
"Ocean's Thirteen","$868,894"
"Stardust","$853,205"
"Mr. Bean's Holiday","$839,979"
"Krob Krua Tua Dam (Black Family)","$750,808"
"Next","$743,485"
"Final Score","$737,533"
"Phii mai jim fun (Vow of Death)","$629,759"
"Shooter","$628,021"
"Gohy theu gay","$620,876"
"Shrek the Third","$619,231"
"Primeval","$609,611"
"Yang ngai gaw rak","$603,500"
"Rak Na Yee Sib See Chua Mong","$598,395"
"Tau ming chong (The Warlords)","$559,036"
"Khon hew hua","$515,048"
"Bridge to Terabithia","$504,493"
"Prabuddhachao (The Life of Buddha)","$482,515"
"The Invasion","$465,821"
"Blood Diamond","$459,842"
"Alvin and the Chipmunks","$437,262"
"Perng Mang: Glawng phee nang manut","$426,623"
"Charlotte's Web","$425,382"
"28 Weeks Later","$401,676"
"Underdog","$395,375"
"Suay Laak Sai (Sick Nurses)","$384,135"
"Ploy","$375,643"
"Pee Chang Nang (The Screen)","$373,713"
"WAR","$370,918"
"Phil Leang Luk Khon (Ghost Mother)","$354,786"
"The Number 23","$351,119"
"Open Season","$345,403"
"Music and Lyrics","$332,829"
"The Game Plan","$326,234"
"Puean Ku Rak Mung Wa (Bangkok Love Story)","$322,994"
"Surf's Up","$315,120"
"Chaiya","$311,294"
"The Simpsons Movie","$294,028"
"Sunshine","$292,529"
"Hannibal Rising","$288,738"
"The Gig 2","$287,483"
"Balls of Fury","$265,367"
"Fracture","$262,486"
"Video Clip","$262,194"
"I Now Pronounce You Chuck and Larry","$259,491"
"Winyan Lokkhontai (The Spiritual World)","$244,512"
"Pathfinder: Legend of the Ghost Warrior","$244,374"
"The Pursuit of Happyness","$243,136"
"Lions for Lambs","$235,516"
"1408","$232,031"
"The Last Legion","$229,530"
"The Reaping","$229,053"
"The Brave One","$223,465"
"Babel","$221,572"
"Epic Movie","$218,867"
"TMNT","$216,816"
"Dreamgirls","$197,631"
"Mi-nyeo-neun Gwae-ro-wo (200 Pounds Beauty)","$193,841"
"The Condemned","$188,516"
"Skinwalkers","$181,420"
"Chum thaang rot fai phii (Train of the Dead)","$180,797"
"Shoot 'Em Up","$167,638"
"Doraemon: Nobita no kyôryû (2006)","$162,039"
"The Secret","$160,610"
"Michael Clayton","$154,105"
"Hairspray (2007)","$146,688"
"Norbit","$143,382"
"Turistas","$140,967"
"Oag Sam Sok Song Kam Pan","$130,212"
"Bee Movie","$126,883"
"Rocky Balboa","$123,263"
"Rak Mai Jamkad Niyam","$105,396"
"Wild Hogs","$104,062"
"Vacancy","$99,400"
"The Queen","$93,543"
"Blood and Chocolate","$93,004"
"Perfect Stranger","$92,594"
"No Reservations","$88,774"
"Smokin' Aces","$86,587"
"El Laberinto del Fauno (Pan's Labyrinth)","$86,203"
"Meet the Robinsons","$84,026"
"Breach","$79,909"
"Captivity","$79,619"
"Moon to (Protégé)","$77,414"
"Grindhouse: Planet Terror","$74,663"
"Open Water 2: Adrift","$73,964"
"The Last Mimzy","$73,355"
"I Know Who Killed Me","$72,195"
"Rise: Blood Hunter","$67,830"
"Likit rak... khat jai mae (The One)","$65,077"
"Mizuchi (Death Water)","$62,853"
"Shark Bait (a.k.a. The Reef)","$62,605"
"Grindhouse: Death Proof","$61,857"
"The Good Shepherd","$61,655"
"Jopog manura 3 (My Wife Is a Gangster 3)","$59,553"
"Tenacious D in: The Pick of Destiny","$59,335"
"Perfume - The Story of a Murderer","$56,408"
"Nana 2","$53,685"
"The Black Dahlia","$50,891"
