" Movie Title"," Distributor"," Gross"," Release"
"The Mummy: Tomb of the Dragon Emperor","UIP","$3,642,139","7/31"
"Quantum of Solace","Sony","$3,044,260","11/5"
"Ong bak 2","Mongkol Films","$2,923,911","12/5"
"Hancock","Sony","$2,652,118","7/2"
"The Dark Knight","WB","$2,633,488","7/17"
"Pidterm Yai Huajai Vavun","n/a","$2,617,446","3/20"
"Iron Man","UIP","$2,457,844","4/30"
"See prang","n/a","$2,435,026","4/24"
"Luang phii theng 2 (Holy Man 2)","Phranakorn","$2,363,683","10/3"
"The Chronicles of Narnia: Prince Caspian","Disney","$2,303,423","5/29"
"Jumper","Fox","$2,105,504","2/21"
"Indiana Jones and the Kingdom of the Crystal
Skull","UIP","$2,038,867","5/22"
"Chocolate (2008)","Mongkol Films","$2,029,792","2/6"
"10,000 B.C.","WB","$2,004,427","3/6"
"Wanted","UIP","$1,907,512","6/26"
"Puanyai Chomsalad","Mongkol Films","$1,731,611","10/23"
"Twilight","Mongkol Major","$1,705,835","11/27"
"Hellboy II: The Golden Army","UIP","$1,594,868","7/10"
"The Forbidden Kingdom","Mongkol Major","$1,574,506","4/18"
"The Day the Earth Stood Still (2008)","Fox","$1,512,183","12/10"
"Long khong 2 (Art of the Devil 3)","Five Star","$1,483,738","4/3"
"Program Nar Vinyan Ar-Kat (Coming
Soon)","GMM Tai Hub","$1,394,256","10/30"
"Wall-E","Disney","$1,339,508","8/12"
"Happy Birthday (2008)","n/a","$1,309,761","12/18"
"Rak Sam Sao (The Last Moment)","GMM Tai Hub","$1,298,906","6/19"
"Boon Chu I Love Sara U (Boon Chu 9)","Five Star","$1,261,188","8/28"
"The Incredible Hulk","UIP","$1,177,786","6/12"
"Journey to the Center of the Earth","Mongkol Major","$1,157,727","7/24"
"Cheung Gong 7 hou (CJ7)","Sony","$1,141,774","2/6"
"Eagle Eye","UIP","$1,129,075","9/25"
"Dream Team","RS","$1,111,907","4/3"
"Vantage Point","Sony","$1,101,636","4/3"
"Kung Fu Panda","UIP","$1,096,121","6/12"
"Bedtime Stories","Disney","$972,001","12/31"
"Mum - Deaw","Mongkol Films","$963,176","1/10"
"You Don't Mess with the Zohan","Sony","$961,361","9/11"
"Enchanted","Disney","$944,813","1/24"
"Chi bi (Red Cliff: Part I)","Mongkol Major","$944,735","7/10"
"Thewada Thajateng? (Teng's Angel)","Mongkol Films","$928,983","5/1"
"Hitman","Fox","$914,716","1/10"
"Cloverfield","UIP","$903,166","1/17"
