" Movie Title"," Distributor"," Gross"," Release"
"Harry Potter and the Deathly Hallows (Part One)","WB","$4,933,136","11/18"
"Iron Man 2","UIP","$4,617,812","4/29"
"Kuan Mun Ho (Knowing Me, Knowing You)","GMM Tai Hub","$4,413,745","8/19"
"Sudkhet Saletped","n/a","$4,098,465","12/30"
"Resident Evil: Afterlife","Mongkol Major","$3,415,485","9/9"
"The Twilight Saga: Eclipse","Mongkol Major","$3,217,792","7/1"
"Clash of the Titans (2010)","WB","$2,884,686","4/1"
"Singleklek Teereakwarak (First Love)","Mongkol Films","$2,658,811","8/12"
"Prince of Persia: The Sands of Time","Disney","$2,468,718","6/10"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$2,203,470","12/9"
"Inception","WB","$2,087,414","7/15"
"Saranae Siblor","Mongkol Films","$2,084,170","4/1"
"The Sorcerer's Apprentice","Disney","$2,069,163","7/22"
"Tukkie Chau Ying Khaikob","Mongkol Films","$2,000,137","7/22"
"Step Up 3-D","Mongkol Major","$1,903,317","8/5"
"Alice in Wonderland (2010)","Disney","$1,837,230","3/4"
"Phoo Chai Lunla (Lunla Man)","M","$1,803,464","12/9"
"Tron Legacy","Disney","$1,692,695","12/23"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$1,659,723","2/11"
"Saranae Henphee","Mongkol Films","$1,654,098","12/30"
"Toy Story 3","Disney","$1,526,259","8/12"
"Salt","Sony","$1,515,513","8/5"
"Poh Tak","Mongkol Films","$1,389,361","6/3"
"The Last Airbender","UIP","$1,373,034","7/29"
"Ong Bak 3","Mongkol Films","$1,335,646","5/5"
"Skyline","Mongkol Major","$1,334,065","11/11"
"Ban Chan Talokwaikon (The Little Comedian)","GMM Tai Hub","$1,311,519","3/11"
"Luangphee Teng 3 (The Holy Man 3)","Phranakorn","$1,205,068","8/12"
"Chua Fah Dinsalai (Eternity)","Mongkol Films","$1,147,578","9/16"
"Legend of the Guardians: The Owls of Ga'Hoole","WB","$1,143,997","10/7"
