" Movie Title"," Gross"
"Recep Ivedik","$24,632,784"
"A.R.O.G","$19,736,977"
"Muro: Nalet olsun içimdeki insan sevgisine","$11,602,503"
"Osmanli cumhuriyeti","$7,746,467"
"Mustafa","$5,589,390"
"Maskeli besler kibris","$5,575,199"
"Çilgin dersane kampta","$5,284,100"
"O... Çocuklari","$4,358,771"
"Journey to the Center of the Earth","$3,585,149"
"Ulak","$3,120,666"
"The Dark Knight","$3,002,678"
"The Mummy: Tomb of the Dragon Emperor","$2,899,904"
"120","$2,821,974"
"I Am Legend","$2,649,122"
"10,000 B.C.","$2,638,274"
"Saw V","$2,527,650"
"Madagascar: Escape 2 Africa","$2,238,477"
"National Treasure: Book of Secrets","$2,233,999"
"Indiana Jones and the Kingdom of the Crystal Skull","$2,167,823"
"Hancock","$2,096,269"
"Wanted","$1,983,954"
"Quantum of Solace","$1,881,279"
"Ask tutulmasi","$1,870,941"
"Avanak kuzenler","$1,858,477"
"Semum","$1,827,047"
"Iron Man","$1,657,838"
"The Day the Earth Stood Still (2008)","$1,575,974"
"Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom)","$1,472,997"
"American Gangster","$1,363,862"
"The Chronicles of Narnia: Prince Caspian","$1,326,356"
"Bolt","$1,314,254"
"Plajda","$1,313,378"
"The Incredible Hulk","$1,280,611"
"Body of Lies","$1,276,581"
"The Forbidden Kingdom","$1,270,334"
"Sex and the City","$1,260,389"
"Kung Fu Panda","$1,238,305"
"Nim's Island","$1,209,721"
"Destere","$1,206,783"
"Seytanin pabucu","$1,167,902"
"Australia","$1,162,439"
"Righteous Kill","$1,121,203"
"Devrim arabalari","$1,100,299"
"Mongol","$1,036,667"
"The Bucket List","$1,022,310"
"Vantage Point","$1,022,064"
"Astérix aux jeux olympiques","$1,003,922"
"Wall-E","$974,445"
"P.S. I Love You","$933,125"
"Dr. Seuss' Horton Hears a Who!","$911,302"
"Süper Ajan K9","$902,403"
"Mr. Magorium's Wonder Emporium","$873,556"
"Vicdan","$831,191"
"Charlie Wilson's War","$813,824"
"Mirrors","$802,816"
"Max Payne","$776,133"
"Awake","$773,688"
"Babylon A.D.","$762,400"
"Get Smart","$756,130"
"Sonbahar","$741,768"
"Three Monkeys","$736,000"
"Cloverfield","$732,797"
"Mamma Mia!","$729,242"
"Garfield's Fun Fest","$696,003"
"You Don't Mess with the Zohan","$695,348"
"The Eye","$694,339"
"Son ders","$693,214"
