" Movie Title"," Distributor"," Gross"," Release"
"Recep Ivedik 2","Ozen Film","$19,221,933","2/13"
"Avatar","Fox","$17,564,479","12/18"
"Nefes","Medyavizyon","$14,077,475","10/16"
"Gunesi Gordum","Pinema","$12,812,281","3/9"
"2012","WB","$8,751,289","11/13"
"Ice Age: Dawn of the Dinosaurs","Tiglon","$7,650,309","7/1"
"The Twilight Saga: New Moon","Tiglon","$6,838,982","11/20"
"Neseli hayat","Cinefilm","$6,366,255","11/27"
"Kurtlar vadisi: Gladio","Ozen Film","$4,703,086","11/20"
"Angels & Demons","WB","$3,998,699","5/15"
"Harry Potter and the Half Blood Prince","WB","$3,398,067","7/15"
"Güz sancisi","Ozen Film","$3,105,177","1/23"
"The Curious Case of Benjamin Button","WB","$2,815,121","2/6"
"Kadri'nin götürdügü yere git","Medyavizyon","$2,502,800","1/16"
"Kolpaçino","Ozen Film","$2,424,173","10/30"
"Vali (2009)","Medyavizyon","$2,323,117","1/9"
"Fast and Furious","UIP","$2,118,857","4/3"
"Yedi kocali Hürmüz","n/a","$2,097,689","11/20"
"The Final Destination","WB","$2,066,872","8/28"
"Slumdog Millionaire","Chantier","$2,007,800","2/27"
"Transformers: Revenge of the Fallen","UIP","$1,940,592","6/24"
"Inglourious Basterds","UIP","$1,925,299","8/21"
"Gecenin Kanatlari","Pinema","$1,889,529","11/12"
"Yes Man","WB","$1,883,542","1/16"
"Knowing","WB","$1,871,426","4/10"
"Up","UIP","$1,764,301","10/16"
"Türkler çýldýrmýþ olmalý","UIP","$1,721,309","11/27"
"Twilight","Tiglon","$1,715,562","1/16"
"Terminator Salvation: The Future Begins","WB","$1,608,069","6/5"
"The Tale of Despereaux","UIP","$1,483,127","1/23"
"Kanal-i-zasyon","Tiglon","$1,381,501","10/23"
"Dabbe 2","Ozen Film","$1,307,050","12/25"
"Ask geliyorum demez","Tiglon","$1,293,459","11/6"
"Alvin and the Chipmunks: The
Squeakquel","Fox","$1,267,766","12/25"
"Surrogates","UIP","$1,181,024","9/25"
"Ayakta Kal","UIP","$1,157,401","1/16"
"Monsters Vs. Aliens","UIP","$1,132,671","4/10"
"Saw VI","WB","$1,121,816","12/11"
"Adini sen koy","Cinefilm","$1,076,459","12/4"
"He's Just Not That Into You","Warner Bros.","$1,003,526","4/24"
"G.I. Joe","UIP","$964,177","8/7"
"The Ugly Truth","WB","$954,399","9/25"
"Vicky Cristina Barcelona","Tiglon","$949,974","1/9"
"X-Men Origins: Wolverine","Tiglon","$949,765","5/1"
"Inkheart","Medyavizyon","$946,333","1/23"
"My Bloody Valentine 3-D","WB","$875,120","2/13"
"Umut","Ozen Film","$871,945","2/27"
"Valkyrie","Tiglon","$865,827","1/30"
"Vavien","UIP","$865,235","12/18"
"Public Enemies","UIP","$812,371","7/10"
"Aci Ask","Tiglon","$769,711","12/18"
"The Proposal","UIP","$747,267","6/19"
"Night at the Museum: Battle of the
Smithsonian","Tiglon","$736,071","5/22"
"Ghosts of Girlfriends Past","WB","$726,400","7/24"
"The Taking of Pelham One, Two, Three","Warner Bros.","$718,797","7/31"
"Abimm","Medyavizyon","$710,219","12/4"
"Karanliktakiler (In Darkness)","Cinefilm","$708,526","10/2"
"Cloudy with a Chance of Meatballs","WB","$691,749","11/20"
"G-Force","UIP","$688,581","9/18"
"The Secret of Moonacre","Tiglon","$669,080","4/17"
"Duplicity","UIP","$638,709","3/20"
"Baska Dilde Ask","Medyavizyon","$638,321","12/18"
"Open Season 2","Tiglon","$637,433","1/16"
"Watchmen","UIP","$617,618","3/6"
"Deli Deli Olma","Pinema","$614,899","4/17"
"The Hangover","WB","$584,923","7/10"
"The Haunting in Connecticut","WB","$569,860","6/12"
"Bedtime Stories","UIP","$559,867","2/6"
"Sizi seviyorum","Medyavizyon","$542,350","9/18"
"Sonsuz","Ozen Film","$526,273","9/18"
"Star Trek","UIP","$519,562","5/8"
"Adab-i muaseret","Medyavizyon","$518,764","5/15"
"Seven Pounds","WB","$515,273","3/13"
"Changeling","UIP","$502,294","1/30"
"Revolutionary Road","UIP","$490,183","2/27"
"My Sister's Keeper","WB","$481,324","8/14"
"The Time Traveler's Wife","WB","$478,833","10/9"
"Orphan","WB","$454,693","9/4"
"State of Play","UIP","$448,332","4/17"
"Friday the 13th (2009)","Warner Bros.","$443,879","4/24"
"Crank: High Voltage","WB","$440,926","5/8"
"Kirpi","Medyavizyon","$429,909","1/30"
"La Véritable histoire du chat botte","Medyavizyon","$417,168","9/11"
"The Uninvited","UIP","$408,270","5/29"
"17 Again","Warner Bros.","$405,755","6/19"
"Usta","Cinefilm","$403,642","5/8"
"Iki Dil Bir Bavul","Tiglon","$397,237","10/23"
"The Last House on the Left (2009)","UIP","$392,838","6/19"
"Passengers","WB","$390,725","1/2"
"Underworld: Rise of the Lycans","WB","$386,898","3/27"
"Carriers","Medyavizyon","$377,151","9/18"
"Hotel for Dogs","UIP","$366,761","3/13"
"Couples Retreat","UIP","$354,149","12/25"
"Niko - Lentäjän poika (Niko & The Way to the Stars)","Tiglon","$346,721","2/20"
"The Reader","Tiglon","$345,438","4/10"
"Gamer (2009)","Pinema","$344,322","10/2"
"The Blue Elephant","UIP","$342,698","8/29"
"Drag Me to Hell","UIP","$339,904","10/16"
"Michael Jackson's This Is It","WB","$334,667","10/28"
"Marley and Me","Tiglon","$333,123","4/3"
" Movie Title"," Distributor"," Gross"," Release"
"The Pink Panther 2","Warner Bros.","$329,221","4/17"
"Confessions of a Shopaholic","UIP","$328,638","2/20"
"The Horsemen","WB","$326,187","3/20"
"Bride Wars","Tiglon","$323,650","2/13"
"District 9","Medyavizyon","$315,739","11/6"
"500 Days of Summer","Tiglon","$315,248","10/9"
"Aliens in the Attic","Tiglon","$313,838","6/26"
"A Christmas Carol (2009)","UIP","$313,187","9/9"
"Coraline","UIP","$309,735","5/15"
"Race to Witch Mountain","UIP","$304,845","3/20"
"My Best Friend's Girl","Tiglon","$298,111","5/22"
"Gnomes and Trolls: The Secret Chamber","Tiglon","$276,384","3/6"
"Last Chance Harvey","Medyavizyon","$266,252","7/17"
"New in Town","UIP","$259,366","3/27"
"Doubt","UIP","$251,399","2/6"
"Scar","Ozen Film","$243,858","1/16"
"OceanWorld 3D","Tiglon","$224,464","10/16"
"Gran Torino","WB","$218,632","3/6"
"Baþka Semtin Çocuklarý","Medyavizyon","$214,063","4/24"
"Pride & Glory","WB","$207,803","1/30"
"The Children","Tiglon","$207,426","7/31"
"Golgesizler","UIP","$203,936","2/27"
"Hannah Montana The Movie","UIP","$203,347","5/15"
"Konak","Medyavizyon","$190,351","10/30"
"Eden Lake","Tiglon","$190,173","8/14"
"Kiskanmak","Medyavizyon","$189,209","11/6"
"Roadside Romeo","Pinema","$184,029","5/29"
"The Spirit","Tiglon","$183,680","2/20"
"Funny People","UIP","$182,464","10/2"
"Coco Chanel & Igor Stravinsky","Tiglon","$181,939","10/16"
"Coco avant Chanel","Chantier","$176,443","11/6"
"Push","Tiglon","$176,413","5/29"
"Lissi and the Wild Emperor","Ozen Film","$173,309","1/30"
"Kiz Kardesim: Mommo","Tiglon","$172,178","4/17"
"Battle for Terra","UIP","$170,786","8/7"
"Four Christmases","WB","$169,322","2/27"
"Lissi und der wilde Kaiser","Ozen Film","$165,492","1/30"
"Jennifer's Body","Tiglon","$162,881","10/23"
"From Within","Ozen Film","$160,231","9/11"
"Beverly Hills Chihuahua","UIP","$157,346","4/24"
"Uzak ihtimal","Tiglon","$155,151","10/9"
"Splinter (2008)","WB","$152,955","4/3"
"Kanimdaki barut","WB","$152,549","9/18"
"The Hurt Locker","Tiglon","$148,821","10/2"
"Kelebek","Ozen Film","$144,902","5/1"
"I Love You Man","UIP","$144,213","6/12"
"Outlander","Tiglon","$143,156","4/10"
"Pandoranin kutusu","Tiglon","$141,726","1/23"
"Thick as Thieves","Sinetel","$141,024","4/3"
"Humains","Tiglon","$138,123","7/24"
"Sunshine Barry and the Disco Worms","Tiglon","$136,524","4/23"
"Martyrs","Tiglon","$130,008","5/1"
"Totally Spies","UIP","$128,897","10/23"
"Blood: The Last Vampire","Tiglon","$126,980","9/18"
"Alone","Duka","$121,929","7/3"
"Evangelion 1.0 You Are (Not) Alone","Duka","$116,042","7/3"
"Clive Barker's Book of Blood","Ozen Film","$115,616","5/8"
"All the Boys Love Mandy Lane","Tiglon","$114,803","4/3"
"The Oxford Murders","Tiglon","$114,641","3/27"
"Space Chimps","WB","$114,289","1/9"
"Fritt vilt II (Cold Prey 2)","Duka","$110,897","9/18"
"Alone (2007)","Duka","$110,086","7/3"
"Melekler ve kumarbazlar","Ozen Film","$109,985","10/23"
"Pour elle (Anything for Her)","Tiglon","$102,935","6/5"
"12 Rounds","Tiglon","$101,150","6/12"
"Diario de una ninfómana","Pinema","$100,401","6/26"
"Blindness","Tiglon","$99,766","6/5"
"Gökten 3 elma düstü","Tiglon","$99,508","3/6"
"No Man's Land: The Rise of Reeker","Ozen Film","$99,499","1/2"
"Program Nar Vinyan Ar-Kat (Coming
Soon)","Tiglon","$99,282","6/26"
"Kampuste ciplak ayaklar","Cinefilm","$97,932","10/2"
"Easy Virtue","Medyavizyon","$96,383","5/29"
"Fame (2009)","Pinema","$95,814","10/23"
"Clive Barker's Dread","Ozen Film","$95,670","10/30"
"Hadigari cumhur","Cinemagroup","$91,498","5/22"
"Hush (2009)","Tiglon","$89,471","7/10"
"Burning Plain","Pinema","$89,389","6/12"
"Supurrr !","WB","$86,671","12/18"
"Sunshine Cleaning","Tiglon","$86,390","8/29"
"The Unborn (2009)","UIP","$84,695","1/9"
"Saddam'ýn Askerleri","Cinemagroup","$83,754","5/1"
"Hexe Lilli, der Drache und das magische Buch","Sinetel","$82,160","5/22"
"The Wrestler","Tiglon","$81,940","3/20"
"The Mutant Chronicles","Tiglon","$80,824","1/2"
"Dönüsüm (Don't Look Back)","Tiglon","$80,716","12/4"
"Milk","Medyavizyon","$78,257","5/8"
"Traitor","Medyavizyon","$75,520","6/12"
"Bornova Bornova","Tiglon","$74,776","11/13"
"Largo Winch","Pinema","$74,773","1/23"
"11'e 10 kala","Ozen Film","$73,231","9/25"
"Nokta","Tiglon","$72,919","5/8"
"How to Lose Friends and Alienate People","Ozen Film","$70,942","4/24"
"Cingirakli top","Cinemagroup","$67,352","9/18"
"Vertige","Tiglon","$67,290","8/21"
"San suk si gin (Shinjuku Incident)","Pinema","$58,837","6/12"
"Yengeç oyunu: Adalet","UIP","$54,940","4/3"
"Franklyn","Tiglon","$53,677","7/31"
"Il y a longtemps que je t'aime (I've Loved You
So Long)","Tiglon","$51,646","7/3"
"Hayat var","Tiglon","$48,766","3/27"
"Choke","Tiglon","$46,621","8/14"
" Movie Title"," Distributor"," Gross"," Release"
"Mezuniyet","Ozen Film","$45,153","11/6"
"Benim ve Roz'un Sonbaharý","Ozen Film","$42,922","5/1"
"Pazar - Bir ticaret masali","Tiglon","$42,879","4/10"
"The Tournament","Pinema","$41,848","11/13"
"Not Worth a Fig (Incir çekirdegi)","Ozen Film","$40,366","11/6"
"Hunger (2008)","Tiglon","$38,677","3/20"
"Towelhead","Tiglon","$38,410","7/10"
"Süt","Medyavizyon","$37,552","1/2"
"Okuribito (Departures)","WB","$35,689","10/2"
"The Countess","Tiglon","$33,951","7/31"
"Capitalism: A Love Story","Medyavizyon","$32,781","11/12"
"Gölge","Ozen Film","$31,124","3/20"
"Aci","Cinemagroup","$29,990","10/9"
"Public Enemy Number One","UIP","$29,203","3/27"
"Sari Saten","Cinefilm","$28,129","9/25"
"Pontypool","Tiglon","$28,051","9/18"
"Appaloosa","Tiglon","$26,899","4/10"
"Anything for Her","Tiglon","$25,128","6/5"
"L'Ennemi intime","Pinema","$22,966","7/3"
"Secret défense","Tiglon","$22,508","7/24"
"Zeytinin hayali","Pinema","$20,626","4/9"
"Ricky (2009)","Tiglon","$19,987","9/25"
"L'Instinct de mort","UIP","$19,942","3/27"
"Szabadság, szerelem (Children of Glory)","Ozen Film","$19,259","10/16"
"Öldür beni","Tiglon","$19,142","2/6"
"The Dust of Time","Tiglon","$18,195","12/4"
"Immigrants (L.A. Dolce Vita)","Ozen Film","$17,573","9/18"
"Frost/Nixon","UIP","$17,449","1/30"
"Someone Behind You","Medyavizyon","$17,286","6/5"
"Doo Saramida (Someone Behind You)","Medyavizyon","$17,271","8/7"
"He Was a Quiet Man","Erman","$17,215","3/6"
"Yasam arsizi","Umut","$16,666","3/6"
"Palermo Shooting","Erman","$16,401","5/29"
"Iki çizgi","Tiglon","$15,827","2/27"
"Dilber'in Sekiz Günü","Medyavizyon","$14,205","4/24"
"Orada","Ozen Film","$12,858","12/25"
"Günesi gördüm","Pinema","$12,139","3/12"
"Vals Im Bashir (Waltz with Bashir)","Tiglon","$11,943","2/6"
"Hayatin tuzu","Tiglon","$10,817","4/9"
"Rumba","Tiglon","$10,506","5/1"
"Havar","Tiglon","$10,054","2/20"
"Jonas Brothers: The 3D Concert Experience","UIP","$9,188","5/1"
"Nord","Tiglon","$8,377","6/12"
"Gake no ue no Ponyo (Ponyo on a Cliff)","Tiglon","$8,365","7/31"
"Frozen River","Tiglon","$8,011","5/1"
"Viaggio segreto","Belga","$7,811","11/27"
"Igor","Filmpop","$7,657","5/8"
"Taking Woodstock","Pinema","$7,200","10/16"
"Ali'nin sekiz günü","Medyavizyon","$7,171","5/8"
"Mazi yarasi","Ozen Film","$6,059","10/9"
"Dunya en Desie","Tiglon","$5,058","2/6"
"Mission Antarctique (The Last Continent)","Pinema","$4,705","7/31"
"Man on Wire","Tiglon","$4,696","3/13"
"The International","WB","$4,519","4/10"
"Nick and Norah's Infinite Playlist","WB","$4,180","2/13"
"Etz Limon (Lemon Tree)","Tiglon","$3,589","2/27"
"Akamas","Ozen Film","$421","10/9"
"O'Horten","Tiglon","$187","8/21"
