" Movie Title","Distributor","Gross","Release"
"Eyyvah eyvah 2","UIP","$20,505,652","1/7"
"Ask Tesadüfleri Sever","UIP","$12,349,802","2/4"
"Kurtlar Vadisi Filistin (Valley of the Wolves: Palestine)","Ozen Film","$9,749,899","1/28"
"Allah'ýn sevdiði kulun","Ozen Film","$8,336,049","11/4"
"Pirates of the Caribbean: On Stranger Tides (3D)","UIP","$7,100,793","5/19"
"The Twilight Saga: Breaking Dawn Part 1","Tiglon","$6,498,199","11/18"
"The Smurfs","WB","$6,133,852","8/5"
"Dedemin Insanlari","WB","$5,745,812","11/25"
"Anadolu kartallari","Tiglon","$5,453,246","10/28"
"Sümela'nin sifresi: Temel","Pinema","$5,272,816","12/16"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$4,302,719","7/15"
"Ya Sonra?","WB","$4,260,060","2/25"
"Hür Adam","Ozen Film","$4,084,674","1/7"
"Kolpaçino: Bomba","Warner Bros.","$3,764,575","3/11"
"Cars 2","UIP","$3,744,189","8/19"
"Transformers 3","UIP","$3,686,637","6/29"
"Fast Five","UIP","$3,452,483","4/29"
"Immortals","Pinema","$3,197,701","11/11"
"Sherlock Holmes: A Game of Shadows","WB","$3,039,100","12/16"
"Behzat Ç. Seni Kalbime Gömdüm","Ozen Film","$2,701,430","10/28"
"Kaybedenler Kulübü","Tiglon","$2,692,857","3/25"
"Yogi Bear","Warner Bros.","$2,531,925","1/21"
"Mission: Impossible - Ghost Protocol","UIP","$2,404,368","12/23"
"Musallat 2: Lanet","Ozen Film","$2,257,990","12/2"
"Final Destination 5","Warner Bros.","$2,140,458","9/9"
"Entelköy efeköy'e karsi","Tiglon","$2,094,448","12/2"
"Thor","UIP","$2,088,436","4/29"
"Kung Fu Panda 2","UIP","$2,004,081","6/10"
"Tron Legacy","UIP","$1,967,810","1/28"
"The Hangover Part II","WB","$1,922,072","6/3"
"Rio","Tiglon","$1,877,441","4/8"
"Sanctum (3D)","Medyavizyon","$1,772,862","2/4"
"Alvin and the Chipmunks: Chipwrecked","Tiglon","$1,729,719","12/16"
"Season of the Witch","Pinema","$1,713,310","1/14"
"The Adventures of Tintin","WB","$1,703,414","11/4"
"Rise of the Planet of the Apes","Tiglon","$1,611,718","8/5"
"Çinar agaci","Medyavizyon","$1,516,262","3/18"
"Mr. Popper's Penguins","Tiglon","$1,470,127","8/26"
"72. Kogus","Medyavizyon","$1,280,686","3/4"
"Black Swan","Tiglon","$1,259,656","2/25"
"Paranormal Activity 3","UIP","$1,245,591","10/21"
"Source Code","Tiglon","$1,165,884","4/8"
"Super 8","UIP","$1,114,572","6/17"
"X-Men: First Class","Tiglon","$1,107,619","6/3"
"Captain America: The First Avenger","UIP","$1,081,033","9/2"
"The King's Speech","UIP","$1,070,958","2/18"
"Just Go With It","Warner Bros.","$1,070,921","3/25"
"Incir Reçeli","Tiglon","$1,065,843","2/11"
"Kutsal Damacana 3 Dracoola","Tiglon","$1,060,477","1/21"
"Labirent","Tiglon","$1,036,320","12/23"
"Scream 4","UIP","$1,003,677","4/15"
"Drive Angry","Warner Bros.","$935,591","3/25"
"The Rite","WB","$901,725","2/11"
"Konferenz der Tiere (Animals United)","Medyavizyon","$868,711","3/11"
"One Day","Warner Bros.","$850,107","10/14"
"Love and Other Drugs","Tiglon","$848,981","1/14"
"Bir zamanlar Anadolu'da (Once Upon a Time in Anatolia)","Tiglon","$835,869","9/23"
"The Adjustment Bureau","UIP","$775,218","3/4"
"In Time","Tiglon","$745,672","10/28"
"Arthur Christmas","WB","$742,401","12/2"
"Beni unutma","Ozen Film","$737,876","11/11"
"Megamind","UIP","$736,330","1/14"
"Unknown","WB","$730,735","4/22"
