" Movie Title"," Gross"
"Harry Potter and the Order of the Phoenix","$101,360,911"
"Pirates of the Caribbean: At World's End","$81,415,664"
"The Simpsons Movie","$78,426,654"
"Shrek the Third","$78,167,259"
"Spider-Man 3","$67,049,819"
"The Golden Compass","$53,198,635"
"I Am Legend","$51,672,734"
"Ratatouille","$48,619,933"
"The Bourne Ultimatum","$47,485,152"
"Transformers","$47,478,290"
"Mr. Bean's Holiday","$43,972,933"
"Hot Fuzz","$41,212,142"
"Enchanted","$33,741,022"
"Stardust","$30,910,678"
"Live Free or Die Hard","$28,100,927"
"300","$27,994,700"
"Ocean's Thirteen","$26,483,353"
"Hairspray (2007)","$25,780,499"
"Fantastic Four: Rise of the Silver Surfer","$24,658,755"
"St. Trinian's","$24,487,595"
"Atonement","$24,093,827"
"Alvin and the Chipmunks","$23,615,904"
"Run Fat Boy Run","$22,633,205"
"Charlotte's Web","$21,667,491"
"P.S. I Love You","$21,215,090"
"Rush Hour 3","$21,214,305"
"American Gangster","$19,890,424"
"The Pursuit of Happyness","$18,852,776"
"Bee Movie","$18,416,598"
"Music and Lyrics","$18,070,181"
"Rocky Balboa","$17,311,121"
"Knocked Up","$16,555,361"
"Blood Diamond","$15,038,181"
"Beowulf","$14,815,632"
"Fred Claus","$13,344,768"
"Miss Potter","$13,191,940"
"Superbad","$13,176,927"
"Saw IV","$12,922,917"
"Evan Almighty","$12,173,462"
"Wild Hogs","$11,962,570"
"Blades of Glory","$11,883,906"
"Notes on a Scandal","$11,561,278"
"Norbit","$11,338,670"
"The Last King of Scotland","$11,131,918"
"Arthur et les Minimoys (Arthur and the Invisibles)","$10,690,475"
"28 Weeks Later","$10,637,970"
"Elizabeth: The Golden Age","$10,346,837"
"Epic Movie","$10,120,019"
"The Heartbreak Kid","$9,963,951"
"Bridge to Terabithia","$9,582,864"
"Surf's Up","$9,196,435"
"Ghost Rider","$9,188,495"
"Meet the Robinsons","$8,911,040"
"30 Days of Night","$8,815,968"
"I Now Pronounce You Chuck and Larry","$8,362,218"
"Good Luck Chuck","$8,155,160"
"Premonition","$8,115,366"
"Apocalypto","$8,074,135"
"BRATZ","$8,003,569"
"The Number 23","$7,796,894"
"Hitman","$7,523,101"
"Dreamgirls","$7,483,647"
"Zodiac","$7,375,756"
"Employee of the Month","$7,076,703"
"The Kite Runner","$6,927,726"
"Fracture","$6,684,382"
"Becoming Jane","$6,665,289"
"1408","$6,482,080"
"Sunshine","$6,401,006"
"Smokin' Aces","$6,238,465"
"The Kingdom","$5,830,790"
"TMNT","$5,677,545"
"Das Leben der Anderen (The Lives of Others)","$5,495,599"
"Resident Evil: Extinction","$5,340,325"
"Hannibal Rising","$5,274,510"
"Rendition","$5,253,314"
"Babel","$5,138,605"
"Next","$4,918,056"
"Wedding Daze","$4,841,890"
"Amazing Grace","$4,680,228"
"Shooter","$4,599,154"
"Mr. Magorium's Wonder Emporium","$4,507,478"
"Balls of Fury","$4,425,910"
"Eastern Promises","$4,399,217"
"The Illusionist","$4,298,088"
"Michael Clayton","$4,211,739"
"Alpha Dog","$4,118,141"
"Vacancy","$3,768,338"
"The Good Shepherd","$3,761,084"
"Halloween (2007)","$3,629,122"
"We Own the Night","$3,605,912"
"Disturbia","$3,574,828"
"Hostel Part II","$3,532,341"
"The Painted Veil","$3,421,285"
"La Môme (La Vie en Rose)","$3,335,037"
"The Darjeeling Limited","$3,170,953"
"Mr. Woodcock","$3,159,505"
"Lions for Lambs","$3,154,503"
"This Is England","$3,144,754"
"The Hills Have Eyes 2","$3,088,041"
"White Noise 2: The Light","$3,049,766"
"Are We Done Yet?","$3,023,160"
"Outlaw (2007)","$2,979,875"
"Shark Bait (a.k.a. The Reef)","$2,775,299"
"Om Shanti Om","$2,622,627"
"Ne le dis à personne (Tell No One)","$2,483,990"
"3:10 to Yuma (2007)","$2,425,312"
"The Brave One","$2,408,065"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","$2,398,776"
"Control (2007)","$2,385,412"
"Turistas","$2,290,406"
"Venus","$2,273,148"
"Goal! 2: Living the Dream...","$2,260,082"
"No Reservations","$2,157,958"
"Shrooms","$2,001,399"
"Because I Said So","$1,990,471"
"Into the Wild","$1,987,817"
"Death at a Funeral","$1,909,738"
"I Want Candy","$1,909,219"
"License to Wed","$1,902,964"
"Shoot 'Em Up","$1,890,450"
"The Last Mimzy","$1,822,936"
"Magicians (2007)","$1,802,012"
"Welcome (2007)","$1,790,460"
"The Seeker: The Dark Is Rising","$1,749,119"
"Nancy Drew","$1,744,531"
"Namastey London","$1,728,616"
"The Messengers","$1,726,779"
"The Assassination of Jesse James by the Coward Robert Ford","$1,725,347"
"Black Sheep (2007)","$1,664,708"
"Partner","$1,605,108"
"Grindhouse: Death Proof","$1,600,208"
"Captivity","$1,599,336"
"Bobby","$1,582,346"
"Salaam-E-Ishq","$1,569,851"
"August Rush","$1,563,734"
"Ta Ra Rum Pum","$1,527,252"
"Material Girls","$1,504,262"
"Brick Lane","$1,455,631"
"Laga Chunari Mein Daag - Journey of a Woman","$1,420,826"
"School for Scoundrels","$1,411,719"
"Perfect Stranger","$1,401,605"
"The Reaping","$1,394,223"
"Heyy Babyy","$1,382,988"
"Bhool Bhulaiyaa","$1,374,552"
"2 Days in Paris","$1,358,131"
"Once","$1,340,432"
"Die Fälscher (The Counterfeiters)","$1,317,395"
"Jhoom Barabar Jhoom","$1,291,603"
"Zwartboek (Black Book)","$1,234,324"
"The Science of Sleep","$1,203,740"
"Death Sentence","$1,169,442"
"Lovewrecked","$1,165,855"
"Apne","$1,144,851"
"The Return","$1,134,154"
"Daddy Day Camp","$1,085,756"
"Mr. Brooks","$1,085,224"
"The Hitcher (2007)","$1,084,742"
"The Namesake","$1,008,672"
"The Invasion","$986,757"
"Jindabyne","$979,167"
"Freedom Writers","$973,734"
"Guru","$973,302"
"Factory Girl","$964,048"
"And When Did You Last See Your Father?","$950,181"
"Provoked: A True Story","$941,668"
"I'm Not There","$884,319"
"Stomp the Yard","$881,474"
"Aaja Nachle","$878,198"
"Chak DE! India","$867,265"
"Jab We Met","$857,194"
"Waitress","$854,459"
"The Last Legion","$849,979"
"The Ugly Duckling and Me!","$818,133"
"WAR","$810,735"
"Hallam Foe","$808,455"
"Sivaji","$792,659"
"A Mighty Heart","$786,535"
"Mon meilleur ami (My Best Friend)","$778,790"
"Cheeni Kum","$776,392"
"Breach","$743,797"
"Sicko","$743,485"
"Sleuth (2007)","$732,302"
"Eklavya - The Royal Guard","$722,571"
"Molière (2007)","$691,003"
"Taare Zameen Par","$679,463"
"Saawariya","$638,201"
"Tim Burton's The Nightmare Before Christmas in Disney Digital 3-D","$638,194"
"Firehouse Dog","$636,968"
"The Good German","$633,799"
"Happily N'Ever After","$602,537"
"The Hoax","$593,193"
"Letters from Iwo Jima","$563,546"
"Rescue Dawn","$554,373"
"Reno 911!: Miami","$553,342"
"Inland Empire","$542,793"
"Quand j'étais chanteur (The Singer)","$535,535"
"Half Nelson","$524,775"
"Nuovomondo (The Golden Door)","$516,346"
"A Prairie Home Companion","$502,590"
"Lady Chatterley","$485,197"
"It's a Wonderful Life (1946) (Re)","$478,351"
"Garage (2007)","$468,057"
"Dhamaal","$464,752"
"Paris, je t'aime","$457,260"
"Gridiron Gang","$443,628"
"The Nanny Diaries","$434,917"
"The Walker","$432,536"
"Mitti Awaazan Mardi","$430,489"
"Indigènes (Days of Glory)","$419,296"
"Sherrybaby","$411,576"
"Pathfinder: Legend of the Ghost Warrior","$406,517"
"Dnevnoy dozor (Day Watch)","$395,710"
"The Flying Scotsman","$391,659"
"Straightheads","$369,299"
"Grindhouse: Planet Terror","$369,089"
"Water","$369,082"
"Strength and Honour","$366,788"
"Sea Monsters: A Prehistorica Adventure (IMAX)","$360,744"
"Naqaab: Disguised Intentions","$344,697"
"Rise of the Footsoldier","$344,306"
"Shakalaka Boom Boom","$343,217"
"Joe Strummer: The Future Is Unwritten","$323,479"
"The Fountain","$312,380"
"Life in a... METRO","$311,889"
"Ten Canoes","$309,029"
"Shootout at Lokhandwala","$305,912"
"Eagle Vs. Shark","$299,563"
"Closing the Ring","$296,867"
"Iklimler (Cliimates)","$293,852"
"Blood and Chocolate","$290,058"
"Lucky You","$278,368"
"Azhagiya Tamizh Magan","$275,172"
"Fauteuils d'orchestre (Avenue Montaigne)","$274,857"
"Fool and Final","$270,803"
"Shankardada Zindabad","$264,106"
"Honeymoon Travels Pvt. Ltd.","$259,324"
"Good Bye Bafana","$254,909"
"L'Amico di famiglia","$254,206"
"Dirty Dancing (1987) (Re)","$252,167"
"Coeurs (Private Fears in Public Places)","$244,765"
"Blade Runner: The Final Cut","$243,471"
"Black Snake Moan","$243,408"
"Cash (2007)","$240,087"
"The Jane Austen Book Club","$238,323"
"Seraphim Falls","$236,192"
"Aap Kaa Surroor: The Moviee - The Real Luv Story","$232,591"
"Gedo senki (Tales from Earthsea)","$232,555"
"Nehlle Pe Dehlla","$231,884"
"Ils (Them)","$228,638"
"Goya's Ghosts","$225,933"
"Gandhi My Father","$223,183"
"Kenny","$221,559"
"In the Shadow of the Moon","$220,411"
"Billa","$219,421"
"Dhan Dhana Dhana Goal","$219,338"
"Det Sjunde inseglet (The Seventh Seal) (1957) (Re)","$213,864"
"Grow Your Own","$211,747"
"Khuda Ke Liye","$210,691"
"Bikur Ha-Tizmoret (The Band's Visit)","$209,995"
"The Upside of Anger","$209,966"
"Flyboys","$208,133"
"Code Name: The Cleaner","$207,202"
"For Your Consideration","$205,189"
"The Breed","$199,647"
"Catch a Fire","$199,437"
"Paranoid Park","$196,301"
"Gone (2007)","$186,463"
"Ram Gopal Varma Ki Aag","$175,443"
"Dus Kahaniyaan","$173,949"
"This Christmas","$173,786"
"Efter brylluppet (After the Wedding)","$173,068"
"How About You","$171,609"
"Beyaz melek","$168,896"
"Hot Rod","$163,407"
"Awarapan","$159,490"
"Dead Silence","$156,056"
"Stellet licht","$154,418"
"Reign Over Me","$153,210"
"Feast of Love","$147,253"
"Taking Liberties","$146,401"
