" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$150,025,197","12/18"
"Harry Potter and the Half Blood Prince","WB","$84,089,250","7/17"
"Ice Age: Dawn of the Dinosaurs","Fox","$56,859,040","7/1"
"Up","Disney","$55,413,275","10/16"
"Slumdog Millionaire","Pathé","$52,213,042","1/9"
"Transformers: Revenge of the Fallen","PPI","$44,383,558","6/19"
"The Twilight Saga: New Moon","E1","$43,409,449","11/20"
"Sherlock Holmes","WB","$39,795,286","12/26"
"The Hangover","WB","$36,033,624","7/31"
"Alvin and the Chipmunks: The
Squeakquel","Fox","$35,805,642","12/26"
"Star Trek","PPI","$35,392,062","5/8"
"Monsters Vs. Aliens","PPI","$34,956,968","4/3"
"Night at the Museum: Battle of the
Smithsonian","Fox","$32,825,190","5/21"
"A Christmas Carol (2009)","Disney","$32,201,450","11/6"
"2012","Sony","$31,052,159","11/13"
"Angels & Demons","Sony","$30,726,140","5/14"
"X-Men Origins: Wolverine","Fox","$26,884,047","4/29"
"Bolt","Disney","$26,755,584","2/13"
"Brüno","UPI","$25,793,264","7/10"
"Terminator Salvation: The Future Begins","Sony","$23,688,598","6/3"
"Marley and Me","Fox","$23,140,712","3/11"
"G-Force","Disney","$22,011,541","7/31"
"Fast and Furious","UPI","$20,546,785","4/10"
"The Final Destination","Entertain.","$20,174,471","8/28"
"The Proposal","Disney","$19,239,235","8/7"
"17 Again","Entertain.","$18,363,139","4/10"
"Inglourious Basterds","UPI","$16,439,434","8/21"
"Michael Jackson's This Is It","Sony","$16,070,992","10/30"
"Paranormal Activity","Icon","$16,027,045","11/27"
"District 9","Sony","$14,511,508","9/4"
"The Fantastic Mr. Fox","Fox","$14,350,458","10/23"
"Fame (2009)","Entertain.","$14,308,999","9/25"
"Hannah Montana The Movie","Disney","$13,937,675","5/1"
"He's Just Not That Into You","Entertain.","$13,932,596","2/6"
"Gran Torino","WB","$13,739,813","2/20"
"Watchmen","PPI","$13,610,059","3/6"
"The Curious Case of Benjamin Button","WB","$13,341,148","2/6"
"Coraline","UPI","$12,193,282","5/8"
"The Time Traveler's Wife","Entertain.","$12,171,979","8/14"
"Confessions of a Shopaholic","Disney","$12,129,944","2/20"
"Role Models","UPI","$12,119,463","1/9"
"Public Enemies","UPI","$11,334,699","7/3"
"St. Trinian's 2","Entertain.","$10,877,138","12/18"
"Hotel for Dogs","PPI","$10,746,221","2/13"
"Bride Wars","Fox","$10,598,856","1/9"
"Drag Me to Hell","Lions Gate","$10,503,062","5/29"
"Aliens in the Attic","Fox","$10,498,970","8/7"
"My Sister's Keeper","Entertain.","$10,406,236","6/26"
"The Ugly Truth","Sony","$10,358,259","8/7"
"Cloudy with a Chance of Meatballs","Sony","$10,330,809","9/18"
"G.I. Joe","PPI","$10,313,105","8/7"
"Knowing","E1","$10,278,047","3/25"
"My Bloody Valentine 3-D","Lions Gate","$10,150,007","1/16"
"The Boat That Rocked","UPI","$10,125,727","4/1"
"Law Abiding Citizen","PPI","$9,877,854","11/27"
"The Invention of Lying","UPI","$9,814,497","10/2"
"Valkyrie","Fox","$9,552,207","1/23"
"State of Play","UPI","$9,206,492","4/24"
"Couples Retreat","UPI","$8,999,415","10/16"
"The Reader","Entertain.","$8,469,233","1/2"
"Saw VI","Lions Gate","$8,310,402","10/23"
"Nativity (2009)","E1","$8,266,175","11/27"
"The Young Victoria","Momentum","$8,179,212","3/6"
"Seven Pounds","Sony","$8,147,094","1/16"
"The Taking of Pelham One, Two, Three","Sony","$7,791,823","7/31"
"Paul Blart: Mall Cop","Sony","$7,683,567","3/20"
"500 Days of Summer","Fox","$7,596,857","9/4"
"Planet 51","Entertain.","$7,368,928","11/20"
"Ghosts of Girlfriends Past","Entertain.","$6,859,122","5/1"
"I Love You Man","PPI","$6,838,762","4/17"
"Harry Brown","Lions Gate","$6,649,562","12/13"
"The Men Who Stare at Goats","Momentum","$6,638,379","11/6"
"The Haunting in Connecticut","Entertain.","$6,191,957","3/27"
"Defiance","Momentum","$5,584,810","1/9"
"Funny People","UPI","$5,575,738","8/28"
"The Unborn (2009)","UPI","$5,574,004","2/27"
"Zombieland","Sony","$5,549,291","10/30"
"Beverly Hills Chihuahua","Disney","$5,497,724","1/16"
"The Imaginarium of Doctor Parnassus","Lions Gate","$5,335,983","10/16"
"Revolutionary Road","PPI","$5,117,981","1/30"
"Surrogates","Disney","$4,940,897","9/25"
"Year One","Sony","$4,781,390","6/19"
"Dorian Gray","Momentum","$4,700,705","9/11"
"The Pink Panther 2","Sony","$4,675,653","2/13"
"Cirque du Freak: The Vampire's Assistant","UPI","$4,602,900","10/23"
"Nine","Entertain.","$4,573,141","11/25"
"The International","Sony","$4,458,452","2/27"
"Duplicity","UPI","$4,356,427","3/20"
"Vicky Cristina Barcelona","Optimum","$4,330,962","2/6"
"Where the Wild Things Are","WB","$4,269,987","12/11"
"Race to Witch Mountain","Disney","$4,180,119","4/10"
"Julie & Julia","Sony","$3,996,292","9/11"
"Notorious (2009)","Fox","$3,948,342","2/13"
"The Wrestler","Optimum","$3,734,050","1/16"
"The Fourth Kind","Ent. Films","$3,717,152","11/6"
"Underworld: Rise of the Lycans","Ent. Films","$3,687,631","1/23"
"The Damned United","Sony","$3,582,592","3/27"
"In the Loop","Optimum","$3,545,746","4/17"
"Orphan","Optimum","$3,538,218","8/7"
"Last Chance Harvey","Momentum","$3,391,327","6/5"
" Movie Title"," Distributor"," Gross"," Release"
"Fighting","UPI","$3,341,473","5/15"
"The Spirit","Lions Gate","$3,245,399","1/1"
"Friday the 13th (2009)","PPI","$3,196,000","2/13"
"Coco avant Chanel","Optimum","$3,080,060","7/31"
"An Education","E1","$2,929,236","10/30"
"Sorority Row","E1","$2,910,442","9/11"
"Land of the Lost","UPI","$2,800,650","7/31"
"Frost/Nixon","UPI","$2,788,581","1/23"
"Bandslam","E1","$2,543,431","8/12"
"Lesbian Vampire Killers","Momentum","$2,460,535","3/20"
"A Serious Man","UPI","$2,403,412","11/20"
"Toy Story in 3D","Disney","$2,224,362","10/2"
"Sex Drive","E1","$2,211,079","1/9"
"Love Happens","E1","$2,176,055","10/9"
"Looking for Eric","Entertain.","$2,142,095","6/12"
"Halloween II (2009)","Ent. Films","$2,105,571","10/9"
"Jennifer's Body","Fox","$1,995,861","11/6"
"Milk","Momentum","$1,973,899","1/23"
"The Argentine (Che: Part One)","Optimum","$1,968,517","1/2"
"The Box","Icon","$1,964,101","12/4"
"Doubt","Disney","$1,910,768","2/6"
"Gamer (2009)","Entertain.","$1,883,440","9/18"
"Crank: High Voltage","Lions Gate","$1,859,343","4/16"
"The Last House on the Left (2009)","UPI","$1,857,946","6/12"
"Låt den rätte komma in (Let the Right One In)","Momentum","$1,830,884","4/10"
"Push","Icon","$1,826,729","2/20"
"Moon","WB","$1,813,302","7/17"
"Dance Flick","PPI","$1,785,952","9/18"
"The Soloist","UPI","$1,679,198","9/11"
"Love Aaj Kal","Eros","$1,671,956","7/31"
"Nowhere Boy","Icon","$1,553,087","12/25"
"New in Town","Entertain.","$1,497,762","2/27"
"The Uninvited","PPI","$1,478,480","4/24"
"The Secret of Moonacre","WB","$1,437,637","2/6"
"Entre les murs (The Class)","Art. Eye","$1,433,912","2/27"
"Bright Star","WB","$1,410,282","11/6"
"A Perfect Getaway","Momentum","$1,400,593","8/28"
"Bronson","Vertigo","$1,312,770","3/13"
"The Hurt Locker","Optimum","$1,302,388","8/28"
"Los Abrazos rotos (Broken Embraces)","WB","$1,220,908","8/28"
"12 Rounds","Fox","$1,187,641","5/27"
"Kambakkt Ishq","Eros","$1,170,803","7/3"
"Creation (2009)","Icon","$1,160,359","9/25"
"Tormented","WB","$1,147,307","5/22"
"The Firm (2009)","WB","$1,094,777","9/18"
"Nick and Norah's Infinite Playlist","Sony","$1,070,241","1/30"
"Pandorum","Icon","$1,032,492","9/11"
"Observe and Report","WB","$1,025,086","4/24"
"Dragonball Evolution","Fox","$995,042","4/8"
"Triangle","Icon","$894,985","10/16"
"Synecdoche, New York","Revolver","$875,104","5/15"
"Obsessed","Sony","$854,917","5/29"
"Blood: The Last Vampire","WB","$830,098","6/12"
"Adventureland","Disney","$796,548","9/11"
"L'Instinct de mort","Momentum","$785,545","7/31"
"De Dana Dan","Eros","$785,343","11/27"
"9","UPI","$770,156","10/30"
"Is Anybody There?","Optimum","$768,921","5/1"
"Billu","Eros","$739,293","2/13"
"Chandni Chowk to China","WB","$708,286","1/16"
"Dead Man Running","Revolver","$681,354","10/30"
"Sunshine Cleaning","n/a","$675,115","6/26"
"Cheri","WB","$673,008","5/8"
"New York","Yash Raj","$666,935","6/26"
"Fifty Dead Men Walking","Metrod.","$641,867","4/10"
"Blue (2009)","n/a","$616,713","10/16"
"Il Divo","Art. Eye","$586,571","3/20"
"Antichrist","Art. Eye","$582,998","7/24"
"The Informant","WB","$580,490","11/20"
"Ajab Prem Ki Ghazab Kahani","n/a","$577,545","11/6"
"Me and Orson Welles","WB","$557,602","12/4"
"Kurbaan","UTV","$511,225","11/20"
"Imagine That","PPI","$484,436","7/31"
"Rachel Getting Married","Sony","$477,379","1/23"
"Pour elle (Anything for Her)","Metrod.","$454,261","6/5"
