" Movie Title"," Distributor"," Gross"," Release"
"Toy Story 3","Disney","$116,625,632","7/23"
"Harry Potter and the Deathly Hallows (Part One)","WB","$86,020,929","11/19"
"Alice in Wonderland (2010)","Disney","$64,437,055","3/5"
"Inception","WB","$56,566,947","7/16"
"Shrek Forever After","PPI","$51,056,068","7/2"
"The Twilight Saga: Eclipse","E1","$45,709,785","7/9"
"Sex and the City 2","WB","$33,336,058","5/28"
"Despicable Me","UPI","$32,283,987","10/15"
"Little Fockers","PPI","$30,669,391","12/24"
"Iron Man 2","PPI","$30,456,328","4/30"
"Clash of the Titans (2010)","WB","$29,242,160","4/2"
"How to Train Your Dragon","PPI","$26,488,493","4/2"
"Gulliver's Travels","Fox","$24,736,921","12/26"
"Nanny McPhee and The Big Bang","UPI","$23,571,491","3/26"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$23,242,214","12/10"
"Robin Hood","UPI","$23,179,445","5/14"
"The Karate Kid","Sony","$19,762,070","7/30"
"Paranormal Activity 2","PPI","$17,483,704","10/22"
"StreetDance 3D","Vertigo","$17,458,740","5/21"
"The Social Network","Sony","$16,876,647","10/15"
"Kick Ass","UPI","$16,763,505","4/2"
"The Princess and the Frog","Disney","$16,387,133","2/12"
"Due Date","Warner Bros.","$16,344,250","11/5"
"Shutter Island","PPI","$16,304,568","3/12"
"Tron Legacy","Disney","$16,221,225","12/17"
"Megamind","PPI","$16,048,975","12/3"
"The Expendables","Lions Gate","$15,969,695","8/20"
"Valentine's Day","WB","$15,460,467","2/12"
"The A-Team","Fox","$15,281,498","7/30"
"Knight & Day","Fox","$14,099,616","8/6"
"It's Complicated","UPI","$13,881,029","1/8"
"Prince of Persia: The Sands of Time","Disney","$13,514,456","5/28"
"Saw 3D","Lions Gate","$12,878,181","10/29"
"The Other Guys","Sony","$12,605,131","9/17"
"Grown Ups","Sony","$12,161,427","8/27"
"Step Up 3-D","UPI","$11,537,610","8/6"
"Salt","Sony","$11,321,253","8/20"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$11,035,357","2/12"
"Red","E1","$10,969,022","10/22"
"Get Him to the Greek","UPI","$10,901,662","6/25"
"The Lovely Bones","PPI","$9,301,424","2/19"
"Predators","Fox","$9,198,102","7/9"
"The Blind Side","WB","$9,127,125","3/26"
"Marmaduke","Fox","$9,019,305","8/20"
"The Bounty Hunter","Sony","$8,998,455","3/19"
"Jackass 3-D","PPI","$8,885,152","11/5"
"Up in the Air","PPI","$8,742,976","1/15"
"Love and Other Drugs","Fox","$8,686,760","12/29"
"Scott Pilgrim vs. the World","UPI","$8,445,713","8/27"
"Green Zone","UPI","$8,259,161","3/12"
"The Tourist","Optimum","$8,045,889","12/10"
"Dear John","Paramount","$7,918,385","4/16"
"Cats & Dogs: Revenge of Kitty Galore","WB","$7,570,467","8/6"
"Resident Evil: Afterlife","Sony","$7,492,098","9/10"
"The Town","WB","$7,484,217","9/24"
"Eat Pray Love","Sony","$7,371,485","9/24"
"The Wolfman","UPI","$7,315,126","2/12"
"Unstoppable","Fox","$7,205,520","11/26"
"Piranha 3D","Entertain.","$6,903,929","8/20"
"Invictus","WB","$6,870,705","2/5"
"The Last Airbender","PPI","$6,564,441","8/13"
