" Movie Title","Distributor","Gross","Release"
"Avatar","Fox","$8,691,077","12/17"
"2012","Sony","$3,256,007","11/12"
"Ice Age: Dawn of the Dinosaurs","Fox","$2,837,355","7/1"
"Lyubov v bolshom gorode (Love in the Big City)","Gemini","$2,276,763","3/3"
"Taras Bulba","Cent. Part.","$1,834,005","4/2"
"Harry Potter and the Half Blood Prince","Warner Bros.","$1,790,759","7/17"
"High Security Vacation","Gemini","$1,725,910","8/25"
"Obitaemyy ostrov (The Inhabited Island: Part I)","Gemini","$1,721,501","1/1"
"Angels & Demons","Sony","$1,577,031","5/14"
"Transformers: Revenge of the Fallen","PPI","$1,485,242","6/24"
"A Christmas Carol (2009)","Disney","$1,329,285","12/31"
"Terminator Salvation: The Future Begins","B and H","$1,321,833","6/4"
"The Twilight Saga: New Moon","n/a","$1,315,158","11/26"
"Samiy luchshiy film 2 (The Very Best Film 2)","B and H","$1,159,002","1/22"
"The Final Destination","Kinomania","$1,044,270","9/10"
"Fast and Furious","UPI","$1,007,293","4/9"
"Black Lightning","UPI","$959,440","12/31"
"The Proposal","Disney","$927,675","7/9"
"The Hangover","Warner Bros.","$879,581","6/11"
"The Ugly Truth","B and H","$877,094","9/14"
"G-Force","Disney","$853,401","8/20"
"Monsters Vs. Aliens","PPI","$842,356","3/19"
"Night at the Museum: Battle of the Smithsonian","Gemini","$786,266","5/21"
"Bedtime Stories","B and H","$783,373","1/1"
"Public Enemies","UPI","$689,362","7/23"
"Obitaemyy ostrov: Skhvatka (The Inhabited Island, Part II)","Gemini","$617,179","4/23"
"Up","Disney","$614,009","6/18"
"Yes Man","Kinomania","$595,500","1/15"
"Couples Retreat","B and H","$581,623","10/15"
"Inglourious Basterds","UPI","$571,061","8/20"
"Confessions of a Shopaholic","B and H","$525,179","2/12"
"Lopukhi: Epizod perviy","Aurora","$524,763","8/13"
"Bride Wars","Gemini","$515,505","2/26"
"Surrogates","B and H","$492,185","10/22"
"G.I. Joe","PPI","$489,152","8/6"
"District 9","Sony","$487,385","8/13"
"X-Men Origins: Wolverine","Fox","$483,429","4/30"
"Crank: High Voltage","Cent. Part.","$465,690","4/16"
"Marley and Me","Gemini","$449,973","3/12"
"The Curious Case of Benjamin Button","Kinomania","$449,823","2/5"
"Watchmen","PPI","$443,139","3/5"
"Old Dogs","Disney","$425,053","12/10"
"The Rebound","JRC","$415,867","10/1"
"Star Trek","PPI","$408,398","5/7"
"O, schastlivchik! (O, Luckyman!)","B and H","$403,372","10/1"
"Ghosts of Girlfriends Past","Warner Bros.","$397,254","7/30"
"Nevesta lyuboi tsenoy (Bride at Any Cost)","Cent. Part.","$394,883","9/17"
"Kniga masterov (The Book of Masters)","B and H","$393,168","10/29"
"Alvin and the Chipmunks: The Squeakquel","Fox","$383,816","12/24"
"Valkyrie","Gemini","$380,155","1/29"
"The Pink Panther 2","B and H","$359,836","2/19"
"Cloudy with a Chance of Meatballs","B and H","$346,079","10/22"
"Knowing","Aurora","$345,173","3/26"
"Planet 51","n/a","$319,078","11/26"
"Spread","Gemini","$308,278","9/24"
"Antikiller D.K: Lyubov bez pamyati","n/a","$307,992","12/3"
"Underworld: Rise of the Lycans","B and H","$296,029","2/5"
"He's Just Not That Into You","WB","$290,724","3/30"
"Seven Pounds","B and H","$249,188","1/15"
"Cirque du Freak: The Vampire's Assistant","B and H","$246,273","11/5"
"I Love You Man","PPI","$244,972","4/9"
"The Unborn (2009)","B and H","$236,571","1/22"
"Michael Jackson's This Is It","B and H","$232,736","10/28"
"Law Abiding Citizen","JRC","$232,593","11/19"
"Case 39","B and H","$224,840","9/3"
"The Men Who Stare at Goats","n/a","$218,372","12/3"
"Pandorum","JRC","$210,155","10/15"
"Tsar","n/a","$208,565","11/5"
"Coraline","UPI","$203,758","4/30"
"Race to Witch Mountain","Disney","$203,636","4/23"
"New in Town","Aurora","$195,485","2/5"
"Vozvrashenie mushketerov, ili sokrovischa
kardinala Mazarini (Musketeers Return)","Cent. Part.","$189,705","2/5"
"Duplicity","UPI","$184,725","3/26"
"Revolutionary Road","B and H","$178,445","1/29"
"The Taking of Pelham One, Two, Three","B and H","$174,623","9/3"
"9","Gemini","$172,636","9/9"
"Love Happens","Aurora","$162,605","9/24"
"Yulenka","Gemini","$158,827","2/19"
"Zapreshchennaya realnost (Interceptor)","Cent. Part.","$154,442","10/8"
"State of Play","UPI","$154,125","6/11"
"Australia","Gemini","$153,312","2/12"
"Friday the 13th (2009)","B and H","$138,169","2/12"
"The International","B and H","$130,343","2/26"
"New York, I Love You","JRC","$122,613","11/5"
"Ukroshchenie stroptivykh (The Taming of the Shrews)","n/a","$116,255","11/5"
"What Just Happened?","Aurora","$116,166","1/15"
"A Perfect Getaway","Top Film","$113,580","9/17"
"Whiteout","Kinomania","$113,200","9/24"
"Hotel for Dogs","B and H","$113,145","2/19"
"Coco avant Chanel","Luxor","$104,427","10/8"
"Role Models","B and H","$102,029","2/5"
"Fighting","UPI","$99,982","7/9"
"Easy Virtue","Aurora","$92,346","4/23"
"Gamer (2009)","n/a","$82,489","11/5"
"The Boat That Rocked","UPI","$81,400","5/7"
"Tarif Novogodniy","Profit","$81,069","1/8"
"Ulybka Boga, ili Chisto odesskaya
istoriya","n/a","$68,998","11/26"
"Pervaya lyubov: Vot takaya muzyka! (First Love [It's That Music])","Fox","$67,559","3/19"
"Arthur et la vengeance de Maltazard","n/a","$67,162","12/10"
"Observe and Report","WB","$67,057","5/14"
"Twilight","Aurora","$66,645","3/12"
"Los Abrazos rotos (Broken Embraces)","Aurora","$58,441","8/13"
"The Young Victoria","JRC","$52,907","11/26"
"Dragonball Evolution","Fox","$44,350","4/2"
"Banlieue 13 - Ultimatum","n/a","$42,402","9/3"
"Echelon Conspiracy","Cascade","$40,413","3/12"
"Na igre (Hooked)","n/a","$37,968","12/10"
"12 Rounds","Fox","$35,702","4/16"
"Toy Story 1 & 2 (3D)","B and H","$22,189","10/1"
"Astro Boy","n/a","$20,111","11/12"
"Little Hercules in 3D","n/a","$17,663","12/3"
"Laskovyy may","Gemini","$16,164","10/8"
"Nasha Masha v volshebnyy orekh (Krakatuk)","n/a","$10,021","12/10"
"Gran Torino","WB","$7,469","4/9"
