" Movie Title"," Distributor"," Gross"," Release"
"Shrek Forever After","PPI","$4,007,651","5/20"
"Alice in Wonderland (2010)","Disney","$3,484,583","3/11"
"Harry Potter and the Deathly Hallows (Part One)","Warner Bros.","$2,929,841","11/19"
"Lyubov v bolshom gorode 2 (Love in the Big City 2)","n/a","$2,585,582","3/4"
"Tron Legacy","Disney","$2,205,929","12/30"
"Clash of the Titans (2010)","WB","$2,187,629","4/8"
"Tangled","Disney","$2,112,218","12/16"
"Yolki","n/a","$1,997,372","12/16"
"Megamind","PPI","$1,780,018","10/28"
"The Last Airbender","PPI","$1,752,582","7/8"
"Resident Evil: Afterlife","Sony","$1,738,030","9/16"
"The Twilight Saga: Eclipse","n/a","$1,686,847","7/8"
"Prince of Persia: The Sands of Time","Disney","$1,581,120","6/3"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$1,544,260","12/9"
"Inception","Warner Bros.","$1,493,821","7/22"
"Nasha Russia: Yaytsa sudby","n/a","$1,466,269","1/21"
"Robin Hood","UPI","$1,435,194","5/13"
"How to Train Your Dragon","PPI","$1,431,171","3/18"
"Little Fockers","PPI","$1,246,532","12/30"
"Salt","Sony","$1,242,676","7/29"
"The Sorcerer's Apprentice","Disney","$1,231,202","7/22"
"Sherlock Holmes","Warner Bros.","$1,208,297","1/14"
"Iron Man 2","PPI","$1,199,098","4/29"
"Tri bogatyrya i shamahanskaya tsaritsa (How Not to Rescue a Princess)","n/a","$1,140,301","12/30"
"Despicable Me","UPI","$1,098,087","7/15"
"The Expendables","n/a","$1,063,359","8/12"
"Sex and the City 2","Warner Bros.","$922,909","6/3"
"Legend of the Guardians: The Owls of Ga'Hoole","Warner Bros.","$896,520","9/30"
"Due Date","Warner Bros.","$813,329","11/4"
"O chyom govoryat muzhchiny (What Men Talk About)","n/a","$772,707","3/11"
"Eat Pray Love","Sony","$728,383","10/7"
"Grown Ups","Sony","$701,606","8/5"
"The Princess and the Frog","Disney","$668,445","1/7"
"Toy Story 3","Disney","$665,250","6/24"
"Utomlyonnye solntsem 2 (Burnt by the Sun 2)","n/a","$626,372","4/22"
"Knight & Day","Fox","$604,716","6/24"
"The Wolfman","UPI","$596,189","2/18"
"Valentine's Day","Warner Bros.","$593,982","2/11"
"Piranha 3D","n/a","$589,901","8/26"
"The Bounty Hunter","Sony","$583,074","3/18"
"Skyline","n/a","$573,298","11/11"
"Cats & Dogs: Revenge of Kitty Galore","Warner Bros.","$515,498","7/29"
"Life as We Know It","Warner Bros.","$485,456","10/13"
"Step Up 3-D","n/a","$481,097","8/12"
"The Next Three Days","n/a","$469,482","11/18"
"When in Rome","Disney","$469,206","2/25"
"Percy Jackson & The Olympians: The Lightning Thief","Fox","$463,083","2/11"
"It's Complicated","UPI","$440,170","1/21"
"13","n/a","$440,135","10/21"
"A Nightmare on Elm Street (2010)","Warner Bros.","$417,013","5/6"
"She's Out of My League","PPI","$415,869","4/1"
"Kandagar","n/a","$406,679","2/4"
"The Back-Up Plan","Sony","$399,375","5/6"
"The Social Network","Sony","$398,008","10/21"
"Predators","Fox","$397,497","7/8"
"The Other Guys","Sony","$369,139","9/30"
"Red","n/a","$344,815","10/14"
