" Movie Title"," Gross"
"Pirates of the Caribbean: On Stranger Tides (3D)","$5,268,571"
"Puss in Boots","$4,107,338"
"Transformers 3","$4,085,682"
"Harry Potter and the Deathly Hallows (Part Two)","$3,558,720"
"Sluzhebnyy roman - Nashe vremya (Office Romance)","$2,795,748"
"Vysotskiy. Spasibo, chto zhivoy","$2,678,165"
"Cars 2","$2,470,971"
"The Twilight Saga: Breaking Dawn Part 1","$2,423,266"
"Yolki 2","$2,368,155"
"Sherlock Holmes: A Game of Shadows","$2,352,960"
"Kung Fu Panda 2","$2,286,825"
"Fast Five","$2,014,415"
"O chyom eshchyo govoryat muzhchiny","$1,855,556"
"Rio","$1,838,484"
"Real Steel","$1,724,660"
"Ivan Tsarevich i Seryy Volk","$1,651,293"
"The Tourist","$1,635,972"
"The Hangover Part II","$1,526,926"
"Thor","$1,477,787"
"Immortals","$1,460,812"
"Vykrutasy (Lucky Trouble)","$1,414,182"
"In Time","$1,383,997"
"Final Destination 5","$1,305,449"
"Bad Teacher","$1,137,733"
"Mission: Impossible - Ghost Protocol","$1,087,764"
"Tower Heist","$1,013,623"
"The Very Best Movie 3D","$1,006,821"
"Rango","$1,005,795"
"The Three Musketeers (2011)","$996,550"
"Friends with Benefits","$961,482"
"Season of the Witch","$953,881"
"Beremennyy","$927,926"
"No Strings Attached","$926,569"
"Just Go With It","$918,252"
"Lubov morkov 3 (Lovey Dovey 3)","$854,848"
"Johnny English Reborn","$854,570"
"The Smurfs","$853,964"
"The Adventures of Tintin","$797,667"
"Boy s tenyu 3. Posledniy raund","$741,284"
"The Green Hornet","$728,989"
"Arthur Christmas","$709,790"
"The Change-Up","$668,746"
"Mr. Popper's Penguins","$642,562"
"Rise of the Planet of the Apes","$640,686"
"The Mechanic","$629,116"
"Captain America: The First Avenger","$619,293"
"The Adjustment Bureau","$609,587"
"X-Men: First Class","$595,528"
"Priest","$585,184"
"Drive Angry","$566,160"
"Happy Feet Two","$563,439"
"I Am Number Four","$555,952"
"Horrible Bosses","$555,504"
"Burlesque","$535,236"
"Super 8","$523,544"
"Conan the Barbarian (2011)","$512,541"
"Mars Needs Moms","$493,713"
"Sanctum (3D)","$483,648"
"The Darkest Hour","$471,178"
"Hop","$468,158"
"The Rum Diary","$456,180"
"Killer Elite","$431,601"
"Zookeeper","$412,651"
"Cowboys & Aliens","$401,948"
"Paranormal Activity 3","$395,220"
"Gnomeo and Juliet","$378,510"
"Battle: Los Angeles","$378,107"
"Morning Glory","$366,554"
"Hall Pass","$366,149"
"Paul","$360,221"
"Green Lantern","$335,184"
"Crazy, Stupid, Love.","$332,929"
"Abduction","$328,043"
"What's Your Number?","$316,573"
"Love and Other Drugs","$292,956"
"Limitless","$275,875"
"Generation P (Wow!)","$275,426"
"Yogi Bear","$263,802"
"Red Riding Hood","$243,438"
"Gulliver's Travels","$239,265"
"Blitz","$233,131"
"Scream 4","$231,734"
"Sucker Punch","$213,496"
"Fright Night (2011)","$208,862"
"Unknown","$204,246"
"Contagion","$202,492"
"Colombiana","$202,179"
"Shark Night 3D","$194,886"
"Black Swan","$185,650"
"Hanna","$180,932"
"Tinker, Tailor, Soldier, Spy","$180,023"
"Something Borrowed","$176,192"
"The Dilemma","$172,187"
"How Do You Know","$167,187"
"Source Code","$150,936"
"Spy Kids: All the Time in the World","$150,009"
"One Day","$144,537"
"Pyat nevest (Five Brides)","$127,341"
"The Thing (2011)","$122,996"
"The Skin I Live In","$120,985"
"PiraMMMida","$120,769"
"The Eagle","$115,334"
"Anonymous","$114,329"
"Midnight in Paris","$113,635"
"The Tree of Life","$109,264"
"Larry Crowne","$103,197"
"Aram zam zam ili Vsyo vklyucheno","$101,239"
"Apollo 18","$100,318"
"Winnie the Pooh","$99,943"
"Utomlyonnye solntsem 2: Tsitadel","$99,128"
"Dream House","$97,740"
"Smeshariki: Nachalo","$97,229"
"Jane Eyre (2011)","$95,593"
"The Lion King (in 3D)","$94,512"
"Henry's Crime","$89,855"
"Pyataya kazn (The 5th Execution)","$77,759"
"The King's Speech","$76,929"
"Svadba po obmenu","$75,576"
"Chalet Girl","$73,334"
"Flypaper","$64,862"
"Hoodwinked 2","$64,733"
"Realnaya skazka","$61,765"
"True Grit","$61,220"
"Kokowääh","$58,089"
"Moneyball","$56,222"
"Little Big Panda","$44,116"
"Ronal Barbaren (Ronal the Barbarian)","$43,706"
"Fair Game (2010)","$35,079"
"Don't Be Afraid of the Dark","$32,898"
"Biutiful","$24,142"
"Master i Margarita","$21,654"
"11-11-11","$18,854"
"Margin Call","$18,727"
"The Son of No One","$18,127"
"Neadekvatnye lyudi","$17,464"
"Bez muzhchin","$16,139"
"Kukaracha 3D","$12,778"
"Melancholia","$6,410"
"Carnage (2011)","$5,920"
"Tikhaya zastava","$5,598"
