" Movie Title"," Gross"
"Kung Fu Panda","$416,297"
"The Dark Knight","$316,969"
"Hancock","$298,783"
"Madagascar: Escape 2 Africa","$264,231"
"The Bucket List","$258,252"
"Death at a Funeral","$226,394"
"Get Smart","$214,638"
"You Don't Mess with the Zohan","$188,121"
"What Happens in Vegas","$185,919"
"Indiana Jones and the Kingdom of the Crystal Skull","$162,247"
"The Chronicles of Narnia: Prince Caspian","$157,353"
"Mamma Mia!","$155,408"
"Wall-E","$152,151"
"Love in the Time of Cholera","$152,015"
"No Country for Old Men","$147,754"
"21","$142,449"
"Journey to the Center of the Earth","$139,104"
"I Am Legend","$130,217"
"Hit (2008)","$129,589"
"Alvin and the Chipmunks","$122,472"
"Made of Honor","$120,020"
"The Happening","$116,218"
"Meet Dave","$115,962"
"Dr. Seuss' Horton Hears a Who!","$114,107"
"Cassandra's Dream","$110,712"
"Charlie Wilson's War","$108,619"
"10,000 B.C.","$108,127"
"Un Novio para mi mujer","$106,466"
"Speed Racer","$104,241"
"Sex and the City","$103,887"
"The Game Plan","$101,538"
"Quantum of Solace","$92,992"
"Valentina la pelicula","$92,582"
"Vantage Point","$91,534"
"The Mummy: Tomb of the Dragon Emperor","$91,481"
"P.S. I Love You","$90,287"
"Juno","$89,933"
"The Water Horse: Legend of the Deep","$89,068"
"National Treasure: Book of Secrets","$87,675"
"American Gangster","$86,771"
"Polvo Nuestro Que Estas En Los Cielos","$82,150"
"27 Dresses","$79,857"
"Dialogue avec mon jardinier","$74,888"
"Die Fälscher (The Counterfeiters)","$74,550"
"Iron Man","$73,896"
"Untraceable","$72,607"
"The Oxford Murders","$70,183"
"Matar a todos","$70,162"
"Taken","$69,620"
"In the Valley of Elah","$65,581"
"Atonement","$65,393"
"There Will Be Blood","$61,808"
"Burn After Reading","$60,505"
"I Could Never Be Your Woman","$56,516"
"The X-Files: I Want to Believe","$55,799"
"High School Musical 3: Senior Year","$52,754"
"El Orfanato (The Orphanage)","$51,839"
"Body of Lies","$51,395"
"El Nido vacío","$47,881"
"Sukkar banat (Caramel)","$45,991"
"Acné","$44,158"
"The Spiderwick Chronicles","$43,959"
"Street Kings","$43,142"
"Jumper","$42,858"
"Away from Her","$42,394"
"Nim's Island","$42,340"
"Blindness","$41,809"
"Sweeney Todd: The Demon Barber of Fleet Street","$41,564"
"High School Musical: El Desafio","$41,034"
"Four Christmases","$39,751"
"Alien vs. Predator - Requiem","$39,110"
"Beverly Hills Chihuahua","$37,378"
"Eastern Promises","$37,132"
"Elizabeth: The Golden Age","$35,372"
"Mon meilleur ami (My Best Friend)","$34,413"
"El Círculo","$34,233"
"Tinker Bell","$33,857"
"Wanted","$33,481"
"Mirrors","$32,931"
"Butterfly on a Wheel","$32,636"
"One Missed Call","$32,045"
"Un secret (A Secret)","$31,032"
"L'Invité","$29,597"
"Across the Universe","$28,836"
"Destino final","$28,571"
"Before the Devil Knows You're Dead","$27,654"
"1408","$27,503"
"Shutter","$26,832"
"The Painted Veil","$26,457"
"The Hunting Party","$26,318"
"Step Brothers","$26,236"
"Quarantine","$26,212"
"Désaccord parfait","$25,192"
"Fool's Gold","$24,881"
"BRATZ","$24,815"
"The Kite Runner","$24,214"
"My Blueberry Nights","$24,001"
"The Incredible Hulk","$23,637"
"August Rush","$23,133"
"Tropic Thunder","$22,877"
"Prête-moi ta main (I Do)","$22,248"
"The Seeker: The Dark Is Rising","$21,979"
"Sleuth (2007)","$21,288"
"Lonely Hearts","$21,067"
"Superhero Movie","$20,789"
"2 Days in Paris","$20,617"
