" Movie Title"," Distributor"," Gross"," Release"
"Avatar","Fox","$1,195,413","12/18"
"Ice Age: Dawn of the Dinosaurs","Fox","$1,001,818","6/29"
"El secreto de sus ojos","n/a","$394,193","10/16"
"2012","Sony","$358,329","11/13"
"Angels & Demons","Sony","$314,045","5/15"
"Harry Potter and the Half Blood Prince","WB","$294,755","7/15"
"Slumdog Millionaire","n/a","$285,996","2/13"
"Up","Disney","$232,910","6/5"
"Monsters Vs. Aliens","Paramount","$218,719","4/3"
"The Hangover","WB","$212,319","8/14"
"Cloudy with a Chance of Meatballs","Sony","$211,779","9/18"
"Vicky Cristina Barcelona","n/a","$210,453","1/30"
"The Curious Case of Benjamin Button","n/a","$185,937","1/23"
"The Twilight Saga: New Moon","n/a","$173,313","12/4"
"Night at the Museum: Battle of the
Smithsonian","Fox","$160,290","5/22"
"The Proposal","Disney","$156,223","7/24"
"Bolt","n/a","$150,701","1/2"
"The Ugly Truth","Sony","$142,757","9/25"
"Yes Man","n/a","$139,346","1/16"
"G-Force","Disney","$138,012","8/14"
"Gran Torino","WB","$133,412","3/20"
"Changeling","n/a","$122,030","1/16"
"Bedtime Stories","n/a","$121,022","1/30"
"Twilight","n/a","$106,674","1/2"
"My Bloody Valentine 3-D","n/a","$100,897","9/4"
"Mal día para pescar (Bad Day to Go Fishing)","n/a","$100,853","8/21"
"Stranded: I Have Come from a Plane That Crashed on the Mountains","n/a","$99,970","3/6"
"The Pink Panther 2","Sony","$99,408","2/13"
"Papá por un día","Disney","$95,964","9/11"
"The Reader","n/a","$93,723","6/24"
"Stranded (2009)","n/a","$90,973","3/6"
"Michael Jackson's This Is It","Sony","$90,951","10/28"
"A Christmas Carol (2009)","Disney","$89,735","11/20"
"Knowing","n/a","$89,102","6/26"
"Terminator Salvation: The Future Begins","Sony","$87,991","6/3"
"Marley and Me","n/a","$87,004","2/6"
"Valkyrie","n/a","$86,068","1/23"
"Paul Blart: Mall Cop","Sony","$81,975","4/9"
"Inglourious Basterds","UPI","$78,318","11/6"
"The Taking of Pelham One, Two, Three","Sony","$75,354","9/11"
"He's Just Not That Into You","n/a","$75,006","5/29"
"Last Chance Harvey","n/a","$74,598","9/11"
"X-Men Origins: Wolverine","Fox","$73,958","4/29"
"The Final Destination","n/a","$73,427","10/9"
