" Movie Title",," Gross"," Release"
"Madagascar: Escape 2 Africa",,"$5,452,823","12/12"
"Kung Fu Panda",,"$4,646,290","7/11"
"The Mummy: Tomb of the Dragon Emperor",,"$4,609,277","8/1"
"Wall-E",,"$4,003,106","8/8"
"Hancock",,"$3,603,410","7/4"
"The Dark Knight",,"$3,488,816","7/18"
"The Chronicles of Narnia: Prince Caspian",,"$3,292,014","6/20"
"Get Smart",,"$3,043,734","6/27"
"10,000 B.C.",,"$2,779,173","3/21"
"Twilight",,"$2,766,971","12/19"
"Speed Racer",,"$2,730,600","5/9"
"Indiana Jones and the Kingdom of the Crystal Skull",,"$2,682,566","5/22"
"What Happens in Vegas",,"$2,480,128","5/16"
"The Day the Earth Stood Still (2008)",,"$2,352,448","12/12"
"Bolt",,"$2,236,184","12/19"
"Journey to the Center of the Earth",,"$2,113,054","9/26"
"Dr. Seuss' Horton Hears a Who!",,"$1,968,000","3/14"
"The Happening",,"$1,910,445","6/13"
"Iron Man",,"$1,891,944","4/30"
"You Don't Mess with the Zohan",,"$1,886,460","8/29"
"I Am Legend",,"$1,817,974","1/18"
"Meet Dave",,"$1,753,546","7/24"
"The Water Horse: Legend of the Deep",,"$1,695,366","2/1"
"The Bucket List",,"$1,531,465","2/1"
"High School Musical 3: Senior Year",,"$1,448,347","11/28"
"Wanted",,"$1,437,106","8/15"
"Beverly Hills Chihuahua",,"$1,431,937","11/14"
"Saw V",,"$1,423,000","10/24"
"Taken",,"$1,338,195","9/19"
"The Incredible Hulk",,"$1,312,950","6/13"
"Jumper",,"$1,263,368","3/28"
"The Spiderwick Chronicles",,"$1,259,450","3/14"
"August Rush",,"$1,255,566","9/5"
"Made of Honor",,"$1,250,151","6/6"
"Four Christmases",,"$1,231,687","12/26"
"Quantum of Solace",,"$1,155,619","12/5"
"Cyrano Fernández",,"$1,121,893","2/29"
"Nim's Island",,"$1,107,439","8/22"
"Mirrors",,"$1,061,203","10/31"
"An American Haunting",,"$994,870","8/22"
"El Orfanato (The Orphanage)",,"$953,402","1/11"
"One Missed Call",,"$948,072","3/7"
"Vantage Point",,"$941,321","4/4"
"Cloverfield",,"$854,243","2/1"
"21",,"$796,011","4/25"
"Australia",,"$785,303","12/25"
"Eagle Eye",,"$778,619","9/26"
"Mamma Mia!",,"$776,285","10/24"
"Hellboy II: The Golden Army",,"$724,148","10/10"
"Awake",,"$716,133","11/28"
"Nights in Rodanthe",,"$714,394","10/10"
"Babylon A.D.",,"$711,545","11/14"
"Star Wars: The Clone Wars",,"$681,368","8/15"
"Tropic Thunder",,"$681,310","10/17"
"The House Bunny",,"$672,810","10/3"
"Prom Night (2008)",,"$670,539","8/8"
"Hitman",,"$634,805","2/15"
"Meet the Spartans",,"$631,852","4/18"
"Drillbit Taylor",,"$622,014","6/6"
"27 Dresses",,"$606,626","4/11"
"Forgetting Sarah Marshall",,"$603,329","11/7"
"The Scorpion King",,"$589,223","5/29"
"Sex and the City",,"$587,671","7/24"
"Body of Lies",,"$584,341","12/12"
"A Mi Me Gusta",,"$575,696","12/12"
"Death Race",,"$516,632","11/21"
"Juno",,"$511,564","4/4"
"Rambo",,"$496,680","3/7"
"Good Luck Chuck",,"$495,723","1/11"
"The X-Files: I Want to Believe",,"$486,290","10/3"
"Fool's Gold",,"$485,492","2/29"
"[Rec]",,"$484,231","10/17"
"Shutter",,"$479,670","5/1"
"Black Christmas (2006)",,"$469,194","8/29"
"88 Minutes",,"$463,693","9/12"
"The Mist",,"$455,412","9/12"
"American Gangster",,"$450,237","2/1"
"Firehouse Dog",,"$418,746","2/22"
"Untraceable",,"$414,784","4/18"
"Street Kings",,"$413,069","5/30"
"The Forbidden Kingdom",,"$412,981","10/31"
"Dead Silence",,"$406,973","3/7"
"Space Chimps",,"$402,247","11/7"
"Whisper",,"$365,206","6/6"
"Step Brothers",,"$354,000","9/12"
"Bridge to Terabithia",,"$338,993","4/11"
"Saint Ange",,"$331,810","1/25"
"The Eye",,"$325,937","4/11"
"Love in the Time of Cholera",,"$322,257","1/25"
"Because I Said So",,"$313,503","4/25"
"P2",,"$309,252","5/9"
"Charlie Wilson's War",,"$300,371","2/29"
"No Country for Old Men",,"$298,892","2/22"
