" Movie Title"," Gross"
"Tangled","$6,863,748"
"Toy Story 3","$6,339,322"
"Shrek Forever After","$5,984,037"
"Harry Potter and the Deathly Hallows (Part One)","$4,743,014"
"Alice in Wonderland (2010)","$4,335,113"
"La hora cero","$3,947,360"
"Tron Legacy","$3,419,740"
"The Twilight Saga: Eclipse","$3,220,661"
"Clash of the Titans (2010)","$3,010,415"
"The Karate Kid","$2,638,033"
"The Sorcerer's Apprentice","$2,603,094"
"Grown Ups","$2,541,731"
"Megamind","$2,512,019"
"Old Dogs","$2,468,108"
"Resident Evil: Afterlife","$2,447,898"
"Despicable Me","$2,321,604"
"The Last Airbender","$2,262,106"
"Prince of Persia: The Sands of Time","$2,221,861"
"Iron Man 2","$1,903,726"
"Legend of the Guardians: The Owls of Ga'Hoole","$1,785,409"
"Tooth Fairy","$1,769,552"
"How to Train Your Dragon","$1,719,199"
"Cats & Dogs: Revenge of Kitty Galore","$1,686,812"
"A Nightmare on Elm Street (2010)","$1,672,304"
"The Spy Next Door","$1,656,148"
"Inception","$1,570,718"
"Hermano","$1,556,003"
"Percy Jackson & The Olympians: The Lightning Thief","$1,517,744"
"Robin Hood","$1,466,773"
"Date Night","$1,299,140"
"Sherlock Holmes","$1,169,558"
"Saw 3D","$1,151,381"
"Marmaduke","$1,110,195"
"Knight & Day","$1,064,750"
"Salt","$1,016,724"
"The Book of Eli","$995,995"
"Life as We Know It","$967,666"
"Paranormal Activity 2","$930,599"
"The Wolfman","$914,570"
"Furry Vengeance","$899,826"
"9 meses","$873,641"
"Edge of Darkness","$828,534"
"The Other Guys","$788,730"
"The Last Exorcism","$762,737"
"The Back-Up Plan","$730,413"
"Valentine's Day","$717,222"
"Habana Eva","$707,988"
"The Town","$701,482"
"Charlie St. Cloud","$682,233"
"The Bounty Hunter","$673,976"
"Nanny McPhee and The Big Bang","$636,120"
"Shutter Island","$634,691"
"The A-Team","$624,787"
"The Social Network","$616,663"
"Due Date","$615,547"
"Legion (2010)","$610,619"
"Predators","$597,533"
"Eat Pray Love","$567,805"
"Ninja Assassin","$531,874"
"Sex and the City 2","$499,160"
"Cop Out","$458,560"
"Going the Distance","$451,433"
"Green Zone","$444,506"
"Vampires Suck","$406,169"
"It's Complicated","$389,027"
"Cirque du Freak: The Vampire's Assistant","$384,644"
"Step Father (2009)","$380,295"
"Piranha 3D","$379,696"
"Couples Retreat","$370,826"
"Armored","$361,704"
"The Blind Side","$355,921"
"Paranormal Activity","$349,537"
"Tinker Bell and the Great Fairy Rescue","$345,335"
"Invictus","$340,248"
"Remember Me","$339,681"
"Las Caras del Diablo (The Devil's Faces)","$315,079"
"Solomon Kane","$312,949"
"The Box","$311,040"
"My Bloody Valentine 3-D","$293,961"
"Muerte en alto contraste","$288,032"
"Avatar: Special Edition","$284,557"
"Unrest","$281,972"
"Toy Story 2 (3D)","$277,773"
"The Haunting in Connecticut","$275,080"
"Up in the Air","$265,980"
"Case 39","$265,440"
"Toy Story in 3D","$255,035"
"Wall Street: Money Never Sleeps","$254,351"
"Did You Hear About the Morgans?","$253,991"
"Cheila Una Casa Pa Maita","$244,505"
"Eden Lake","$232,033"
"Zombieland","$226,544"
"SubHysteria","$213,015"
"Takers","$209,987"
"The Hurt Locker","$198,231"
"Precious: Based on the Novel "Push" by Sapphire","$181,250"
"George A. Romero's Diary of the Dead","$176,083"
"Fly Me to the Moon","$162,654"
"Bad Lieutenant: Port of Call New Orleans","$161,603"
"Letters to Juliet","$156,876"
"The Lovely Bones","$151,657"
"I Hate Valentine's Day","$150,611"
"Taita Boves, El Urogallo","$150,247"
"Dear John","$141,856"
"Nine","$130,690"
"O Returno (The Return)","$129,063"
"The Last Song","$127,211"
"Everybody's Fine","$124,312"
"Funny People","$123,884"
"The Imaginarium of Doctor Parnassus","$113,890"
"500 Days of Summer","$97,037"
"Astro Boy","$96,172"
"Big Stan","$83,115"
"9","$74,091"
"Love Happens","$69,634"
"Last Chance Harvey","$66,304"
"Burning Plain","$64,366"
"Cheri","$63,958"
"Grace Is Gone","$59,384"
"The Time Traveler's Wife","$57,996"
"Desautorizados","$57,691"
"Penelope","$57,061"
"My Life in Ruins","$54,687"
"The Men Who Stare at Goats","$51,515"
"Vier Minuten (Four Minutes)","$48,651"
"The Soloist","$48,167"
"Extremos","$45,567"
"A Prophet (Un prophète)","$42,189"
"Street Fighter: The Legend of Chun-Li","$40,802"
"El estudiante","$40,099"
"My One and Only","$39,487"
"Obsluhoval jsem anglického krále (I Served the King of England)","$35,268"
"An Education","$31,485"
"Feast","$30,281"
"DOA: Dead or Alive","$27,650"
"Crazy Heart","$25,971"
"Volverte a ver","$23,268"
"Fame (2009)","$19,808"
"Celda 211","$18,105"
"A Serious Man","$10,164"
"El Premio","$7,330"
"Inland Empire","$7,204"
"The Magic Flute","$5,688"
"The Fantastic Mr. Fox","$4,483"
"Tarata","$4,291"
"Aparecidos","$1,799"
"Kirikou et les bêtes sauvages (Kirikou 2)","$1,623"
"Parque vía","$1,368"
