" Movie Title","Distributor","Gross","Release"
"Kung Fu Panda 2","UIP","$8,363,469","6/10"
"Rio","Fox","$8,133,434","4/8"
"The Smurfs","Sony","$7,757,729","8/5"
"Harry Potter and the Deathly Hallows (Part Two)","WB","$7,526,732","7/15"
"Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$6,569,664","5/20"
"Fast Five","UIP","$6,472,460","6/3"
"Puss in Boots","UIP","$5,789,372","12/9"
"The Twilight Saga: Breaking Dawn Part 1","n/a","$4,753,282","11/18"
"Cars 2","Disney","$4,570,943","8/19"
"Zookeeper","Sony","$4,018,127","7/22"
"Er Conde Jones (Count Jones)","n/a","$3,579,383","8/26"
"Mr. Popper's Penguins","Fox","$3,122,579","9/16"
"Real Steel","Disney","$2,929,090","12/2"
"The Rite","WB","$2,833,818","3/4"
"Just Go With It","Sony","$2,805,280","4/15"
"Green Lantern","WB","$2,663,058","9/2"
"Thor","UIP","$2,647,111","4/29"
"Transformers 3","n/a","$2,618,374","10/14"
"The Hangover Part II","WB","$2,600,995","5/27"
"Yogi Bear","WB","$2,568,366","1/28"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","$2,549,032","2/11"
"Final Destination 5","WB","$2,455,391","10/28"
"Rango","UIP","$2,327,609","3/4"
"Rise of the Planet of the Apes","Fox","$2,252,177","9/30"
"Arthur Christmas","Sony","$2,066,507","11/25"
"No Strings Attached","UIP","$1,833,907","2/25"
"Battle: Los Angeles","Sony","$1,727,480","3/25"
"The Lion King (in 3D)","Disney","$1,723,535","11/11"
"Gulliver's Travels","Fox","$1,707,898","2/25"
"The Green Hornet","Sony","$1,694,717","1/14"
"The Tourist","Sony","$1,638,157","1/28"
"The Adventures of Tintin","Sony","$1,634,316","12/23"
"X-Men: First Class","Fox","$1,592,230","8/5"
"Little Fockers","UIP","$1,535,888","1/7"
"Friends with Benefits","Sony","$1,531,724","9/9"
"Big Mommas: Like Father, Like Son","Fox","$1,430,585","5/13"
"Horrible Bosses","WB","$1,363,244","8/5"
"Hop","UIP","$1,325,821","4/15"
"The Three Musketeers (2011)","n/a","$1,284,238","10/28"
"Bad Teacher","Sony","$1,193,923","10/7"
"Mars Needs Moms","Disney","$1,174,443","3/11"
"Hall Pass","WB","$1,106,944","4/1"
"Crazy, Stupid, Love.","WB","$1,061,554","8/19"
"Unknown","WB","$947,529","3/18"
"Immortals","n/a","$926,692","12/30"
"Dream House","WB","$875,908","12/2"
"The Adjustment Bureau","UIP","$842,270","6/24"
"Priest","Sony","$831,931","5/13"
"I Am Number Four","Disney","$788,626","3/4"
"Season of the Witch","n/a","$765,591","8/12"
"Red Riding Hood","WB","$757,472","4/22"
"El Chico que Miente (The Kid Who Lies)","n/a","$736,372","1/28"
"The Muppets","Disney","$722,815","12/23"
"Drive Angry","WB","$721,493","4/15"
"Hereafter","WB","$701,301","1/14"
"New Year's Eve","WB","$683,825","12/23"
"Fright Night (2011)","Disney","$634,361","9/30"
"Limitless","n/a","$627,863","8/26"
"Abduction","n/a","$625,974","9/23"
"Sammy's Adventures: The Secret Passage","n/a","$612,946","3/25"
"El rumor de las piedras (The Rumble of the Stones)","n/a","$604,565","9/30"
"Moneyball","Sony","$597,498","10/21"
"Devil","UIP","$573,129","1/21"
"The King's Speech","n/a","$547,794","2/25"
"Contagion","WB","$533,347","12/16"
"Killers","n/a","$529,005","3/18"
"Source Code","n/a","$507,898","11/18"
"In Time","Fox","$500,501","12/23"
"Gnomeo and Juliet","n/a","$472,923","5/6"
"Garfield's Pet Force","n/a","$471,031","9/16"
"Sanctum (3D)","n/a","$456,600","10/7"
"The Switch","n/a","$447,620","5/13"
"Black Swan","Fox","$428,095","4/22"
"Dolphin Tale","WB","$426,566","12/30"
"Red","n/a","$425,764","1/21"
"Water for Elephants","Fox","$402,173","7/8"
"Unstoppable","Fox","$400,233","3/18"
"The Next Three Days","n/a","$391,410","6/24"
"The Change-Up","UIP","$372,052","12/2"
"The Echo","n/a","$358,640","6/24"
"[Rec] 2","n/a","$355,718","7/1"
"Insidious","n/a","$346,607","9/9"
"Sucker Punch","WB","$333,422","4/8"
"Something Borrowed","n/a","$330,015","10/14"
"Saluda al diablo de mi parte (Greetings to the Devil)","n/a","$315,630","9/9"
"The Crazies","n/a","$315,322","5/27"
"Conan the Barbarian (2011)","n/a","$309,696","11/25"
"How Do You Know","Sony","$294,742","2/11"
"Colombiana","Sony","$282,630","11/4"
"Bridesmaids","UIP","$270,564","11/18"
"100 Feet","n/a","$264,569","2/4"
"The Dilemma","UIP","$257,998","9/16"
"Super 8","n/a","$249,274","12/16"
"Midnight in Paris","n/a","$240,604","12/9"
"Frozen","n/a","$239,962","2/4"
"30 Minutes or Less","Sony","$232,742","11/11"
"The Roommate","Sony","$232,725","4/29"
"Cowboys & Aliens","n/a","$225,751","12/2"
"True Grit","UIP","$208,198","2/11"
"The Haunting of Molly Hartley","n/a","$205,353","1/7"
"Los ojos de Julia (Julia's Eyes)","UIP","$200,750","4/1"
"Burlesque","Sony","$198,624","2/25"
"The Descent: Part 2","n/a","$189,882","4/1"
"Easy A","Sony","$186,384","3/4"
"The Beaver","n/a","$184,980","8/12"
"Winnie the Pooh","Disney","$184,372","7/22"
"The Fighter","n/a","$184,128","2/25"
"Law Abiding Citizen","n/a","$183,763","7/8"
"Paul","UIP","$177,597","9/2"
"Ultimo Cuerpo","n/a","$159,940","5/13"
"Skyline","n/a","$151,722","8/19"
"Spread","n/a","$150,777","1/14"
"Splice","n/a","$145,553","7/1"
"Buried","n/a","$131,818","11/11"
"Jackass 3-D","UIP","$131,492","1/21"
"Love and Other Drugs","Fox","$127,444","5/20"
"It's Alive","n/a","$111,002","3/11"
"While She Was Out","n/a","$105,710","6/17"
"The Rebound","n/a","$105,296","5/13"
"Beyond a Reasonable Doubt","n/a","$103,642","5/27"
"Le concert (2009)","n/a","$96,923","2/4"
"You Will Meet a Tall Dark Stranger","n/a","$96,561","8/12"
"Hoodwinked 2","n/a","$96,540","9/30"
"Larry Crowne","n/a","$94,837","12/30"
"Faubourg 36 (Paris 36)","n/a","$94,140","4/15"
"I Spit on Your Grave","n/a","$91,354","5/6"
"Un cuento chino","Disney","$90,880","9/24"
"Solitary Man","n/a","$89,653","8/26"
"Splinter (2008)","n/a","$84,464","3/11"
"Blue Valentine","n/a","$83,264","7/15"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","n/a","$80,092","2/18"
"Brooklyn's Finest","n/a","$66,844","1/21"
"The Ghost Writer","n/a","$66,393","4/29"
"El secreto de sus ojos","n/a","$61,759","3/18"
"Igor","n/a","$56,582","9/9"
"Barney's Version","n/a","$56,132","10/21"
"Biutiful","n/a","$54,699","5/20"
"Plumíferos - Aventuras voladoras","n/a","$53,844","12/9"
"127 Hours","Fox","$51,876","5/13"
"The American","UIP","$50,500","2/4"
"Baarìa - La porta del vento","n/a","$43,666","10/21"
"African Cats","Disney","$39,973","4/22"
"Senki (Shadows)","n/a","$36,350","8/5"
"Paintball","n/a","$35,929","11/4"
"Mother and Child","n/a","$32,401","5/6"
"The Greatest (2010)","n/a","$27,336","11/11"
"Hævnen (In a Better World)","n/a","$24,152","12/25"
"Ciudad en rojo","n/a","$273","3/11"
