" Movie Title"," Gross"
"Un Novio para mi mujer","$5,655,910"
"The Dark Knight","$5,480,477"
"Madagascar: Escape 2 Africa","$5,066,136"
"Kung Fu Panda","$5,038,274"
"Wall-E","$4,664,019"
"The Chronicles of Narnia: Prince Caspian","$3,702,166"
"Indiana Jones and the Kingdom of the Crystal Skull","$3,005,908"
"The Mummy: Tomb of the Dragon Emperor","$2,893,362"
"Enchanted","$2,862,455"
"Hancock","$2,324,172"
"10,000 B.C.","$2,262,479"
"Get Smart","$2,252,024"
"Death at a Funeral","$2,153,078"
"Speed Racer","$2,044,203"
"The Bucket List","$1,982,902"
"High School Musical: El Desafio","$1,766,913"
"National Treasure: Book of Secrets","$1,701,941"
"Sex and the City","$1,694,714"
"Mamma Mia!","$1,628,880"
"Beverly Hills Chihuahua","$1,559,499"
"Iron Man","$1,538,696"
"The Game Plan","$1,519,256"
"Tropic Thunder","$1,349,571"
"The Happening","$1,341,159"
"High School Musical 3: Senior Year","$1,314,788"
"Journey to the Center of the Earth","$1,311,200"
"Quantum of Solace","$1,280,370"
"Dr. Seuss' Horton Hears a Who!","$1,218,623"
"Saw V","$1,076,755"
"El Nido vacío","$1,008,755"
"No Country for Old Men","$959,421"
"The Incredible Hulk","$935,727"
"Body of Lies","$930,022"
"Burn After Reading","$882,934"
"Nights in Rodanthe","$879,399"
"100% lucha, la película","$874,285"
"Charlie Wilson's War","$872,501"
"Los Superagentes, nueva generación","$864,512"
"Alvin and the Chipmunks","$813,109"
"American Gangster","$793,526"
"Tinker Bell","$788,678"
"What Happens in Vegas","$772,918"
"Brigada explosiva: Misión pirata","$763,987"
"El Orfanato (The Orphanage)","$752,899"
"21","$737,889"
"You Don't Mess with the Zohan","$723,308"
"Alien vs. Predator - Requiem","$708,036"
"The X-Files: I Want to Believe","$706,287"
"The Argentine (Che: Part One)","$669,305"
"Mirrors","$658,672"
"The Spiderwick Chronicles","$652,330"
"Sweeney Todd: The Demon Barber of Fleet Street","$651,305"
"Jumper","$641,845"
"The Bank Job","$625,583"
"Love in the Time of Cholera","$603,059"
"Before the Devil Knows You're Dead","$595,095"
"The Water Horse: Legend of the Deep","$590,991"
"The Oxford Murders","$589,788"
"Cloverfield","$587,224"
"Cassandra's Dream","$583,973"
"Wanted","$583,615"
"Righteous Kill","$580,788"
"Taken","$572,787"
"Motivos para no enamorarse","$542,931"
"An American Haunting","$529,788"
"There Will Be Blood","$520,135"
"Atonement","$513,881"
"Shutter","$489,944"
"Leonera (Lion's Den)","$486,380"
"Juno","$474,042"
"P.S. I Love You","$463,222"
"Eastern Promises","$432,196"
"The Mist","$428,010"
"Four Christmases","$421,009"
"Die Fälscher (The Counterfeiters)","$398,205"
"88 Minutes","$396,117"
"Vantage Point","$387,184"
"Quarantine","$376,330"
"2 Days in Paris","$373,612"
"The Strangers","$368,904"
"Made of Honor","$350,258"
"Valentina la pelicula","$340,782"
"The Other Boleyn Girl","$339,213"
"Appaloosa","$339,178"
"In the Valley of Elah","$337,252"
"Superhero Movie","$334,873"
"Rambo","$324,433"
"The Hunting Party","$317,644"
"I Could Never Be Your Woman","$302,572"
"Hellboy II: The Golden Army","$299,372"
"George A. Romero's Diary of the Dead","$296,292"
"La Fille coupée en deux (A Girl Cut in Two)","$286,698"
"27 Dresses","$284,243"
"Meet Dave","$281,026"
"3:10 to Yuma (2007)","$276,073"
"Awake","$274,878"
"In Bruges","$273,533"
"The Duchess","$263,387"
"Flawless (2007)","$256,910"
"1408","$236,737"
"Star Wars: The Clone Wars","$236,497"
"Sukkar banat (Caramel)","$232,704"
"The Eye","$229,755"
"My Blueberry Nights","$226,167"
"[Rec]","$225,119"
"Mio fratello è figlio unico (My Brother Is an Only Child)","$222,886"
"Dialogue avec mon jardinier","$221,688"
"Street Kings","$221,403"
"Dan in Real Life","$213,204"
"Tim Burton's The Nightmare Before Christmas in 3-D (2008 re-issue)","$212,002"
"Un secret (A Secret)","$207,016"
"La Leyenda","$206,591"
"Babylon A.D.","$204,165"
"Untraceable","$203,169"
"Evening","$193,691"
"Blindness","$190,174"
"Eagle Eye","$189,322"
"Hitman","$188,585"
"Death Sentence","$186,418"
"Away from Her","$183,918"
"La Sconosciuta (The Unknown Woman)","$182,369"
"Francesca","$181,839"
"Elegy","$175,398"
"The Tracker","$168,175"
"Sleuth (2007)","$166,205"
"Nim's Island","$166,142"
"Lluvia","$164,286"
"Vier Minuten (Four Minutes)","$159,960"
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour","$157,244"
"Max Payne","$156,663"
"Black Sheep (2007)","$148,517"
"My Mom's New Boyfriend (a.k.a. Homeland Security)","$147,254"
"Cordero de Dios (a.k.a. Agnus Dei)","$144,627"
"U2 3D","$140,453"
"Rancho aparte","$138,524"
"Bikur Ha-Tizmoret (The Band's Visit)","$136,627"
"Manuale d'amore","$136,530"
"Aniceto","$134,481"
"Le Prix à payer","$131,936"
"Fool's Gold","$131,484"
"The Women (2008)","$130,599"
"La Mujer sin cabeza","$129,638"
"L'Invité","$127,719"
"Fly Me to the Moon","$127,382"
"Mon meilleur ami (My Best Friend)","$123,823"
"La Próxima estación","$120,249"
"Death Defying Acts","$115,845"
"Nuovomondo (The Golden Door)","$111,029"
"Désaccord parfait","$110,611"
"Elizabeth: The Golden Age","$108,440"
"Mr. Woodcock","$106,745"
"Tropa de Elite (Elite Squad)","$106,643"
"The Savages","$105,360"
"Le Scaphandre et le papillon (The Diving Bell and the Butterfly)","$105,015"
"Lakeview Terrace","$103,566"
"The Forbidden Kingdom","$101,411"
"Shine a Light","$99,576"
"The Darjeeling Limited","$96,540"
"Black Christmas (2006)","$95,544"
"Chaos (2005)","$95,026"
"Cafe de los maestros","$94,126"
"Grindhouse: Planet Terror","$94,001"
"Bridge to Terabithia","$92,602"
"RockNRolla","$92,024"
"Hannibal Rising","$89,287"
"Mrs. Palfrey at the Claremont","$88,099"
"La Question humaine (Heartbeat Detector)","$87,635"
"We Own the Night","$87,020"
"The Boy in the Striped Pajamas","$86,300"
"Gigantes de Valdés","$84,495"
"El Frasco","$81,944"
"Run Fat Boy Run","$80,421"
"The Ugly Duckling and Me!","$79,897"
"Die Herbstzeitlosen","$77,398"
"Lars and the Real Girl","$74,502"
"King of California","$72,016"
"Prête-moi ta main (I Do)","$71,375"
"The Nanny Diaries","$70,408"
"August Rush","$70,284"
"Obsluhoval jsem anglického krále (I Served the King of England)","$69,163"
"Deception (2008)","$68,776"
"Camera Obscura","$65,989"
"La Cámara oscura","$64,009"
"Bordertown","$60,948"
"Si jie (Lust, Caution)","$60,943"
"Arráncame la vida","$57,357"
"BRATZ","$44,700"
"Ira & Abby","$44,301"
"Sharasojyu","$44,065"
"Persepolis","$43,912"
"Irina Palm","$43,250"
"Fast Food Nation","$41,608"
"La Ronda","$39,247"
"Los Paranoicos","$38,597"
"Yo soy sola","$38,523"
"Fados (2007)","$37,153"
"Visitante de invierno","$34,155"
"Martian Child","$33,556"
"Bella","$31,226"
"Odette Toulemonde","$30,472"
"Die Hohle des gelben Hundes (Cave of the Yellow Dog)","$29,703"
"Nue propriété (Private Property)","$28,970"
"La Misma luna (Under the Same Moon)","$27,572"
"The Magic Flute","$27,214"
"Harold and Kumar Escape from Guantanamo Bay","$25,806"
"Angel-A","$24,852"
"Rosso come il cielo","$24,514"
"Ensemble, c'est tout (Hunting and Gathering)","$21,660"
"Disco","$21,122"
"Du levande (You, the Living)","$20,807"
"Las Vidas posibles","$19,236"
"Iklimler (Cliimates)","$19,214"
"Hei yan quan (I Don't Want to Sleep Alone)","$19,203"
"Indigènes (Days of Glory)","$18,890"
"Tian bian yi duo yun (The Wayward Cloud)","$18,785"
"No mires para abajo","$17,878"
"Sanxia haoren (Still Life)","$16,368"
"L'Âge des ténèbres","$15,773"
"Miss Potter","$15,047"
"Regresados","$15,004"
"Goya's Ghosts","$14,176"
"A Guide to Recognizing Your Saints","$14,087"
"Incómodos","$13,711"
"Silk","$11,485"
"I'm Not There","$11,127"
"The Kite Runner","$10,719"
"Dos amigos y un ladrón","$10,128"
"Paranoid Park","$10,033"
"Twentieth Century (1934) (Re)","$9,800"
"S.O.S. Ex","$8,731"
"Hak se wui (Election)","$8,471"
"Suspiros en el corazón","$8,429"
"La León","$8,333"
"Den Brysomme mannen","$7,986"
"El Desierto negro","$7,232"
"Tres minutos","$6,691"
"Lo que sé de Lola","$6,291"
"The Heart Is Deceitful Above All Things","$6,144"
"Aaltra","$6,083"
"Mogari no mori (The Mourning Forest)","$5,786"
"Imaginadores","$5,620"
"Come l'ombra","$5,514"
"1973, un grito del corazón","$5,384"
"Palabra por palabra","$4,880"
"La Perrera","$4,825"
"El Cine de Maite","$4,155"
"Impunidad","$3,539"
"No ser dios y cuidarlos","$3,523"
"The Princess of Nebraska","$3,456"
"Paisito","$3,264"
"Olga, Victoria, Olga","$3,192"
"Abrigate","$3,124"
"Offside","$2,934"
"Hechos, No Palabras","$2,749"
"Nos ostros","$2,697"
"Election 2 (Hak se wui yi wo wai kwai) (Triad Election)","$2,681"
"Duck","$2,657"
"Diario Argentino","$2,524"
"La Orilla que se abisma","$2,486"
"Snow Cake","$2,440"
"Matar a todos","$2,285"
"Extranjera (2007)","$2,161"
"Backstage (2006)","$2,057"
"Nos Otros","$1,744"
"Tocando en el silencio","$1,531"
"Construcción de una ciudad","$1,483"
"El Furtivo","$1,428"
"Saint Ralph","$1,229"
"Detrás del sol - Más cielo","$1,184"
"Los Invisibles (1963) (Re)","$1,149"
"Luz de invierno","$861"
"El Toro por las astas","$781"
"Evita: Otra Mirada","$477"
"La Luz del bosque","$372"
