" Movie Title"," Gross"
"Avatar","$105,779,507"
"The Twilight Saga: New Moon","$35,164,930"
"Harry Potter and the Half Blood Prince","$34,954,004"
"Transformers: Revenge of the Fallen","$33,554,033"
"Up","$25,296,200"
"Ice Age: Dawn of the Dinosaurs","$24,725,499"
"Sherlock Holmes","$22,777,578"
"Alvin and the Chipmunks: The Squeakquel","$19,791,144"
"2012","$18,123,801"
"The Hangover","$17,934,378"
"Monsters Vs. Aliens","$16,257,222"
"X-Men Origins: Wolverine","$14,924,362"
"Angels & Demons","$14,065,391"
"Night at the Museum: Battle of the Smithsonian","$14,037,398"
"Mao's Last Dancer","$14,008,032"
"The Proposal","$13,971,668"
"Fast and Furious","$13,665,948"
"Star Trek","$12,650,526"
"Inglourious Basterds","$12,328,181"
"Terminator Salvation: The Future Begins","$11,960,230"
"Brüno","$11,651,106"
"Gran Torino","$11,524,910"
"The Ugly Truth","$10,529,622"
"He's Just Not That Into You","$10,401,965"
"Couples Retreat","$10,165,633"
"17 Again","$10,079,700"
"G-Force","$9,781,360"
"Yes Man","$8,792,793"
"Michael Jackson's This Is It","$8,734,295"
"Prince of Persia: The Sands of Time","$8,734,153"
"Hannah Montana The Movie","$8,715,937"
"Old Dogs","$8,383,867"
"My Sister's Keeper","$8,034,157"
"Paranormal Activity","$7,818,643"
"Bride Wars","$7,733,500"
"Bolt","$7,611,037"
"Cloudy with a Chance of Meatballs","$7,487,784"
"Public Enemies","$7,484,127"
"District 9","$7,469,104"
"Marley and Me","$6,861,752"
"G.I. Joe","$6,818,543"
"Julie & Julia","$6,631,946"
"Confessions of a Shopaholic","$6,577,386"
"Watchmen","$6,152,116"
"The Lovely Bones","$6,089,234"
"Funny People","$5,927,006"
"The Princess and the Frog","$5,830,322"
"Knowing","$5,795,063"
"State of Play","$5,702,156"
"Where the Wild Things Are","$5,693,853"
"Did You Hear About the Morgans?","$5,471,538"
"The Final Destination","$5,368,420"
"Race to Witch Mountain","$5,322,485"
"Ghosts of Girlfriends Past","$5,227,478"
"The Time Traveler's Wife","$5,182,619"
"Fame (2009)","$5,160,199"
"Surrogates","$4,958,316"
"The Taking of Pelham One, Two, Three","$4,775,382"
"A Christmas Carol (2009)","$4,688,758"
"Year One","$4,471,739"
"500 Days of Summer","$4,346,548"
"Role Models","$4,312,543"
"The Boat That Rocked","$4,251,228"
"Valkyrie","$4,181,782"
"Hotel for Dogs","$4,096,741"
"Seven Pounds","$4,081,722"
"The Young Victoria","$3,993,751"
"Duplicity","$3,799,322"
"Paul Blart: Mall Cop","$3,733,141"
"Aliens in the Attic","$3,686,961"
"Coraline","$3,553,861"
"The Fantastic Mr. Fox","$3,494,007"
"I Love You Man","$3,487,256"
"Charlie & Boots","$3,438,120"
"The Reader","$3,436,114"
"Underworld: Rise of the Lycans","$3,421,006"
"The Invention of Lying","$3,201,345"
"Land of the Lost","$3,108,970"
"Defiance","$2,934,207"
"The Boy in the Striped Pajamas","$2,929,712"
"Astro Boy","$2,683,576"
"Planet 51","$2,581,551"
"Bright Star","$2,568,097"
"Changeling","$2,553,632"
"Ghost Town","$2,522,543"
"Zombieland","$2,467,594"
"Samson and Delilah","$2,427,981"
"Transporter 3","$2,275,647"
"My Life in Ruins","$2,273,373"
"Saw VI","$2,272,659"
"Drag Me to Hell","$2,197,202"
"Coco avant Chanel","$2,108,680"
"The Pink Panther 2","$2,085,678"
"Dragonball Evolution","$2,046,264"
"Revolutionary Road","$2,016,373"
"Easy Virtue","$1,996,738"
"The International","$1,965,784"
"The Imaginarium of Doctor Parnassus","$1,924,130"
"Last Chance Harvey","$1,780,800"
"The Boys Are Back","$1,771,873"
"The Tale of Despereaux","$1,599,837"
"Whip It","$1,504,167"
"An Education","$1,491,386"
"The Unborn (2009)","$1,399,052"
"Milk","$1,375,995"
"Doubt","$1,358,191"
"My Bloody Valentine 3-D","$1,293,069"
"Zack and Miri Make a Porno","$1,270,158"
"Inkheart","$1,222,364"
"The Informant","$1,216,264"
"The September Issue","$1,210,385"
"Notorious (2009)","$1,200,290"
"The Box","$1,142,983"
"All About Steve","$1,131,167"
"The Wrestler","$1,081,646"
"Shorts","$1,076,560"
"Beautiful Kate","$1,065,656"
"The Uninvited","$1,023,158"
"Mary and Max","$1,004,379"
"3 Idiots","$994,639"
"Fired Up","$941,069"
"Balibo","$915,437"
"Observe and Report","$912,486"
"Disgrace","$908,867"
"Fighting","$892,384"
"Genova","$860,113"
"New in Town","$831,781"
"Cheri","$815,029"
"Nowhere Boy","$807,879"
"Under the Sea 3D","$801,048"
"My Year Without Sex","$795,162"
"Friday the 13th (2009)","$791,527"
"Push","$765,880"
"Orphan","$741,241"
"A Serious Man","$741,212"
"Elegy","$740,624"
"The Soloist","$712,784"
"Los Abrazos rotos (Broken Embraces)","$679,307"
"Sunshine Cleaning","$671,843"
"Bandslam","$642,090"
"L'Heure d'été (Summer Hours)","$641,751"
"Dinosaurs Alive 3D","$638,150"
"Moon","$604,525"
"12 Rounds","$579,091"
"Amelia","$575,245"
"Chi bi (Red Cliff: Part I)","$545,179"
"Sorority Row","$511,247"
"Love the Beast","$511,064"
"The Combination","$498,895"
"Is Anybody There?","$456,345"
"Rachel Getting Married","$438,367"
"Okuribito (Departures)","$400,968"
"The Spirit","$386,501"
"Gomorra","$363,962"
"Dance Flick","$360,384"
"Capitalism: A Love Story","$353,003"
"Whatever Works","$336,114"
"Gake no ue no Ponyo (Ponyo on a Cliff)","$329,877"
"Tulpan","$329,753"
"Looking for Eric","$315,505"
"What Just Happened?","$304,421"
"The Secret Life of Bees","$293,492"
"Love Aaj Kal","$291,114"
"Case 39","$277,030"
"Entre les murs (The Class)","$275,080"
"Last Ride","$244,165"
"Imagine That","$241,861"
"Blessed","$237,752"
"Igor","$225,751"
"Warren Miller's Children of Winter","$220,214"
"Pride & Glory","$215,205"
"Dean Spanley","$213,351"
"New York","$199,075"
"Kambakkt Ishq","$198,579"
"Kaminey","$188,107"
"9","$187,680"
"The Topp Twins: Untouchable Girls","$183,525"
"Chandni Chowk to China","$172,120"
"W.","$170,712"
"Der Baader-Meinhof Komplex","$170,077"
"Taking Woodstock","$169,345"
"Wake in Fright","$167,770"
"Valentino: The Last Emperor","$165,467"
"Bottle Shock","$160,386"
"Away We Go","$154,707"
"De Dana Dan","$152,289"
"Faubourg 36 (Paris 36)","$145,063"
"Two Fists, One Heart","$141,723"
"Ajab Prem Ki Ghazab Kahani","$140,963"
"Cedar Boys","$138,763"
"In Search of Beethoven","$137,285"
"Kurbaan","$128,182"
"Billu","$118,438"
"Jonas Brothers: The 3D Concert Experience","$105,369"
"Lesbian Vampire Killers","$100,104"
"Every Little Step","$99,813"
"Adventureland","$95,215"
"Blue (2009)","$90,234"
"Dil Bole Hadippa! (My Heart Goes Hooray)","$85,373"
"Le Renard et l'enfant (The Fox and the Child)","$85,331"
"Subdivision","$83,630"
"Iron Maiden: Flight 666","$74,134"
"Two Lovers","$70,572"
"Bustin' Down the Door","$69,837"
"Wake Up Sid","$68,189"
"Synecdoche, New York","$67,856"
"Tenderness","$66,367"
"Blindness","$61,326"
"Låt den rätte komma in (Let the Right One In)","$57,758"
"(Les) beau(x) gosse(s)","$57,539"
"Adam","$55,917"
"Rocket Singh - Salesman of the Year","$47,300"
"A Complete History of My Sexual Failures","$43,280"
"Frozen River","$42,621"
"Main Aurr Mrs. Khanna","$41,423"
"Luck by Chance","$40,909"
"London Dreams","$38,375"
"Good","$36,809"
"Wanted (2009)","$36,323"
"Van Diemen's Land","$34,648"
"Before the Rains","$33,407"
"William Shakespeare's The Merchant of Venice","$33,065"
"Beautiful (2009)","$32,024"
"Heer Ranjha","$30,298"
"Tyson","$30,142"
"Cold Souls","$28,780"
"The Limits of Control","$28,767"
"Mes amis, mes amours","$28,348"
"Eden à l'Ouest","$28,331"
"Caos calmo (Quiet Chaos)","$26,973"
"What's Your Rashee?","$26,951"
"Of Time and the City","$25,977"
"Amreeka","$25,656"
"Paa","$22,869"
"Winged Creatures","$22,689"
"Delhi 6","$22,362"
"Séraphine","$22,149"
"Aa Dekhen Zara","$21,279"
"The Merchants of Bollywood","$20,691"
"Stone Bros.","$19,694"
"Aladin","$18,904"
"Anvil! The Story of Anvil","$18,628"
"A Pain in the Ass","$17,946"
"Wendy and Lucy","$17,471"
"The Cove","$17,157"
"Haeundae","$16,869"
"Katyn","$16,841"
"Spread","$16,390"
