" Movie Title"," Gross"
"Pirates of the Caribbean: On Stranger Tides (3D)","$8,019,203"
"Harry Potter and the Deathly Hallows (Part Two)","$7,492,735"
"The Hangover Part II","$6,402,247"
"Puss in Boots","$5,231,569"
"The Smurfs","$5,014,708"
"The Twilight Saga: Breaking Dawn Part 1","$4,538,641"
"Fast Five","$4,158,421"
"Transformers 3","$4,042,800"
"Kung Fu Panda 2","$3,740,422"
"Kokowääh","$3,301,281"
"Rio","$3,296,931"
"Cars 2","$3,014,735"
"Bad Teacher","$2,811,634"
"Zookeeper","$2,811,367"
"Johnny English Reborn","$2,542,767"
"Just Go With It","$2,518,827"
"Wickie auf großer Fahrt (Vicky and the Treasure of the Gods)","$2,399,929"
"The King's Speech","$2,397,550"
"Black Swan","$2,190,493"
"Sherlock Holmes: A Game of Shadows","$2,168,967"
"Gulliver's Travels","$2,076,149"
"Mission: Impossible - Ghost Protocol","$2,055,762"
"The Three Musketeers (2011)","$2,041,425"
"Bridesmaids","$1,802,253"
"New Year's Eve","$1,753,951"
"The Green Hornet","$1,718,605"
"Friends with Benefits","$1,718,021"
"Alvin and the Chipmunks: Chipwrecked","$1,705,661"
"Tron Legacy","$1,698,448"
"Thor","$1,665,346"
"Horrible Bosses","$1,564,836"
"In Time","$1,505,587"
"Final Destination 5","$1,469,374"
"Paul","$1,456,253"
"Hall Pass","$1,452,634"
"Hop","$1,325,952"
"Rise of the Planet of the Apes","$1,313,114"
"Paranormal Activity 3","$1,278,530"
"Rango","$1,260,658"
"No Strings Attached","$1,258,347"
"Eine ganz heiße Nummer","$1,251,430"
"The Change-Up","$1,233,359"
"Crazy, Stupid, Love.","$1,215,819"
"Immortals","$1,153,787"
"Hexe Lilli: Die Reise nach Mandolan","$1,085,039"
"Water for Elephants","$1,070,385"
"X-Men: First Class","$989,308"
"Love and Other Drugs","$973,728"
"The Adventures of Tintin","$966,109"
"The Lion King (in 3D)","$913,219"
"Midnight in Paris","$909,827"
"The Dilemma","$822,638"
"Männerherzen... und die ganz ganz große Liebe","$807,431"
"Scream 4","$795,956"
"Real Steel","$788,221"
"Green Lantern","$784,489"
"Carnage (2011)","$780,744"
"Happy Feet Two","$761,723"
"Limitless","$761,083"
"Mr. Popper's Penguins","$750,942"
"Burlesque","$737,218"
"Gnomeo and Juliet","$733,819"
"Something Borrowed","$730,186"
"I Am Number Four","$730,028"
"Tower Heist","$725,753"
"Captain America: The First Avenger","$721,073"
"Atmen (Breathing)","$676,546"
"True Grit","$670,141"
"Prinzessin Lillifee und das kleine Einhorn","$654,110"
"Killer Elite","$645,910"
"Potiche","$634,316"
"Cowboys & Aliens","$614,931"
"Arthur Christmas","$608,389"
"A Dangerous Method","$605,225"
"One Way Trip 3D","$594,935"
"L'arnacoeur (Heartbreaker)","$594,441"
"Super 8","$590,077"
"Drive Angry","$562,611"
"Rubbeldiekatz (Women in Love)","$548,875"
"One Day","$546,541"
"The Lincoln Lawyer","$545,791"
"The Next Three Days","$542,877"
"Sucker Punch","$538,700"
"The Tree of Life","$538,521"
"Insidious","$532,944"
"Rien à déclarer (Nothing to Declare)","$525,118"
"Contagion","$524,530"
"Winnie the Pooh","$512,268"
"Resturlaub","$506,473"
"Unknown","$505,771"
"The Mechanic","$497,330"
"Big Mommas: Like Father, Like Son","$497,223"
"Abduction","$494,697"
"How Do You Know","$485,417"
"Almanya - Willkommen in Deutschland","$464,613"
"The Ides of March","$462,773"
"Devil","$458,563"
"Beastly","$456,282"
"The Adjustment Bureau","$449,550"
"Priest","$445,917"
"Red Riding Hood","$440,718"
"La tête en friche","$438,034"
"Season of the Witch","$436,524"
"Source Code","$434,725"
"Larry Crowne","$428,732"
"Blutzbrüdaz","$419,804"
"Colombiana","$415,617"
"The Rite","$408,657"
"Vorstadtkrokodile 3","$359,792"
"Wie man leben soll (The Way to Live)","$332,551"
"127 Hours","$304,726"
"Conan the Barbarian (2011)","$297,832"
"Battle: Los Angeles","$288,167"
"Pina","$285,186"
"Shark Night 3D","$284,539"
"L' Italien","$282,255"
"The Skin I Live In","$279,319"
"Morning Glory","$278,325"
"Black Brown White","$272,055"
"The Darkest Hour","$266,390"
"Habemus Papam (We Have a Pope)","$250,347"
"Footloose (2011)","$242,902"
"A Little Bit of Heaven","$234,723"
"Melancholia","$228,599"
"Sommer in Orange (My Life in Orange)","$218,195"
"Justin Bieber: Never Say Never","$214,819"
"Das Ende ist mein Anfang (The End is My Beginning)","$212,262"
"Werner - Eiskalt!","$211,888"
"Kurtlar Vadisi Filistin (Valley of the Wolves: Palestine)","$199,152"
"Hanna","$193,075"
"The Eagle","$191,657"
"L'immortel (22 Bullets)","$191,487"
"I Don't Know How She Does It","$189,740"
"Le Havre","$187,257"
"Lauras Stern und die Traummonster","$187,150"
"Als der Weihnachtsmann vom Himmel fiel","$186,638"
"Biutiful","$183,633"
"Anfang 80","$182,650"
"Margin Call","$180,321"
"Eyyvah eyvah 2","$176,430"
"Les émotifs anonymes","$173,969"
"Die Vaterlosen","$170,487"
"Arthur (2011)","$169,271"
"Dreiviertelmond","$164,215"
"What a Man","$162,376"
"Tucker & Dale vs Evil","$161,818"
"Hereafter","$160,255"
"Les petits mouchoirs (Little White Lies)","$159,888"
"Sanctum (3D)","$153,962"
"I Am Love","$153,414"
"Another Year","$153,206"
"Jane Eyre (2011)","$152,696"
"Kein Sex ist auch keine Lösung","$150,173"
"Cave of Forgotten Dreams","$149,771"
"The Guard","$147,352"
"Dolphin Tale","$142,230"
"Anonymous","$132,209"
"Hotel Lux","$130,706"
"Mein bester Feind","$126,086"
"Honey 2","$125,022"
"At the End of the Day","$123,406"
"Whores' Glory","$119,538"
"The Help","$118,140"
"The Debt","$110,773"
"Les femmes du 6ème étage","$104,111"
"Made in Dagenham","$103,124"
"Four Lions","$102,147"
"Winx Club 3D: Magic Adventure","$100,552"
"The Fighter","$99,285"
"3 (Three)","$97,595"
"New Kids Turbo","$97,412"
"Chalet Girl","$95,123"
"Tom Sawyer (2011)","$88,735"
"Winter's Bone","$85,895"
"Le nom des gens (The Names of Love)","$83,757"
"The Infidel","$80,850"
"Conviction","$77,137"
"Der Sandmann (The Sandman)","$75,376"
"Vielleicht in einem anderen Leben (In Another Lifetime)","$72,902"
"Mother and Child","$72,345"
"1810 - Fur eine Hand Voll Kaspressknoedle","$67,685"
"Blue Valentine","$66,842"
"Klitschko","$66,580"
"Lord of the Dance","$61,330"
"American Passages","$57,450"
"Beginners","$57,441"
"Never Let Me Go","$55,740"
"Hoodwinked 2","$55,440"
"Bulb Fiction","$52,958"
"Come Undone (2010)","$50,863"
"Schwarzkopf","$50,138"
"Hür Adam","$49,469"
"The Conspirator","$49,402"
"L'âge de raison","$49,281"
"Satte Farben vor Schwarz (Colors in the Dark)","$48,206"
