" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Avatar","Fox","$44,713","-5.1%","2","-","$22,357","$139,828","2"
"2","2","2012","Sony","$9,947","-41.7%","1","-1","$9,947","$379,418","7"
"3","4","Step Father (2009)","Sony","$1,252","+1.3%","1","-","$1,252","$6,061","3"
"4","5","Zombieland","Sony","$875","+9.9%","1","-","$875","$19,873","5"
"5","3"," Cloudy with a Chance of Meatballs","Sony","$788","-48.4%","1","-","$788","$97,012","15"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","N","Avatar","Fox","$47,103","-","2","$23,552","$47,103","1"
"2","1","2012","Sony","$17,046","-29.9%","2","$8,523","$365,269","6"
"3","4"," Cloudy with a Chance of Meatballs","Sony","$1,528","+21.6%","1","$1,528","$95,922","14"
"4","2","Step Father (2009)","Sony","$1,236","-38.1%","1","$1,236","$4,236","2"
"5","3","Zombieland","Sony","$796","-52.6%","1","$796","$18,576","4"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","2012","Sony","$24,298","-35.6%","2","$12,149","$335,366","5"
"2","N","Step Father (2009)","Sony","$1,997","-","1","$1,997","$1,997","1"
"3","2","Zombieland","Sony","$1,679","-36.5%","1","$1,679","$17,040","3"
"4","3"," Cloudy with a Chance of Meatballs","Sony","$1,257","-0.6%","1","$1,257","$93,678","13"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","2012","Sony","$37,755","-48.7%","2","$18,878","$299,630","4"
"2","2","Zombieland","Sony","$2,645","-64.4%","1","$2,645","$14,446","2"
"3","3"," Cloudy with a Chance of Meatballs","Sony","$1,265","-77.1%","1","$1,265","$92,134","12"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","2012","Sony","$73,532","+36.9%","2","$36,766","$210,912","3"
"2","N","Zombieland","Sony","$7,425","-","1","$7,425","$7,425","1"
"3","2"," Cloudy with a Chance of Meatballs","Sony","$5,523","+30.2%","1","$5,523","$86,961","11"
"4","3","Michael Jackson's This Is It","Sony","$2,021","-16.7%","1","$2,021","$39,521","5"
"5","5","The Ugly Truth","Sony","$1,194","+24.0%","1","$1,194","$70,345","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","2012","Sony","$53,728","+25.7%","2","$26,864","$113,360","2"
"2","3"," Cloudy with a Chance of Meatballs","Sony","$4,241","+24.9%","1","$4,241","$78,767","10"
"3","2","Michael Jackson's This Is It","Sony","$2,427","-44.3%","1","$2,427","$36,210","4"
"4","5","Aliens in the Attic","n/a","$1,130","+10.9%","1","$1,130","$24,661","8"
"5","4","The Ugly Truth","Sony","$963","-16.6%","1","$963","$68,562","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","N","2012","Sony","$42,746","-","2","$21,373","$42,746","1"
"2","1","Michael Jackson's This Is It","Sony","$4,353","-50.6%","1","$4,353","$32,507","3"
"3","2"," Cloudy with a Chance of Meatballs","Sony","$3,395","-23.4%","1","$3,395","$73,947","9"
"4","3","The Ugly Truth","Sony","$1,154","-58.3%","1","$1,154","$67,329","8"
"5","5","Aliens in the Attic","n/a","$1,019","-10.5%","1","$1,019","$22,886","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Michael Jackson's This Is It","Sony","$8,815","-22.5%","1","$8,815","$24,804","2"
"2","2"," Cloudy with a Chance of Meatballs","Sony","$4,432","+11.2%","1","$4,432","$69,526","8"
"3","3","The Ugly Truth","Sony","$2,769","-26.9%","1","$2,769","$64,894","7"
"4","6","Ice Age: Dawn of the Dinosaurs","n/a","$1,456","+18.9%","1","$1,456","$230,270","19"
