" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","The Chronicles of Narnia: The Voyage of the Dawn Treader","n/a","$11,034","-23.7%","3","$3,678","$50,353","3"
"2","2","Unstoppable","n/a","$3,286","+10.7%","1","$3,286","$75,719","7"
"3","3","Faster","Sony","$2,958","+1.8%","1","$2,958","$21,592","4"
"4","4","The Social Network","Sony","$350","-46.4%","1","$350","$34,257","9"
"5","6","Eat Pray Love","Sony","$321","+25.9%","1","$321","$88,178","12"
"6","7","Easy A","Sony","$223","+21.9%","1","$223","$4,889","5"
"7","5","Machete","Sony","$127","-52.1%","1","$127","$9,236","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","The Chronicles of Narnia: The Voyage of the Dawn Treader","n/a","$14,464","+27.9%","3","$4,821","$35,382","2"
"2","3","Unstoppable","n/a","$2,968","+15.2%","1","$2,968","$70,777","6"
"3","2","Faster","Sony","$2,905","-8.5%","1","$2,905","$17,159","3"
"4","5","The Social Network","Sony","$653","+86.6%","1","$653","$33,676","8"
"5","7","Machete","Sony","$265","+38.7%","1","$265","$9,085","5"
"6","4","Eat Pray Love","Sony","$255","-44.4%","1","$255","$87,711","11"
"7","6","Easy A","Sony","$183","-46.5%","1","$183","$4,578","4"
"8","8","Vampires Suck","n/a","$127","+76.4%","1","$127","$7,679","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","N","The Chronicles of Narnia: The Voyage of the Dawn Treader","n/a","$11,308","-","3","$3,769","$16,175","1"
"2","1","Faster","Sony","$3,175","-53.4%","1","$3,175","$13,106","2"
"3","2","Unstoppable","n/a","$2,576","-47.9%","1","$2,576","$66,273","5"
"4","5","Eat Pray Love","Sony","$459","-48.0%","1","$459","$87,393","10"
"5","3","The Social Network","Sony","$350","-80.0%","1","$350","$32,753","7"
"6","4","Easy A","Sony","$342","-66.2%","1","$342","$4,164","3"
"7","6","Machete","Sony","$191","-72.5%","1","$191","$8,772","4"
"8","7","Vampires Suck","n/a","$72","-86.3%","1","$72","$7,408","5"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","N","Faster","Sony","$6,817","-","1","$6,817","$6,817","1"
"2","1","Unstoppable","n/a","$4,944","-27.2%","1","$4,944","$62,780","4"
"3","2","The Social Network","Sony","$1,753","+10.9%","1","$1,753","$31,804","6"
"4","3","Easy A","Sony","$1,011","-34.6%","1","$1,011","$3,329","2"
"5","4","Eat Pray Love","Sony","$883","-42.2%","1","$883","$86,417","9"
"6","5","Machete","Sony","$695","-52.9%","1","$695","$8,064","3"
"7","7","Vampires Suck","n/a","$525","-26.7%","1","$525","$7,233","4"
"8","8","Marmaduke","n/a","$446","-19.9%","1","$446","$26,846","13"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Unstoppable","n/a","$6,793","-58.0%","1","$6,793","$56,252","3"
"2","4","The Social Network","Sony","$1,581","-55.7%","1","$1,581","$29,233","5"
"3","N","Easy A","Sony","$1,546","-","1","$1,546","$1,546","1"
"4","3","Eat Pray Love","Sony","$1,528","-60.7%","1","$1,528","$85,008","8"
"5","2","Machete","Sony","$1,475","-68.6%","1","$1,475","$6,851","2"
"6","5","Takers","Sony","$931","-65.0%","1","$931","$33,975","8"
"7","6","Vampires Suck","n/a","$716","-72.8%","1","$716","$6,318","3"
"8","7","Marmaduke","n/a","$557","-71.7%","1","$557","$26,202","12"
"9","8","Wall Street: Money Never Sleeps","n/a","$469","-14.6%","1","$469","$39,761","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Unstoppable","n/a","$16,164","+43.5%","1","$16,164","$46,873","2"
"2","N","Machete","Sony","$4,690","-","1","$4,690","$4,690","1"
"3","3","Eat Pray Love","Sony","$3,891","+15.6%","1","$3,891","$82,358","7"
"4","2","The Social Network","Sony","$3,568","-14.3%","1","$3,568","$26,387","4"
"5","4","Takers","Sony","$2,658","+145.7%","1","$2,658","$32,296","7"
"6","-","Vampires Suck","n/a","$2,634","-","1","$2,634","$5,475","2"
"7","5","Marmaduke","n/a","$1,966","+92.9%","1","$1,966","$25,581","11"
"8","6","Wall Street: Money Never Sleeps","n/a","$549","-37.3%","1","$549","$39,212","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","N","Unstoppable","n/a","$11,265","-","1","$11,265","$25,159","1"
"2","1","The Social Network","Sony","$4,162","-28.5%","1","$4,162","$19,536","3"
