" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Alvin and the Chipmunks: Chipwrecked","n/a","$6,716","+7.3%","1","-","$6,716","$23,090","3"
"2","2","The Adventures of Tintin","Sony","$2,576","+20.5%","2","-","$1,288","$75,766","9"
"3","3","Arthur Christmas","Sony","$1,610","-23.8%","1","-1","$1,610","$4,703","2"
"4","4","Jack and Jill","Sony","$1,544","-10.6%","1","-","$1,544","$15,883","5"
"5","7","Moneyball","Sony","$175","-4.4%","1","-","$175","$2,920","4"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Alvin and the Chipmunks: Chipwrecked","n/a","$6,262","+54.7%","1","$6,262","$15,021","2"
"2","2","The Adventures of Tintin","Sony","$2,138","-20.5%","2","$1,069","$71,789","8"
"3","N","Arthur Christmas","Sony","$2,112","-","2","$1,056","$2,112","1"
"4","3","Jack and Jill","Sony","$1,727","-34.4%","1","$1,727","$13,695","4"
"5","6","The Smurfs","Sony","$613","+28.5%","1","$613","$265,184","17"
"6","5","In Time","n/a","$279","-43.4%","1","$279","$13,366","9"
"7","4","Moneyball","Sony","$183","-69.4%","1","$183","$2,562","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Alvin and the Chipmunks: Chipwrecked","n/a","$4,048","-","1","-","$4,048","$4,048","1"
"2","2","The Adventures of Tintin","Sony","$2,689","+13.3%","2","-","$1,345","$68,490","7"
"3","1","Jack and Jill","Sony","$2,634","-6.2%","1","-","$2,634","$10,838","3"
"4","3","Moneyball","Sony","$597","-46.0%","1","-","$597","$1,989","2"
"5","5","In Time","n/a","$493","+6.7%","1","-","$493","$12,761","8"
"6","4","The Smurfs","Sony","$477","-14.1%","1","-1","$477","$264,357","16"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
