" Movie Title"," Gross"
"Bienvenue chez les Ch'tis","$10,746,995"
"Loft (2008)","$9,168,516"
"Madagascar: Escape 2 Africa","$6,565,460"
"Indiana Jones and the Kingdom of the Crystal Skull","$5,983,284"
"Kung Fu Panda","$5,827,314"
"Astérix aux jeux olympiques","$5,748,393"
"Quantum of Solace","$4,752,556"
"The Dark Knight","$4,435,611"
"Wall-E","$4,282,430"
"Hancock","$4,227,894"
"The Chronicles of Narnia: Prince Caspian","$3,932,990"
"National Treasure: Book of Secrets","$3,886,623"
"Mamma Mia!","$3,797,149"
"Step Up 2 the Streets","$3,434,617"
"Sex and the City","$3,366,788"
"Twilight","$3,362,238"
"Wanted","$3,150,832"
"High School Musical 3: Senior Year","$2,848,130"
"The Mummy: Tomb of the Dragon Emperor","$2,847,800"
"Dr. Seuss' Horton Hears a Who!","$2,718,306"
"10,000 B.C.","$2,442,136"
"What Happens in Vegas","$2,408,661"
"Yes Man","$2,112,042"
"The Day the Earth Stood Still (2008)","$1,985,343"
"Iron Man","$1,958,094"
"Jumper","$1,940,064"
"Aanrijding in Moscou (Moscow, Belgium)","$1,898,002"
"No Country for Old Men","$1,813,006"
"Australia","$1,792,652"
"The Spiderwick Chronicles","$1,628,985"
"Burn After Reading","$1,601,111"
"The Happening","$1,584,351"
"Anubis: Het pad der 7 zonden","$1,510,876"
"21","$1,408,885"
"Eagle Eye","$1,366,497"
"Transporter 3","$1,284,778"
"Hotel op stelten","$1,258,387"
"Made of Honor","$1,227,678"
"Space Chimps","$1,200,452"
"Fly Me to the Moon","$1,174,436"
"P.S. I Love You","$1,165,577"
"27 Dresses","$1,163,428"
"Vicky Cristina Barcelona","$1,151,236"
"Into the Wild","$1,128,058"
"Babylon A.D.","$1,120,390"
"You Don't Mess with the Zohan","$1,117,787"
"Atonement","$1,102,858"
"The Incredible Hulk","$1,079,519"
"Untraceable","$1,061,789"
"In Bruges","$1,037,459"
"Juno","$1,015,925"
"Meet Dave","$1,006,629"
"Cloverfield","$973,968"
"Changeling","$971,741"
"Bedtime Stories","$961,701"
"Mirrors","$959,862"
"Rambo","$944,198"
"Vantage Point","$932,450"
"Get Smart","$910,563"
"Body of Lies","$895,108"
"Entre les murs (The Class)","$895,100"
"The Other Boleyn Girl","$892,458"
"Disco","$833,837"
"The Kite Runner","$822,876"
"Meet the Spartans","$799,917"
"Sweeney Todd: The Demon Barber of Fleet Street","$785,600"
"Bangkok Dangerous (2008)","$775,899"
"Alien vs. Predator - Requiem","$765,860"
"Tropic Thunder","$746,729"
"Charlie Wilson's War","$744,570"
"Taken","$680,286"
"There Will Be Blood","$675,721"
"Saw V","$665,938"
"Niko - Lentäjän poika (Niko & The Way to the Stars)","$648,220"
"The Water Horse: Legend of the Deep","$641,935"
"Nim's Island","$620,611"
"Los (2008)","$616,534"
"Largo Winch","$614,300"
"Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom)","$608,596"
"The Forbidden Kingdom","$608,103"
"Hellboy II: The Golden Army","$605,560"
"Street Kings","$602,885"
"Piet Piraet & Het Zwaard Van Zilverland","$601,808"
"The Mist","$587,258"
"The Bucket List","$586,727"
"Righteous Kill","$580,189"
"Death Race","$559,572"
"Superhero Movie","$556,390"
"Fool's Gold","$553,082"
"Il y a longtemps que je t'aime (I've Loved You So Long)","$549,993"
"Les Enfants de Timpelbach","$539,856"
"The X-Files: I Want to Believe","$529,052"
"L'Instinct de mort","$524,809"
"The Strangers","$512,072"
"Shutter","$503,232"
"The Eye","$489,462"
"Two Lovers","$485,054"
"Le Silence de lorna (Lorna's Silence)","$475,226"
"The Game Plan","$472,512"
"My Best Friend's Girl","$444,591"
"Paris (2008)","$432,421"
"Sex Drive","$427,393"
"Chasseurs de dragons (Dragon Hunters)","$402,591"
"Recep Ivedik","$397,446"
"Four Christmases","$397,149"
"Ca$h","$395,143"
"Enfin veuve","$394,159"
"U2 3D","$393,906"
"Linkeroever","$372,486"
"Seuls two","$370,806"
"Eldorado","$364,903"
"The Accidental Husband","$359,967"
"Oorlogswinter","$359,538"
"Gomorra","$358,371"
"Le Premier jour du reste de ta vie","$343,443"
"Go Fast","$333,519"
"15 ans et demi","$327,664"
"Max Payne","$319,884"
"L'ennemi public n° 1","$317,492"
"Les Randonneurs à Saint-Tropez","$316,657"
"Star Wars: The Clone Wars","$314,693"
"Agathe Cléry","$305,117"
"Death Sentence","$304,359"
"30 Days of Night","$303,283"
"Mes amis, mes amours","$301,701"
"Si jie (Lust, Caution)","$295,633"
"Journey to the Center of the Earth","$291,893"
"Rendition","$290,810"
"In the Valley of Elah","$280,712"
"Séraphine","$277,780"
"Blinker en de blixvaten","$274,756"
"Happy Together (2008)","$274,482"
"L'Empreinte de l'ange","$260,578"
"Forgetting Sarah Marshall","$248,037"
"Deception (2008)","$240,566"
"Over Her Dead Body","$234,293"
"Pride & Glory","$232,638"
"Vilaine","$232,418"
"Parlez-moi de la pluie","$231,065"
"Christmas in Paris","$229,487"
"Mongol","$225,998"
"The Ruins","$225,485"
"The Darjeeling Limited","$224,733"
"Maskeli besler kibris","$221,158"
"Before the Devil Knows You're Dead","$220,208"
"Plop en de Kabouterschat","$218,595"
"Happy-Go-Lucky","$218,199"
"It's a Free World...","$212,712"
"Les Femmes de l'ombre (Female Agents)","$212,379"
"3:10 to Yuma (2007)","$207,277"
