" Movie Title"," Gross"
"Toy Story 3","$1,100,757"
"Alice in Wonderland (2010)","$676,994"
"Shrek Forever After","$644,133"
"Harry Potter and the Deathly Hallows (Part One)","$616,542"
"Clash of the Titans (2010)","$525,046"
"Gulliver's Travels","$442,038"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$429,153"
"Resident Evil: Afterlife","$400,474"
"Prince of Persia: The Sands of Time","$355,888"
"Iron Man 2","$311,086"
"How to Train Your Dragon","$282,504"
"Megamind","$278,640"
"Cats & Dogs: Revenge of Kitty Galore","$273,148"
"Despicable Me","$265,912"
"Legend of the Guardians: The Owls of Ga'Hoole","$255,935"
"The Sorcerer's Apprentice","$252,222"
"The Karate Kid","$249,809"
"The Last Airbender","$237,461"
"Paranormal Activity 2","$210,794"
"The Twilight Saga: New Moon","$203,967"
"Tron Legacy","$193,227"
"El Pocholo y su marida","$179,924"
"Tooth Fairy","$174,809"
"Inception","$163,443"
"The Tourist","$163,402"
"The Twilight Saga: Eclipse","$160,671"
"Grown Ups","$151,699"
"Robin Hood","$146,020"
"A Nightmare on Elm Street (2010)","$144,745"
"The Wolfman","$142,291"
"The Princess and the Frog","$138,395"
"Old Dogs","$137,191"
"Sherlock Holmes","$133,079"
"Percy Jackson & The Olympians: The Lightning Thief","$121,320"
"Piranha 3D","$111,962"
"Life as We Know It","$105,274"
"En busca del Paraiso","$101,879"
"Knight & Day","$94,395"
"Marmaduke","$94,267"
"Devil","$90,168"
"The Book of Eli","$84,676"
"Salt","$84,397"
"Legion (2010)","$82,430"
"Predators","$81,431"
"Eat Pray Love","$75,315"
"Sex and the City 2","$72,913"
"The Hurt Locker","$72,208"
"Vampires Suck","$71,452"
"Paranormal Activity","$71,293"
"Due Date","$65,265"
"The Bounty Hunter","$59,172"
"Solomon Kane","$57,968"
"Garfield's Pet Force","$56,251"
"Wall Street: Money Never Sleeps","$49,496"
"The A-Team","$49,300"
"The Strangers","$46,347"
"Edge of Darkness","$45,517"
"Valentine's Day","$45,439"
"Date Night","$44,887"
"The Social Network","$43,052"
"Furry Vengeance","$39,897"
"Planet 51","$39,030"
"The Back-Up Plan","$38,501"
"The Blind Side","$35,097"
"Halloween II (2009)","$34,719"
"The Town","$34,262"
"Unrest","$33,862"
"Invictus","$33,539"
"The Other Guys","$32,469"
"Toy Story in 3D","$32,214"
"Toy Story 2 (3D)","$32,064"
"Poemas De Salvacion","$31,883"
"Killers","$31,673"
"Regresa","$30,751"
"New in Town","$29,838"
"Saw VI","$27,674"
"Nine","$27,248"
"Shutter Island","$26,827"
"Aparecidos","$26,029"
"Casting","$25,818"
"Zombieland","$25,763"
"Going the Distance","$25,694"
"The Expendables","$24,898"
"Scar","$22,878"
"Dear John","$21,271"
"Case 39","$21,138"
"Cirque du Freak: The Vampire's Assistant","$20,824"
"Igor","$20,766"
"Did You Hear About the Morgans?","$19,375"
"The Imaginarium of Doctor Parnassus","$19,019"
"My Best Friend's Girl","$18,593"
"Drag Me to Hell","$18,328"
"All About Steve","$18,159"
"Nanny McPhee and The Big Bang","$16,751"
"El secreto de sus ojos","$14,916"
"Up in the Air","$14,100"
"Machete","$13,891"
"Remember Me","$13,246"
"La Sconosciuta (The Unknown Woman)","$12,780"
"The Forbidden Kingdom","$12,429"
"Sorority Row","$12,324"
"Ninja Assassin","$11,662"
"Letters to Juliet","$11,575"
"The Men Who Stare at Goats","$11,396"
"Takers","$11,161"
"Armored","$10,323"
"Two Lovers","$10,091"
"Couples Retreat","$9,736"
"It's Complicated","$9,407"
"Astro Boy","$9,353"
"Paintball","$8,020"
"Transporter 3","$7,893"
"Contracorriente (Undertow)","$7,773"
"Green Zone","$7,751"
"Everybody's Fine","$6,703"
"Smother","$6,276"
"Tinker Bell and the Lost Treasure","$5,643"
"Flawless (2007)","$4,738"
"Be Kind, Rewind","$4,645"
"Gud Bisnes (Good Business)","$4,483"
"Precious: Based on the Novel "Push" by Sapphire","$4,326"
"Faubourg 36 (Paris 36)","$3,764"
"Fame (2009)","$3,082"
"Transsiberian","$2,641"
"Bordertown","$2,628"
"The Lovely Bones","$2,611"
"Happy-Go-Lucky","$2,408"
"Love Happens","$1,978"
"Two Brothers","$1,958"
"My Mom's New Boyfriend (a.k.a. Homeland Security)","$1,605"
"Gwoemul (The Host)","$1,546"
"An Education","$1,448"
"Diario de una ninfómana","$1,416"
"Cassandra's Dream","$1,248"
"Bangkok Dangerous (2008)","$1,236"
"Swing Vote","$1,084"
"Carancho","$1,054"
"Cobardes","$1,049"
"Gake no ue no Ponyo (Ponyo on a Cliff)","$1,024"
"Paranoid Park","$973"
"La Zona","$919"
"Alone with Her","$913"
"María y los niños pobres","$807"
"Eastern Promises","$705"
"Vicky Cristina Barcelona","$648"
"Dioses","$562"
"Un Novio para mi mujer","$260"
"Irina Palm","$241"
