" Movie Title"," Gross"
"The Dark Knight","$20,156,555"
"Madagascar: Escape 2 Africa","$16,949,456"
"Kung Fu Panda","$16,379,155"
"Iron Man","$14,111,441"
"Hancock","$13,628,864"
"Indiana Jones and the Kingdom of the Crystal Skull","$13,291,372"
"The Mummy: Tomb of the Dragon Emperor","$10,871,420"
"I Am Legend","$10,570,710"
"Meu Nome Não é Johnny","$10,324,959"
"The Chronicles of Narnia: Prince Caspian","$7,488,057"
"Quantum of Solace","$7,483,199"
"Twilight","$6,681,383"
"Journey to the Center of the Earth","$6,544,622"
"Marley and Me","$6,314,657"
"Wall-E","$6,304,500"
"10,000 B.C.","$5,918,492"
"High School Musical 3: Senior Year","$5,578,999"
"Alvin and the Chipmunks","$5,514,934"
"Dr. Seuss' Horton Hears a Who!","$5,340,844"
"The Incredible Hulk","$5,268,777"
"The Bucket List","$5,262,715"
"What Happens in Vegas","$5,262,090"
"Get Smart","$5,131,880"
"Superhero Movie","$5,061,196"
"National Treasure: Book of Secrets","$4,975,758"
"Wanted","$4,907,518"
"Made of Honor","$4,656,981"
"Seven Pounds","$4,651,219"
"Speed Racer","$4,597,888"
"The Happening","$4,375,973"
"Sex and the City","$4,332,760"
"Jumper","$4,294,241"
"The Kite Runner","$4,080,987"
"Blindness","$4,051,714"
"Juno","$4,037,522"
"You Don't Mess with the Zohan","$3,824,858"
"P.S. I Love You","$3,625,379"
"Mamma Mia!","$3,581,745"
"21","$3,352,024"
"Disaster Movie","$3,089,501"
"American Gangster","$3,072,031"
"Era Uma Vez...","$2,814,242"
"Righteous Kill","$2,748,200"
"The Water Horse: Legend of the Deep","$2,743,401"
"Vantage Point","$2,638,827"
"Saw V","$2,554,935"
"Vicky Cristina Barcelona","$2,533,455"
"No Country for Old Men","$2,283,901"
"Burn After Reading","$2,168,745"
"Hellboy II: The Golden Army","$2,141,188"
"The Game Plan","$2,138,638"
"Alien vs. Predator - Requiem","$2,095,169"
"Sexo con amor","$2,044,777"
"My Best Friend's Girl","$1,985,004"
"Rambo","$1,956,148"
"Bezerra de Menezes: O Diário de um Espírito","$1,948,414"
"A Casa da Mãe Joana","$1,856,100"
"27 Dresses","$1,834,923"
"The Spiderwick Chronicles","$1,770,281"
"Street Kings","$1,727,207"
"Fly Me to the Moon","$1,683,313"
"Última Parada 174","$1,632,444"
"Body of Lies","$1,625,422"
"Meet Dave","$1,556,297"
"The X-Files: I Want to Believe","$1,553,329"
