" Movie Title"," Gross"
"Pirates of the Caribbean: At World's End","$544,122"
"300","$484,850"
"National Treasure: Book of Secrets","$413,445"
"Live Free or Die Hard","$392,072"
"Ocean's Thirteen","$388,204"
"Rush Hour 3","$308,875"
"The Golden Compass","$294,510"
"Harry Potter and the Order of the Phoenix","$284,191"
"Beowulf","$252,983"
"Ratatouille","$239,774"
"Shrek the Third","$235,628"
"Blood Diamond","$196,204"
"The Bourne Ultimatum","$195,835"
"Ghost Rider","$187,172"
"Transformers","$183,259"
"American Gangster","$175,623"
"Spider-Man 3","$149,168"
"Stardust","$148,544"
"The Heartbreak Kid","$141,014"
"Night at the Museum","$140,620"
"Next","$131,230"
"WAR","$129,374"
"Fracture","$129,013"
"Perfect Stranger","$123,391"
"Mr. Bean's Holiday","$120,586"
"Hitman","$117,880"
"Babel","$117,744"
"The Simpsons Movie","$110,736"
"Enchanted","$109,883"
"The Kingdom","$98,893"
"Shoot 'Em Up","$92,933"
"Arthur et les Minimoys (Arthur and the Invisibles)","$89,704"
"Knocked Up","$87,583"
"No Reservations","$86,535"
"Surf's Up","$85,384"
"The Holiday","$77,971"
"Fantastic Four: Rise of the Silver Surfer","$77,923"
"TMNT","$76,380"
"The Good Shepherd","$72,912"
"The Prestige","$72,642"
"Pathfinder: Legend of the Ghost Warrior","$70,961"
"Superbad","$68,541"
"Shooter","$67,026"
"Fly by Rossinant","$66,926"
"I Now Pronounce You Chuck and Larry","$65,123"
"Music and Lyrics","$64,378"
"Elizabeth: The Golden Age","$64,320"
"Rendition","$63,654"
"Smokin' Aces","$63,085"
"Alatriste","$62,985"
"Lions for Lambs","$62,362"
"Good Luck Chuck","$61,885"
"The Number 23","$61,128"
"The Brave One","$59,398"
"Breaking and Entering","$58,444"
"The Seeker: The Dark Is Rising","$57,451"
"Wild Hogs","$56,847"
"Resident Evil: Extinction","$56,435"
"Norbit","$55,091"
"The Invasion","$53,380"
"1408","$46,512"
"Ne le dis à personne (Tell No One)","$45,666"
"Volver","$45,665"
"Mr. Brooks","$45,368"
"Zodiac","$44,677"
"Little Miss Sunshine","$43,360"
"Perfume - The Story of a Murderer","$43,014"
"Shivachki","$42,555"
"The Reaping","$41,086"
"Alpha Dog","$40,503"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","$39,866"
"Sunshine","$38,875"
"Bee Movie","$36,379"
"The Pursuit of Happyness","$35,001"
"28 Weeks Later","$34,876"
"Prime","$33,942"
"Valley of Flowers","$33,220"
"La Môme (La Vie en Rose)","$32,636"
"Volkodav iz roda serykh psov (The Wolfhound)","$32,616"
"Vacancy","$31,970"
"Grindhouse: Death Proof","$31,679"
"Rocky Balboa","$31,205"
"Hostel Part II","$30,578"
"El Laberinto del Fauno (Pan's Labyrinth)","$30,486"
"Feast of Love","$30,005"
"Dnevnoy dozor (Day Watch)","$29,664"
"Hairspray (2007)","$28,666"
"Notes on a Scandal","$28,227"
"Rise: Blood Hunter","$28,214"
"Vreme za jeni","$27,265"
"The Queen","$25,959"
"The Fountain","$24,674"
"Epic Movie","$24,592"
"The Nanny Diaries","$23,874"
"The Illusionist","$23,064"
"Code Name: The Cleaner","$22,741"
"Evan Almighty","$22,256"
"Blood and Chocolate","$21,752"
"DOA: Dead or Alive","$21,609"
"Skinwalkers","$18,926"
"Grindhouse: Planet Terror","$17,960"
"Stranger Than Fiction","$16,455"
"Disturbia","$15,316"
"Man of the Year","$15,073"
"Letters from Iwo Jima","$13,485"
"Guca!","$13,473"
"Truands","$13,103"
"Ye yan (The Banquet)","$12,483"
"The Painted Veil","$12,300"
"Stormbreaker","$11,856"
"Meet the Robinsons","$11,833"
"Bridge to Terabithia","$10,993"
"Little Children","$10,411"
"Quand j'étais chanteur (The Singer)","$10,289"
"Dreamgirls","$10,113"
"Seraphim Falls","$8,841"
"Maimuni prez zimata","$8,444"
"OSS 117: Le Caire nid d'espions (OSS 117: Cairo, Nest of Spies)","$7,374"
"Fair Play","$7,370"
"Charlotte's Web","$6,269"
"The Night Listener","$6,186"
"Flags of Our Fathers","$5,964"
"Le Temps qui reste (Time to Leave)","$4,224"
"Direktøren for det hele (Boss of It All)","$4,223"
"Efter brylluppet (After the Wedding)","$3,936"
"Copying Beethoven","$3,298"
"Land of Plenty","$3,171"
"Children of Wax","$2,797"
"L'Amour aux trousses","$2,071"
"L'Enfer","$1,846"
"Laitakaupungin valot (Lights in the Dusk)","$1,486"
"Indigènes (Days of Glory)","$1,025"
"Grbavica: The Land of My Dreams","$932"
"Je vous trouve très beau","$822"
"Sparrows In Oktober","$769"
"Knallhart","$456"
"Pazachyt na myrtvite (Warden of the Dead)","$348"
