" Movie Title"," Gross"
"Avatar","$10,491,936"
"Ice Age: Dawn of the Dinosaurs","$7,125,445"
"2012","$4,107,761"
"Up","$3,645,572"
"Harry Potter and the Half Blood Prince","$3,490,188"
"The Twilight Saga: New Moon","$2,478,548"
"Angels & Demons","$2,211,285"
"Transformers: Revenge of the Fallen","$2,047,357"
"G-Force","$1,595,232"
"Night at the Museum: Battle of the Smithsonian","$1,381,208"
"Twilight","$1,290,455"
"Grado 3","$1,146,214"
"The Curious Case of Benjamin Button","$1,109,721"
"Hannah Montana The Movie","$1,056,206"
"Cloudy with a Chance of Meatballs","$1,044,266"
"Monsters Vs. Aliens","$1,036,375"
"Bedtime Stories","$1,019,509"
"X-Men Origins: Wolverine","$993,660"
"Terminator Salvation: The Future Begins","$948,216"
"Yes Man","$929,148"
"The Princess and the Frog","$904,105"
"Inglourious Basterds","$900,805"
"Valkyrie","$788,657"
"The Final Destination","$768,364"
"Slumdog Millionaire","$764,404"
"A Christmas Carol (2009)","$728,147"
"Orphan","$722,045"
"Knowing","$715,344"
"Michael Jackson's This Is It","$699,407"
"Race to Witch Mountain","$674,840"
"Paranormal Activity","$654,695"
"The Hangover","$586,310"
"Beverly Hills Chihuahua","$579,028"
"District 9","$560,397"
"Public Enemies","$497,563"
"Isla 10","$433,603"
"La nana (The Maid)","$429,657"
"G.I. Joe","$420,139"
"El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","$417,949"
"The Taking of Pelham One, Two, Three","$401,304"
"Earth (2007)","$372,880"
"The Ugly Truth","$370,726"
"Inkheart","$369,600"
"Drag Me to Hell","$365,628"
"Old Dogs","$360,864"
"Dragonball Evolution","$357,254"
"Gran Torino","$356,118"
"The Unborn (2009)","$344,528"
"Fast and Furious","$344,211"
"Coraline","$332,484"
"Australia","$324,519"
"Underworld: Rise of the Lycans","$316,294"
"Super","$315,828"
"Aliens in the Attic","$302,418"
"The Proposal","$293,813"
"He's Just Not That Into You","$279,930"
"Star Trek","$273,992"
"Planet 51","$271,297"
"Friday the 13th (2009)","$270,539"
"Hotel for Dogs","$269,095"
"Changeling","$260,517"
"The Boy in the Striped Pajamas","$259,677"
"Tinker Bell and the Lost Treasure","$245,475"
"Shorts","$230,695"
"Vicky Cristina Barcelona","$220,130"
"Watchmen","$214,235"
"Quarantine","$188,281"
"The Tale of Despereaux","$158,946"
"Last Chance Harvey","$158,660"
"Marley and Me","$157,516"
"The Uninvited","$150,478"
"Coco avant Chanel","$149,636"
"Whiteout","$147,011"
"Duplicity","$144,527"
"Jennifer's Body","$143,185"
"17 Again","$136,867"
"Bride Wars","$135,453"
"Doubt","$133,548"
"The Argentine (Che: Part One)","$128,625"
"Burn After Reading","$127,318"
"Jonas Brothers: The 3D Concert Experience","$126,592"
"Revolutionary Road","$124,733"
"Urmel aus dem Eis","$117,488"
"The Strangers","$115,005"
"Confessions of a Shopaholic","$106,491"
"My Bloody Valentine 3-D","$103,629"
"9","$102,027"
"L' Heure d'ete","$100,208"
"My Sister's Keeper","$96,815"
"Seven Pounds","$95,209"
"Solstice","$94,487"
"Paris (2008)","$90,990"
"The Reader","$87,013"
"Bangkok Dangerous (2008)","$86,710"
"Ghosts of Girlfriends Past","$85,301"
"State of Play","$80,637"
"Zombieland","$79,956"
"The Pink Panther 2","$76,734"
"Righteous Kill","$75,329"
"The Duchess","$75,042"
"The Wrestler","$71,088"
