" Movie Title"," Gross"
"Shrek Forever After","$51,362,770"
"Alice in Wonderland (2010)","$42,114,337"
"The Twilight Saga: Eclipse","$26,363,413"
"Harry Potter and the Deathly Hallows (Part One)","$26,306,807"
"Clash of the Titans (2010)","$24,606,550"
"How to Train Your Dragon","$23,460,585"
"Tangled","$23,380,205"
"Yolki","$22,794,861"
"Nasha Russia: Yaytsa sudby","$22,213,128"
"Megamind","$22,006,475"
"Inception","$21,691,531"
"Prince of Persia: The Sands of Time","$21,528,448"
"Tron Legacy","$21,316,483"
"Resident Evil: Afterlife","$19,729,290"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$19,146,869"
"Tri bogatyrya i shamahanskaya tsaritsa (How Not to Rescue a Princess)","$19,010,585"
"The Last Airbender","$18,300,513"
"Kandagar","$14,867,613"
"Iron Man 2","$14,762,084"
"The Expendables","$13,955,709"
"The Nutcracker in 3D","$13,770,023"
"The Sorcerer's Apprentice","$13,630,194"
"Little Fockers","$12,607,406"
"Step Up 3-D","$12,131,409"
"O chyom govoryat muzhchiny (What Men Talk About)","$12,051,411"
"Robin Hood","$11,864,921"
"Despicable Me","$11,143,555"
"Salt","$10,732,232"
"Lyubov v bolshom gorode 2 (Love in the Big City 2)","$10,208,556"
"Piranha 3D","$9,436,745"
"Skyline","$9,358,456"
"Legend of the Guardians: The Owls of Ga'Hoole","$8,623,362"
"Lubov morkov 3 (Lovey Dovey 3)","$8,457,645"
"Dark World 3D","$8,347,426"
"My iz budushchego 2 (We Are from the Future 2)","$8,224,084"
"Knight & Day","$7,778,233"
"Percy Jackson & The Olympians: The Lightning Thief","$7,572,460"
"Red","$7,540,835"
"Utomlyonnye solntsem 2 (Burnt by the Sun 2)","$7,497,779"
"Due Date","$7,481,785"
"Legion (2010)","$7,375,849"
"Sex and the City 2","$7,116,163"
"Toy Story 3","$6,641,512"
"Grown Ups","$6,566,647"
"Predators","$6,470,880"
"The Bounty Hunter","$6,369,807"
"Cats & Dogs: Revenge of Kitty Galore","$6,337,744"
"Zvyozdnye sobaki: Belka i Strelka","$6,221,940"
"A Nightmare on Elm Street (2010)","$5,747,005"
"Paranormal Activity 2","$5,521,308"
