" Movie Title"," Gross"
"Sex and the City","$835,313"
"Mamma Mia!","$579,910"
"The Dark Knight","$552,373"
"Madagascar: Escape 2 Africa","$528,610"
"Quantum of Solace","$472,114"
"Indiana Jones and the Kingdom of the Crystal Skull","$424,294"
"Twilight","$402,019"
"Kung Fu Panda","$400,865"
"The Mummy: Tomb of the Dragon Emperor","$344,122"
"The Women (2008)","$318,183"
"Hancock","$312,872"
"10,000 B.C.","$299,318"
"P.S. I Love You","$263,073"
"Step Up 2 the Streets","$262,037"
"I Am Legend","$232,048"
"Australia","$224,553"
"Wall-E","$204,583"
"The Chronicles of Narnia: Prince Caspian","$198,517"
"Tropic Thunder","$190,283"
"Open Season 2","$186,124"
"Dr. Seuss' Horton Hears a Who!","$179,106"
"The Day the Earth Stood Still (2008)","$175,698"
"No Country for Old Men","$168,167"
"The Golden Compass","$167,911"
"Wanted","$166,392"
"My Best Friend's Girl","$165,667"
"27 Dresses","$162,892"
"Iron Man","$162,294"
"Taken","$156,146"
"Journey to the Center of the Earth","$155,648"
"Four Christmases","$151,422"
"What Happens in Vegas","$146,824"
"The Bucket List","$135,279"
"Burn After Reading","$135,199"
"High School Musical 3: Senior Year","$133,295"
"Vicky Cristina Barcelona","$131,707"
"Beowulf","$130,542"
"My Mom's New Boyfriend (a.k.a. Homeland Security)","$126,841"
"Fool's Gold","$126,308"
"Forgetting Sarah Marshall","$123,789"
"Body of Lies","$123,774"
"Space Chimps","$119,580"
"Alvin and the Chipmunks","$117,545"
"El Ratón Pérez","$109,524"
"Juno","$108,451"
"Wild Child","$104,794"
"Made of Honor","$96,869"
"Eagle Eye","$95,563"
"U2 3D","$95,465"
"Mongol","$94,319"
"The X-Files: I Want to Believe","$90,741"
"The Bank Job","$90,623"
"Righteous Kill","$88,636"
"Jumper","$88,133"
"The Incredible Hulk","$87,874"
"21","$87,466"
"The Spiderwick Chronicles","$86,757"
"There Will Be Blood","$84,183"
"Sweeney Todd: The Demon Barber of Fleet Street","$83,754"
"Love in the Time of Cholera","$83,128"
"You Don't Mess with the Zohan","$80,717"
"Death Race","$78,842"
"Get Smart","$76,832"
"Saw V","$76,222"
"Nights in Rodanthe","$76,222"
"Charlie Wilson's War","$75,689"
"L'Instinct de mort","$74,264"
"One Missed Call","$74,213"
"Cloverfield","$69,429"
"Elegy","$67,359"
"Hellboy II: The Golden Army","$63,042"
"The Illusionist","$62,493"
"Alien vs. Predator - Requiem","$60,669"
"La Doublure (The Valet)","$56,444"
"Donkey Xote","$56,438"
"The Happening","$56,380"
"Love and Other Disasters","$55,390"
"Sex and Death 101","$53,036"
"Over Her Dead Body","$51,491"
"Untraceable","$49,303"
"Vantage Point","$44,377"
"Deception (2008)","$43,117"
"Meet Dave","$42,857"
"The Hottie & the Nottie","$38,871"
"Mad Money","$38,613"
"Pride & Glory","$37,345"
"Gone Baby Gone","$37,211"
"Big Stan","$37,132"
"Nim's Island","$37,086"
"The Other Boleyn Girl","$36,442"
"The Mist","$36,216"
"The Eye","$34,558"
"Funny Games","$34,474"
"Quarantine","$34,019"
"Lars and the Real Girl","$33,885"
"George A. Romero's Diary of the Dead","$32,723"
"Star Wars: The Clone Wars","$32,706"
"Max Payne","$31,943"
"Street Kings","$31,684"
"Bangkok Dangerous (2008)","$31,521"
"Die Fälscher (The Counterfeiters)","$30,105"
"Mirrors","$30,086"
"Midnight Meat Train","$29,414"
"Si jie (Lust, Caution)","$29,267"
"Dan in Real Life","$27,908"
"Butterfly on a Wheel","$27,709"
"City of Ember","$25,707"
"Drillbit Taylor","$24,529"
"Domino","$21,950"
"Leatherheads","$20,748"
"Prom Night (2008)","$20,087"
"The Darjeeling Limited","$19,237"
"Vratné lahve","$18,032"
"Eastern Promises","$17,846"
"Pineapple Express","$16,816"
"The Kite Runner","$16,207"
"In Bruges","$15,344"
"Go Fast","$15,067"
"The Flock","$14,174"
"Shine a Light","$12,782"
"El Orfanato (The Orphanage)","$12,763"
"Speed Racer","$11,998"
"Passengers","$11,425"
"The Rocker","$9,533"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)","$9,442"
"Before the Devil Knows You're Dead","$9,062"
"Bikur Ha-Tizmoret (The Band's Visit)","$8,839"
"Happy-Go-Lucky","$7,160"
"Flawless (2007)","$7,092"
"We Own the Night","$6,657"
"Charlie Bartlett","$4,287"
"Senki (Shadows)","$4,261"
"The Savages","$3,874"
"Cirque du Soleil: Delirium","$315"
