" Movie Title"," Gross"
"Vratné lahve","$6,069,821"
"Harry Potter and the Order of the Phoenix","$3,280,377"
"Shrek the Third","$3,196,203"
"The Simpsons Movie","$2,764,086"
"Medvidek","$2,564,084"
"Gympl","$2,490,596"
"Pirates of the Caribbean: At World's End","$2,148,858"
"Ratatouille","$2,030,119"
"Václav","$1,708,130"
"Bestiar","$1,209,335"
"Roming","$1,067,489"
"Goya's Ghosts","$963,041"
"Spider-Man 3","$900,277"
"The Golden Compass","$884,673"
"300","$883,797"
"Night at the Museum","$863,220"
"Mr. Bean's Holiday","$853,444"
"La Môme (La Vie en Rose)","$726,572"
"Bee Movie","$725,755"
"Tajnosti","$692,198"
"Once","$618,253"
"Transformers","$578,012"
"Chytte doktora","$560,728"
"Stardust","$554,900"
"Ocean's Thirteen","$553,102"
"Kvaska","$542,016"
"Live Free or Die Hard","$520,881"
"Posledni plavky","$494,188"
"Surf's Up","$454,410"
"Elizabeth: The Golden Age","$446,938"
"Alien vs. Predator - Requiem","$428,441"
"P.S. I Love You","$410,772"
"Babel","$407,577"
"The Bourne Ultimatum","$393,641"
"Alvin and the Chipmunks","$365,778"
"1408","$352,775"
"Maharal - tajemstvi talismanu","$334,728"
"Next","$314,518"
"Saw III","$306,299"
"Apocalypto","$302,072"
"Hannibal Rising","$297,371"
"Knocked Up","$272,846"
"The Queen","$262,808"
"Shark Bait (a.k.a. The Reef)","$261,868"
"Saw IV","$255,636"
"Beowulf","$254,814"
"Bridge to Terabithia","$233,693"
"Blood Diamond","$215,910"
"Taxi 4","$207,405"
"Pusinky","$205,220"
"The Heartbreak Kid","$197,296"
"Arthur et les Minimoys (Arthur and the Invisibles)","$167,256"
"Ghost Rider","$166,945"
"Music and Lyrics","$163,334"
"Mr. Magorium's Wonder Emporium","$158,795"
"30 Days of Night","$158,544"
"Resident Evil: Extinction","$154,881"
"Sunshine","$146,125"
"Fantastic Four: Rise of the Silver Surfer","$143,823"
"Enchanted","$141,083"
"El Laberinto del Fauno (Pan's Labyrinth)","$139,328"
"Meet the Robinsons","$139,129"
"The Kingdom","$134,508"
"Hitman","$133,649"
"Rocky Balboa","$128,133"
"Mr. Brooks","$126,607"
"The Prestige","$125,668"
"Shooter","$111,057"
"Grindhouse: Death Proof","$108,661"
"The Nanny Diaries","$106,195"
"Disturbia","$106,092"
"The Painted Veil","$104,660"
"Zodiac","$99,261"
"Das Leben der Anderen (The Lives of Others)","$94,204"
"Evan Almighty","$85,361"
"Halloween (2007)","$84,173"
"No Reservations","$83,019"
"Charlotte's Web","$81,737"
"The Hills Have Eyes 2","$77,696"
"Hostel Part II","$75,804"
"Because I Said So","$75,007"
"I Now Pronounce You Chuck and Larry","$73,606"
"Kunsten å tenke negativt (The Art of Negative Thinking)","$73,076"
"Factory Girl","$70,768"
"The Ugly Duckling and Me!","$70,110"
"Grindhouse: Planet Terror","$68,498"
"TMNT","$66,644"
"Perfect Stranger","$66,313"
"Smokin' Aces","$65,813"
"Lions for Lambs","$64,175"
"Pathfinder: Legend of the Ghost Warrior","$64,174"
"The Fountain","$62,670"
"Becoming Jane","$59,115"
"Hot Fuzz","$57,616"
"The Brave One","$57,570"
"My Super Ex-Girlfriend","$55,892"
"The Good Shepherd","$54,125"
"School for Scoundrels","$52,815"
"Epic Movie","$52,678"
"Superbad","$51,806"
"Crank","$50,864"
"Shoot 'Em Up","$50,403"
"The Pursuit of Happyness","$50,180"
"The Invasion","$49,518"
"Wild Hogs","$48,529"
"An American Haunting","$47,021"
"Fracture","$44,781"
"The Seeker: The Dark Is Rising","$43,841"
"The Messengers","$40,432"
"Rush Hour 3","$39,274"
"Miss Potter","$38,829"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","$38,678"
"The Grudge 2","$37,777"
"The Last King of Scotland","$36,517"
"The Last Legion","$36,004"
"Premonition","$35,996"
"Dreamgirls","$35,111"
"Der Letzte Zug","$33,929"
"The Good Night","$32,751"
"Dnevnoy dozor (Day Watch)","$32,080"
"Feast of Love","$31,767"
"Employee of the Month","$28,626"
"The Hoax","$28,473"
"Persepolis","$27,913"
"The Number 23","$26,717"
"The Reaping","$26,585"
"Bobby","$26,228"
"Stranger Than Fiction","$24,592"
"Irina Palm","$23,794"
"Hairspray (2007)","$23,045"
"Notes on a Scandal","$22,845"
"Kinoautomat: Clovek a jeho dum","$20,184"
"Balls of Fury","$18,694"
"Terkel i knibe","$17,795"
"Norbit","$17,737"
"Die Fälscher (The Counterfeiters)","$17,726"
"Inland Empire","$17,297"
"Alpha Dog","$16,253"
"Blood and Chocolate","$15,745"
"Interview","$15,526"
"Zwartboek (Black Book)","$15,183"
"Direktøren for det hele (Boss of It All)","$15,008"
"Crash Road","$14,710"
"Mein Führer - Die wirklich wahrste Wahrheit über Adolf Hitler","$14,455"
"Evening","$12,222"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)","$12,099"
"Across the Universe","$10,169"
"A Mighty Heart","$7,926"
"Taxidermia","$7,857"
"Èerné vánoce","$7,226"
"Letters from Iwo Jima","$6,470"
"Breaking and Entering","$6,081"
"Little Children","$5,350"
"Flags of Our Fathers","$4,328"
"Sicko","$4,267"
"Venus","$4,080"
"Renaissance","$3,400"
"Laitakaupungin valot (Lights in the Dusk)","$3,373"
"Breakout","$2,911"
"Saturno contro","$2,422"
