" Movie Title"," Gross"
"Avatar","$22,889,076"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","$16,983,990"
"Flickan som lekte med elden","$11,922,845"
"Harry Potter and the Half Blood Prince","$10,687,228"
"Luftslottet som sprängdes (The Girl Who Kicked the Hornet's Nest)","$9,034,083"
"Angels & Demons","$7,123,150"
"Ice Age: Dawn of the Dinosaurs","$7,045,770"
"Up","$6,892,692"
"Sorte kugler","$5,590,871"
"2012","$3,990,300"
"The Twilight Saga: New Moon","$3,912,934"
"Alvin and the Chipmunks: The Squeakquel","$3,845,768"
"Transformers: Revenge of the Fallen","$3,048,737"
"Michael Jackson's This Is It","$3,048,283"
"Bolt","$2,923,427"
"Sherlock Holmes","$2,731,318"
"Inglourious Basterds","$2,599,606"
"Julefrokosten","$2,587,648"
"The Hangover","$2,546,501"
"Headhunter","$2,258,895"
"Karla og Katrine","$1,914,861"
"Changeling","$1,893,982"
"Slumdog Millionaire","$1,823,565"
"Brüno","$1,783,494"
"Terminator Salvation: The Future Begins","$1,769,520"
"Hannah Montana The Movie","$1,721,983"
"The Curious Case of Benjamin Button","$1,647,700"
"Ved verdens ende (At The End of the World)","$1,622,797"
"The Proposal","$1,604,504"
"G-Force","$1,521,166"
"Twilight","$1,499,585"
"Over gaden under vandet (Over the Street, Under the Water)","$1,484,128"
"Valkyrie","$1,288,682"
"Kærestesorger","$1,285,924"
"Storm","$1,233,575"
"District 9","$1,208,413"
"Coco avant Chanel","$1,178,721"
"Curious George 2: Follow That Monkey!","$1,156,903"
"Flugten (The Escpae)","$1,084,553"
"Antichrist","$1,065,978"
"The Ugly Truth","$1,045,497"
"Watchmen","$1,036,664"
"Public Enemies","$1,006,906"
"A Christmas Carol (2009)","$982,729"
"Paranormal Activity","$944,498"
"Monsterjægerne (Monster Hunters)","$894,515"
"He's Just Not That Into You","$873,877"
"Winnie og Karina - The Movie","$849,074"
"Fame (2009)","$776,795"
"Vågn","$768,660"
"The Imaginarium of Doctor Parnassus","$751,736"
"Fast and Furious","$696,694"
"Revolutionary Road","$688,954"
"Blekingegadebanden","$673,190"
"G.I. Joe","$666,420"
"Surrogates","$658,503"
"Se min kjole","$586,603"
"Confessions of a Shopaholic","$573,140"
"Hotel for Dogs","$545,808"
"A Serious Man","$538,865"
"Simon & Malou","$510,605"
"Applaus","$505,623"
"Superbror","$478,866"
"Arthur et la vengeance de Maltazard","$475,748"
"Zoomerne","$473,138"
"The Taking of Pelham One, Two, Three","$465,890"
"Milk","$465,693"
"Sex Drive","$459,026"
"Friday the 13th (2009)","$437,599"
"The Spirit","$417,386"
"Zombieland","$405,960"
"Bedtime Stories","$386,689"
"Pettson & Findus - Glömligheter","$372,529"
"Los Abrazos rotos (Broken Embraces)","$346,073"
"The Tale of Despereaux","$345,350"
"Il y a longtemps que je t'aime (I've Loved You So Long)","$342,307"
"Law Abiding Citizen","$326,053"
"Monsters Vs. Aliens","$315,494"
"Role Models","$314,724"
"Julie & Julia","$312,012"
"Couples Retreat","$305,175"
"Vanvittig forelsket (Crazy in Love)","$300,578"
"Marley and Me","$284,828"
"Bride Wars","$277,023"
"Æblet & ormen (The Apple & the Worm)","$256,622"
"Appaloosa","$256,014"
"The International","$251,513"
"Seven Pounds","$240,493"
"Gamer (2009)","$223,940"
"Camping","$210,502"
"The Pink Panther 2","$209,406"
"Gake no ue no Ponyo (Ponyo on a Cliff)","$207,340"
"Vølvens forbandelse","$202,158"
"Nick and Norah's Infinite Playlist","$196,796"
"Le concert (2009)","$188,542"
"Ninja Assassin","$181,249"
"Last Chance Harvey","$166,460"
"500 Days of Summer","$161,183"
"Away We Go","$156,948"
"Frost/Nixon","$156,233"
"Capitalism: A Love Story","$150,265"
"Entre les murs (The Class)","$146,474"
"My Bloody Valentine 3-D","$142,938"
"Old Dogs","$141,986"
"Okuribito (Departures)","$133,333"
"Sin Nombre","$121,807"
"Looking for Eric","$104,157"
"Chi bi (Red Cliff: Part I)","$91,016"
"The Hurt Locker","$81,188"
"Earth (2007)","$74,264"
"Funny People","$72,331"
"The Last House on the Left (2009)","$70,976"
"Fri os fra det onde","$69,513"
"Paris (2008)","$68,201"
"Doubt","$67,642"
"Vals Im Bashir (Waltz with Bashir)","$65,165"
"Himlen falder","$63,629"
"Pride & Glory","$56,335"
"The Informant","$52,472"
"The Unborn (2009)","$47,314"
"Kirschblüten - Hanami (Cherry Blossoms)","$46,880"
"Omaret yakobean (Yacoubian Building)","$40,262"
"My Best Friend's Girl","$39,413"
"Taken","$36,151"
"Angus, Thongs and Perfect Snogging","$31,947"
"Bronson","$28,562"
"Parlez-moi de la pluie","$26,832"
"De Ofrivilliga","$26,560"
"Underworld: Rise of the Lycans","$26,025"
"The September Issue","$22,539"
"L' Heure d'ete","$19,403"
"Inkheart","$18,933"
"Spread","$18,052"
"Le Premier jour du reste de ta vie","$14,155"
"La Bohème","$12,443"
"Zack and Miri Make a Porno","$12,400"
"Imagine That","$10,519"
"Taking Woodstock","$10,435"
"Dance Flick","$7,960"
"Boy A","$5,380"
"Blindness","$5,054"
