" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Avatar","Fox","$334,584","+5.3%","47","-","$7,119","$851,782","2"
"2","N","The Princess and the Frog","Disney","$243,095","-","31","-","$7,842","$243,095","1"
"3","N","Alvin and the Chipmunks: The Squeakquel","Fox","$198,382","-","32","-","$6,199","$198,382","1"
"4","3","2012","Sony","$19,834","-32.6%","14","-23","$1,417","$1,528,538","7"
"5","7","Coco avant Chanel","Importadora","$5,070","-18.8%","7","-","$724","$15,069","2"
"6","9","Jennifer's Body","Fox","$5,049","-12.1%","9","-9","$561","$105,999","4"
"7","8","Whiteout","Importadora","$4,920","-19.5%","7","-","$703","$82,602","8"
"8","10","My Sister's Keeper","Importadora","$3,498","+107.7%","2","+1","$1,749","$117,531","13"
"9","6"," El Ratón Pérez 2","Importadora","$2,351","-63.9%","8","-4","$294","$160,304","9"
"10","5","A Christmas Carol (2009)","Disney","$1,698","-81.1%","14","-7","$121","$1,029,323","8"
"11","13","Julie & Julia","Sony","$88","-81.3%","1","-3","$88","$53,071","13"
"12","11"," El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Fox","$81","-94.7%","3","-","$27","$166,534","12"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Avatar","Fox","$317,740","-","47","-","$6,760","$317,740","1"
"2","1","The Twilight Saga: New Moon","Nuvision","$56,791","-46.5%","28","-21","$2,028","$900,511","4"
"3","2","2012","Sony","$29,440","-54.7%","37","-","$796","$1,494,087","6"
"4","5","Planet 51","n/a","$16,180","-14.0%","25","+10","$647","$177,233","5"
"5","3","A Christmas Carol (2009)","Disney","$8,993","-83.1%","21","+5","$428","$1,022,218","7"
"6","6"," El Ratón Pérez 2","Importadora","$6,512","-44.3%","12","-1","$543","$154,682","8"
"7","N","Coco avant Chanel","Importadora","$6,243","-","7","-","$892","$6,243","1"
"8","7","Whiteout","Importadora","$6,108","-42.5%","7","-","$873","$73,358","7"
"9","4","Jennifer's Body","Fox","$5,742","-69.6%","18","-","$319","$96,435","3"
"10","14","My Sister's Keeper","Importadora","$1,684","+164.0%","1","-1","$1,684","$112,096","12"
"11","9"," El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Fox","$1,517","-55.9%","3","-4","$506","$166,116","11"
"12","10","Orphan","Importadora","$1,054","-45.0%","4","-4","$264","$98,769","11"
"13","12","Julie & Julia","Sony","$471","-53.0%","4","-","$118","$52,458","12"
"14","13","Pride & Glory","Importadora","$310","-64.2%","1","-5","$310","$15,950","5"
"15","16"," Cloudy with a Chance of Meatballs","Sony","$93","+55.0%","2","-2","$47","$537,916","14"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","The Twilight Saga: New Moon","Nuvision","$106,092","-42.4%","49","-","$2,165","$823,398","3","Unknown"
"2","2","2012","Sony","$64,945","-37.8%","37","-1","$1,755","$1,438,915","5","Unknown"
"3","3","A Christmas Carol (2009)","Disney","$53,203","-22.3%","16","-32","$3,325","$999,927","6","Unknown"
"4","4","Jennifer's Body","Fox","$18,871","-47.8%","18","-","$1,048","$79,004","2","Unknown"
"5","5","Planet 51","n/a","$18,806","-29.5%","15","-3","$1,254","$159,875","4","Unknown"
"6","12"," El Ratón Pérez 2","Importadora","$11,680","+1,037.3%","13","+4","$898","$148,170","7","Argentina, Spain"
"7","-","Whiteout","Importadora","$10,618","-","7","-","$1,517","$67,250","6","Unknown"
"8","7","The Uninvited","UIP","$5,390","-25.3%","11","-7","$490","$112,174","4","USA"
"9","9"," El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Fox","$3,438","+10.2%","7","+3","$491","$163,625","10","Unknown"
"10","6","Orphan","Importadora","$1,917","-83.7%","8","-1","$240","$97,715","10","Unknown"
"11","N"," Leonera (Lion's Den)","Importadora","$1,258","-","6","-","$210","$1,258","1","Argentina, Brazil, South Korea"
"12","13","Julie & Julia","Sony","$1,001","+49.0%","4","-","$250","$51,212","11","Unknown"
"13","11","Pride & Glory","Importadora","$865","-32.1%","6","-","$144","$15,640","4","USA"
"14","8","My Sister's Keeper","Importadora","$638","-79.7%","2","-7","$319","$110,412","11","Unknown"
"15","10","Ghosts of Girlfriends Past","Importadora","$623","-67.3%","1","-5","$623","$115,062","11","USA"
"16","14"," Cloudy with a Chance of Meatballs","Sony","$60","-50.4%","4","-","$15","$537,823","13","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Twilight Saga: New Moon","Nuvision","$184,239","-49.5%","49","-","$3,760","$667,880","2"
"2","2","2012","Sony","$104,326","-25.7%","38","-","$2,745","$1,326,739","4"
"3","3","A Christmas Carol (2009)","Disney","$68,499","-1.0%","48","+4","$1,427","$930,436","5"
"4","N","Jennifer's Body","Fox","$36,165","-","18","-","$2,009","$36,165","1"
"5","4","Planet 51","n/a","$26,692","-22.3%","18","-","$1,483","$129,837","3"
"6","6","Orphan","Importadora","$11,746","-17.7%","9","-","$1,305","$89,825","9"
"7","5","The Uninvited","UIP","$7,217","-66.7%","18","-4","$401","$107,072","3"
"8","8","My Sister's Keeper","Importadora","$3,138","+2.7%","9","-","$349","$108,192","10"
