" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","-","Puss in Boots","UIP","$129,127","-","52","-","$2,483","$1,558,720","4"
"2","1","Mission: Impossible - Ghost Protocol","UIP","$125,288","-29.7%","51","+7","$2,457","$518,746","2"
"3","2","Alvin and the Chipmunks: Chipwrecked","Fox","$113,008","-25.8%","43","-","$2,628","$512,569","2"
"4","N","Johnny English Reborn","UIP","$53,779","-","26","-","$2,068","$53,779","1"
"5","N","Don't Be Afraid of the Dark","n/a","$41,053","-","23","-","$1,785","$41,053","1"
"6","3","New Year's Eve","Importadora","$26,445","-13.6%","32","-","$826","$310,375","4"
"7","N"," Dorian Gray","n/a","$14,597","-","8","-","$1,825","$14,597","1"
"8","4","Arthur Christmas","Sony","$10,973","-53.6%","25","-3","$439","$401,273","5"
"9","5","Dream House","Importadora","$6,789","-41.3%","6","-","$1,132","$192,532","8"
"10","6","Happy Feet Two","Importadora","$5,029","-32.3%","25","-8","$201","$764,273","6"
"11","-","Paul","UIP","$2,350","-","14","-","$168","$43,220","3"
"12","-","What's Your Number?","Fox","$316","-","3","-","$105","$84,456","11"
"13","8","Bad Teacher","Sony","$237","-48.5%","3","-","$79","$112,341","12"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Mission: Impossible - Ghost Protocol","UIP","$178,136","-","44","-","$4,049","$215,115","1"
"2","N","Alvin and the Chipmunks: Chipwrecked","Fox","$152,320","-","43","-","$3,542","$152,320","1"
"3","2","New Year's Eve","Importadora","$30,597","-52.7%","32","-","$956","$242,828","3"
"4","3","Arthur Christmas","Sony","$23,635","-56.1%","28","-13","$844","$370,322","4"
"5","10","Dream House","Importadora","$11,564","+673.0%","6","+3","$1,927","$173,303","7"
"6","4","Happy Feet Two","Importadora","$7,433","-78.2%","33","-31","$225","$754,526","5"
"7","9","Contagion","Importadora","$512","-70.7%","5","-1","$102","$196,107","9"
"8","-","Bad Teacher","Sony","$460","-","3","-","$153","$111,509","11"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Puss in Boots","UIP","$356,065","-15.4%","52","-","$6,847","$1,172,173","2"
"2","2","New Year's Eve","Importadora","$64,627","-14.0%","32","-","$2,020","$176,790","2"
"3","3","Arthur Christmas","Sony","$53,839","-26.5%","41","-2","$1,313","$324,470","3"
"4","5","Happy Feet Two","Importadora","$34,156","-40.4%","64","-","$534","$735,425","4"
"5","N","Larry Crowne","n/a","$17,520","-","11","-","$1,593","$17,520","1"
"6","N","Paul","UIP","$16,525","-","16","-","$1,033","$16,525","1"
