" Movie Title"," Gross"
"Inception","$860,632"
"My Name is Khan","$517,018"
"Clash of the Titans (2010)","$505,075"
"Alice in Wonderland (2010)","$503,454"
"Knight & Day","$447,547"
"The Twilight Saga: Eclipse","$440,409"
"Toy Story 3","$435,046"
"Harry Potter and the Deathly Hallows (Part One)","$403,632"
"Robin Hood","$379,598"
"Prince of Persia: The Sands of Time","$345,819"
"Step Up 3-D","$333,928"
"Salt","$312,196"
"Iron Man 2","$300,567"
"The Book of Eli","$277,990"
"Shutter Island","$261,844"
"Valentine's Day","$261,047"
"Shrek Forever After","$254,350"
"Eat Pray Love","$245,414"
"The Bounty Hunter","$234,563"
"The Sorcerer's Apprentice","$213,654"
"How to Train Your Dragon","$206,943"
"Tangled","$203,308"
"Piranha 3D","$194,508"
"The Last Airbender","$192,167"
"The Wolfman","$183,357"
"From Paris with Love","$181,477"
"The Karate Kid","$179,558"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$177,171"
"Unstoppable","$172,819"
"Little Fockers","$164,770"
"Grown Ups","$158,395"
"Resident Evil: Afterlife","$156,129"
"Due Date","$155,505"
"A Nightmare on Elm Street (2010)","$149,076"
"Red","$147,519"
"Killers","$145,982"
"Despicable Me","$145,041"
"Life as We Know It","$140,932"
"Tron Legacy","$134,938"
"Megamind","$131,336"
"Old Dogs","$124,036"
"The Town","$121,332"
"It's Complicated","$120,687"
"Green Zone","$119,960"
"The A-Team","$110,507"
"Remember Me","$109,369"
"Percy Jackson & The Olympians: The Lightning Thief","$109,326"
"Date Night","$87,962"
"The Back-Up Plan","$86,148"
"The Other Guys","$82,815"
"Wall Street: Money Never Sleeps","$78,785"
"Up in the Air","$76,195"
"Nine","$74,434"
"The Social Network","$66,759"
"Devil","$63,709"
"Cats & Dogs: Revenge of Kitty Galore","$63,244"
"Did You Hear About the Morgans?","$61,799"
"Triangle","$61,346"
"Predators","$59,082"
"She's Out of My League","$54,380"
"When in Rome","$52,380"
"The Collector","$48,196"
"The Last Song","$46,322"
"Paranormal Activity 2","$46,001"
"Stag Night","$45,927"
"Dinner for Schmucks","$45,679"
"The Children","$44,088"
"Charlie St. Cloud","$39,507"
"Going the Distance","$37,718"
"Cop Out","$37,605"
"The American","$37,381"
"Ninja Assassin","$36,552"
"Splice","$35,241"
"Pandorum","$33,447"
"The Box","$30,904"
"Daybreakers","$30,719"
"Faster","$30,699"
"The Losers","$29,075"
"The Lovely Bones","$28,688"
"Brooklyn's Finest","$26,961"
"The Alphabet Killer","$26,854"
"Nanny McPhee and The Big Bang","$25,428"
"Repo Men","$23,561"
"Vertige","$22,200"
"Letters to Juliet","$22,143"
"Legend of the Guardians: The Owls of Ga'Hoole","$21,432"
"New York","$21,201"
"The Tournament","$19,088"
"The Ghost Writer","$15,575"
"Easy A","$14,919"
"Furry Vengeance","$11,640"
"How to Lose Friends and Alienate People","$10,515"
"You Again","$10,332"
"Scott Pilgrim vs. the World","$9,591"
"Takers","$9,478"
"Armored","$8,115"
"Franklyn","$7,773"
"Machete","$7,444"
"Santa's Apprentice","$6,763"
"The Joneses","$6,339"
"The Ugly Duckling and Me!","$5,631"
"Astro Boy","$5,626"
"Arthur et la vengeance de Maltazard","$847"
