" Movie Title"," Gross"
"Shrek Forever After","$499,121"
"Alice in Wonderland (2010)","$435,445"
"Despicable Me","$319,405"
"Inception","$290,062"
"Step Up 3-D","$279,294"
"Eat Pray Love","$240,662"
"Toy Story 3","$214,878"
"Harry Potter and the Deathly Hallows (Part One)","$210,781"
"How to Train Your Dragon","$210,449"
"Sex and the City 2","$197,175"
"The Twilight Saga: Eclipse","$178,052"
"Resident Evil: Afterlife","$161,964"
"Tron Legacy","$157,669"
"Saw 3D","$151,051"
"The Last Airbender","$145,903"
"The Princess and the Frog","$143,070"
"Sherlock Holmes","$140,176"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$135,310"
"Megamind","$133,373"
"Little Fockers","$127,718"
"The Social Network","$123,464"
"Prince of Persia: The Sands of Time","$122,173"
"The Bounty Hunter","$113,615"
"Shutter Island","$112,555"
"Robin Hood","$111,263"
"Clash of the Titans (2010)","$110,316"
"Valentine's Day","$107,958"
"OceanWorld 3D","$107,748"
"Due Date","$106,956"
"The Expendables","$103,817"
"It's Complicated","$101,462"
"Punane Elavhobe","$100,354"
"Salt","$95,440"
"Knight & Day","$94,574"
"The Sorcerer's Apprentice","$93,282"
"Wall Street: Money Never Sleeps","$91,770"
"Grown Ups","$85,469"
"The A-Team","$80,899"
"Iron Man 2","$77,051"
"The Other Guys","$67,269"
"Up in the Air","$66,853"
"Killers","$64,453"
"Cats & Dogs: Revenge of Kitty Galore","$62,684"
"Letters to Juliet","$59,247"
"Get Him to the Greek","$58,239"
"Date Night","$56,578"
"When in Rome","$55,323"
"Remember Me","$53,395"
"Black Lightning","$53,234"
"Nasha Russia: Yaytsa sudby","$50,705"
"Predators","$50,322"
"The Back-Up Plan","$47,801"
"Machete","$47,062"
"Red","$46,001"
"Unstoppable","$44,190"
"Did You Hear About the Morgans?","$43,499"
"Easy A","$41,155"
"Yolki","$40,389"
"Devil","$40,384"
"Vampires Suck","$40,366"
"A Nightmare on Elm Street (2010)","$38,669"
"The Karate Kid","$37,310"
"Leap Year","$36,502"
"The Switch","$35,574"
"Green Zone","$35,364"
"Hot Tub Time Machine","$32,902"
"The Book of Eli","$31,814"
"Percy Jackson & The Olympians: The Lightning Thief","$31,144"
"Tortuga - Die unglaubliche Reise der Meeresschildkröte (Turtle: The Incredible Journey)","$30,820"
"You Again","$30,090"
"Utomlyonnye solntsem 2 (Burnt by the Sun 2)","$29,829"
"She's Out of My League","$29,576"
"From Paris with Love","$29,112"
"Faster","$28,876"
"The Wolfman","$28,494"
"The Next Three Days","$27,308"
"The Nutcracker in 3D","$25,678"
"The Last Song","$25,625"
"I Love You, Phillip Morris","$22,974"
"Desert Flower","$22,720"
"Going the Distance","$22,544"
"Tucker & Dale vs Evil","$22,470"
"Daybreakers","$22,375"
"Lyubov v bolshom gorode 2 (Love in the Big City 2)","$21,811"
"The Town","$20,315"
"Coco avant Chanel","$18,275"
"You Will Meet a Tall Dark Stranger","$17,645"
"Splice","$16,952"
"Stone","$16,926"
"Poll (The Poll Diaries)","$16,189"
"Last Night","$15,809"
"Moomins and the Comet Chase","$15,365"
"The Lovely Bones","$14,226"
"Legion (2010)","$14,127"
"Skyline","$13,416"
"The Ghost Writer","$13,166"
"Edge of Darkness","$12,450"
"Chloe","$12,322"
"The Fourth Kind","$11,693"
"Centurion","$11,451"
"Kick Ass","$10,439"
"Scott Pilgrim vs. the World","$9,755"
"Furry Vengeance","$9,399"
"Phobos","$9,048"
"Space Dogs 3D","$8,721"
"13","$8,260"
"Let Me In","$8,120"
"Pettson, Findus ja mälukaotus","$7,600"
"Solomon Kane","$5,932"
"Buried","$5,403"
"The Runaways","$4,751"
"Brothers","$4,542"
"Everybody's Fine","$4,332"
"The Fantastic Mr. Fox","$4,260"
"It Might Get Loud","$4,126"
"The Crazies","$3,368"
"Hexe Lilli, der Drache und das magische Buch","$3,335"
"The Cove","$2,962"
"Agora (Mists of Time)","$2,525"
"The Losers","$2,274"
"Bad Lieutenant: Port of Call New Orleans","$1,813"
"The Killer Inside Me","$1,662"
