" Movie Title"," Gross"
"Napapiirin sankarit (Lapland Odyssey)","$4,727,362"
"Harry Potter and the Deathly Hallows (Part One)","$3,946,861"
"Alice in Wonderland (2010)","$3,794,730"
"Sex and the City 2","$3,652,754"
"Risto Räppääjä ja polkupyörävaras (Ricky Rapper and the Bicycle Thief)","$3,151,286"
"Inception","$3,130,570"
"Rare Exports: A Christmas Tale","$3,028,688"
"Prinsessa (2010)","$2,972,664"
"Shrek Forever After","$2,552,982"
"Toy Story 3","$2,542,922"
"The Twilight Saga: Eclipse","$1,997,451"
"Sisko tahtoisin jäädä (Run Sister Run!)","$1,636,669"
"Sherlock Holmes","$1,582,713"
"Despicable Me","$1,560,035"
"Veijarit (The Hustlers)","$1,351,732"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$1,191,088"
"The Expendables","$1,063,547"
"Robin Hood","$1,018,475"
"Shutter Island","$1,006,495"
"Jos rakastat (If You Love)","$912,617"
"The Princess and the Frog","$897,662"
"Megamind","$873,889"
"Täällä Pohjantähden alla 2 (Under the North Star 2)","$800,945"
"Clash of the Titans (2010)","$798,908"
"Iron Man 2","$796,554"
"Valentine's Day","$783,018"
"Knight & Day","$761,185"
"Due Date","$758,200"
"Prince of Persia: The Sands of Time","$755,081"
"Luftslottet som sprängdes (The Girl Who Kicked the Hornet's Nest)","$736,561"
"Eat Pray Love","$731,034"
"Wall Street: Money Never Sleeps","$702,769"
"Reindeerspotting - Pako joulumaasta","$654,990"
"Harjunpää ja pahan pappi (Priest of Evil)","$591,366"
"The Social Network","$561,246"
"Cats & Dogs: Revenge of Kitty Galore","$560,269"
"Love and Other Drugs","$534,234"
"Little Fockers","$519,046"
"Salt","$493,771"
"How to Train Your Dragon","$489,216"
"Resident Evil: Afterlife","$485,901"
"Miesten vuoro (Steam of Life)","$447,534"
"Tron Legacy","$440,400"
"Cloudy with a Chance of Meatballs","$438,337"
"The A-Team","$433,328"
"Saw 3D","$428,682"
"The Bounty Hunter","$421,958"
"Percy Jackson & The Olympians: The Lightning Thief","$411,289"
"Vesku from Finland","$408,805"
"Step Up 3-D","$402,144"
"Sammy's Adventures: The Secret Passage","$388,057"
"Date Night","$385,720"
"Moomins and the Comet Chase","$378,819"
"The Karate Kid","$362,093"
"Predators","$360,686"
"StreetDance 3D","$359,315"
"The Last Airbender","$355,025"
"Kick Ass","$345,328"
"Up in the Air","$329,326"
"Red","$312,864"
"Remember Me","$304,766"
"Paranormal Activity 2","$295,496"
"Jackass 3-D","$282,003"
"Precious: Based on the Novel "Push" by Sapphire","$265,570"
"The Men Who Stare at Goats","$261,592"
"Vampires Suck","$260,774"
"Desert Flower","$259,802"
"The Wolfman","$254,183"
"You Will Meet a Tall Dark Stranger","$249,154"
"The Sorcerer's Apprentice","$247,214"
"The Ghost Writer","$241,148"
"Planet 51","$229,683"
"Green Zone","$223,379"
"Mr. Nobody","$217,774"
"Did You Hear About the Morgans?","$203,724"
"Marmaduke","$196,970"
"Scott Pilgrim vs. the World","$184,854"
"Grown Ups","$178,447"
"The Kids Are All Right","$176,038"
"The Town","$175,358"
"Legend of the Guardians: The Owls of Ga'Hoole","$162,804"
"Los ojos de Julia (Julia's Eyes)","$162,215"
"Paha perhe (Bad Family)","$152,357"
"The American","$149,828"
"The Lovely Bones","$135,678"
"Killers","$129,441"
"De vrais mensonges (Full Treatment)","$127,309"
"The Switch","$123,816"
"Det enda rationella","$120,459"
"El secreto de sus ojos","$120,013"
"Buried","$119,288"
"Das Sandmännchen - Abenteuer im Traumland (The Sandman and the Lost Sand of Dreams)","$114,290"
"The Last Song","$109,500"
"The Other Guys","$109,094"
"Somewhere","$107,259"
"Edge of Darkness","$103,005"
"Zombieland","$102,393"
"Hævnen (In a Better World)","$98,821"
"The Blind Side","$97,275"
"Splice","$94,218"
"Machete","$92,699"
"Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom)","$91,752"
"Vähän kunnioitusta (Gimme Some Respect)","$89,099"
"Unstoppable","$87,756"
"Dear John","$86,770"
"She's Out of My League","$83,050"
"L'Heure d'été (Summer Hours)","$82,987"
"The Next Three Days","$77,469"
"Nanny McPhee and The Big Bang","$73,703"
"Nine","$72,971"
"Where the Wild Things Are","$69,880"
"A Nightmare on Elm Street (2010)","$67,918"
"Youth in Revolt","$67,532"
"I Love You, Phillip Morris","$66,187"
"A Prophet (Un prophète)","$64,073"
"Going the Distance","$57,993"
"Farsan","$57,895"
"A Single Man","$57,355"
"Mononoke-hime (Princess Mononoke)","$57,095"
"Piranha 3D","$54,231"
"When You're Strange","$48,676"
"Bad Lieutenant: Port of Call New Orleans","$48,120"
"Brooklyn's Finest","$47,147"
"Letters to Juliet","$46,889"
"Hot Tub Time Machine","$46,174"
"Invictus","$45,038"
"Devil","$44,830"
"Cop Out","$40,940"
"Four Lions","$39,761"
"Furry Vengeance","$39,655"
"Io sono l'amore (I Am Love)","$36,686"
"Brothers","$35,663"
"Kohtaamisia (Heartbeats)","$32,626"
"The Crazies","$32,372"
"Crazy Heart","$32,082"
"Submarino","$31,874"
"Daybreakers","$31,676"
"Les aventures extraordinaires d'Adèle Blanc-Sec (The Extraordinary Adventures of Adèle Blanc-Sec)","$29,502"
"From Paris with Love","$23,286"
"Soul Kitchen","$22,296"
"Hachiko: A Dog's Story","$20,157"
"The Box","$20,021"
"Get Low","$18,518"
"L'immortel (22 Bullets)","$17,983"
"Enter the Void","$16,358"
"La Rafle. (The Round-Up)","$14,244"
"Snabba Cash (Easy Money)","$12,635"
"Ninja Assassin","$11,195"
"Fair Game (2010)","$10,060"
"Armadillo","$9,934"
"Skyline","$8,509"
"The Last Exorcism","$7,190"
"Freetime Machos","$6,584"
"The White Ribbon","$6,098"
"Avatar: Special Edition","$6,017"
"Harry Brown","$4,405"
"Les amours imaginaires (Heartbeats)","$4,345"
"Micmacs à tire-larigot","$4,162"
"Leap Year","$2,283"
