" Movie Title"," Gross"
"Ratatouille","$65,645,333"
"Spider-Man 3","$54,590,623"
"Harry Potter and the Order of the Phoenix","$51,829,614"
"Pirates of the Caribbean: At World's End","$48,233,187"
"Shrek the Third","$44,217,699"
"La Môme (La Vie en Rose)","$42,651,334"
"Taxi 4","$33,342,703"
"The Simpsons Movie","$29,711,502"
"The Golden Compass","$25,517,238"
"I Am Legend","$25,045,319"
"Enchanted","$23,285,573"
"Le Renard et l'enfant (The Fox and the Child)","$20,686,126"
"Live Free or Die Hard","$20,248,492"
"Night at the Museum","$17,944,874"
"Ensemble, c'est tout (Hunting and Gathering)","$17,803,399"
"Transformers","$17,020,320"
"Le Coeur des hommes 2","$15,263,852"
"300","$13,900,000"
"Un secret (A Secret)","$13,879,672"
"Fantastic Four: Rise of the Silver Surfer","$13,871,113"
"Ocean's Thirteen","$13,200,000"
"Surf's Up","$13,062,666"
"The Bourne Ultimatum","$12,969,572"
"Bee Movie","$11,427,948"
"Earth (2007)","$11,200,000"
"Le Prix à payer","$10,788,079"
"American Gangster","$10,753,130"
"Das Leben der Anderen (The Lives of Others)","$10,752,848"
"99 francs","$10,337,943"
"Dialogue avec mon jardinier","$10,165,894"
"Rocky Balboa","$9,623,591"
"Persepolis","$9,468,449"
"Blood Diamond","$9,179,563"
"Zodiac","$9,085,082"
"Alvin and the Chipmunks","$8,877,529"
"La Graine et le mulet (The Secret of the Grain)","$8,620,554"
"Mr. Bean's Holiday","$8,429,598"
"Fracture","$8,306,643"
"Bridge to Terabithia","$8,256,208"
"Molière (2007)","$7,999,801"
"Contre-enquête","$7,834,362"
"We Own the Night","$7,702,066"
"Michou d'Auber","$7,651,511"
"The Pursuit of Happyness","$7,614,243"
"Ghost Rider","$7,574,756"
"Rush Hour 3","$7,188,624"
"Hitman","$6,953,533"
"Danse avec lui","$6,835,976"
"Eastern Promises","$6,811,877"
"Jacquou le croquant","$6,668,631"
"L'Auberge rouge","$6,509,058"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","$6,103,258"
"Pars vite et reviens tard (Seeds of Death)","$5,792,187"
"La Fille coupée en deux (A Girl Cut in Two)","$5,741,289"
"Odette Toulemonde","$5,692,704"
"Je crois que je l'aime","$5,678,683"
"Le Serpent","$5,651,157"
"L'Invité","$5,294,814"
"3 amis","$5,258,497"
"Music and Lyrics","$5,197,542"
"The Heartbreak Kid","$5,145,918"
"Saw IV","$5,100,000"
"Resident Evil: Extinction","$4,961,313"
"Grindhouse: Death Proof","$4,900,338"
"Michael Clayton","$4,884,686"
"Next","$4,723,056"
"Perfect Stranger","$4,650,952"
"Hannibal Rising","$4,595,566"
"Tous à l'Ouest: Une nouvelle aventure de Lucky Luke","$4,241,498"
"Die Drei Räuber","$4,211,384"
"Ce soir, je dors chez toi","$4,140,000"
"Stardust","$4,104,479"
"L'Heure zéro","$4,037,234"
"The Number 23","$3,992,691"
"Hairspray (2007)","$3,978,557"
"Le Deuxième souffle","$3,953,027"
"The Kingdom","$3,907,998"
"Auf der anderen Seite (Yasamin kiyisinda) (The Edge of Heaven)","$3,882,526"
"L'Ennemi intime","$3,874,611"
"Bikur Ha-Tizmoret (The Band's Visit)","$3,867,736"
"Demandez la permission aux enfants","$3,830,154"
"Sukkar banat (Caramel)","$3,806,854"
"Shooter","$3,802,681"
"The Good Shepherd","$3,780,623"
"Beowulf","$3,640,000"
"Barnyard: The Original Party Animals","$3,567,549"
"Cassandra's Dream","$3,529,457"
"Disturbia","$3,524,199"
"Les Deux mondes","$3,495,308"
"Apocalypto","$3,479,781"
"Meet the Robinsons","$3,422,149"
"L'Île aux Trésors","$3,408,400"
"My Blueberry Nights","$3,300,000"
"The Seeker: The Dark Is Rising","$3,242,992"
"Stomp the Yard","$3,211,381"
"Sunshine","$3,179,617"
"J'veux pas que tu t'en ailles","$3,168,411"
"Charlotte's Web","$3,129,196"
"Wild Hogs","$3,117,341"
"In the Valley of Elah","$3,014,308"
"Lions for Lambs","$2,998,698"
"Good Bye Bafana","$2,958,014"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)","$2,951,668"
"Ceux qui restent","$2,913,607"
"The Last King of Scotland","$2,904,357"
"Superbad","$2,893,656"
"Dreamgirls","$2,822,982"
"La Clef","$2,822,570"
"Gone Baby Gone","$2,781,336"
"Si c'était lui...","$2,713,655"
"Big City","$2,688,659"
"Détrompez-vous","$2,659,634"
"Pur week-end","$2,631,494"
"Le Premier cri","$2,596,678"
"Dinosaurs: Giants of Pantagonia","$2,550,944"
"The Assassination of Jesse James by the Coward Robert Ford","$2,522,292"
"Mr. Brooks","$2,492,724"
"28 Weeks Later","$2,475,457"
"Le Dernier gang","$2,469,846"
"Faut que ça danse!","$2,469,001"
"Les Témoins (The Witnesses)","$2,436,116"
"88 Minutes","$2,416,901"
"Actrices","$2,415,120"
"Le Scaphandre et le papillon (The Diving Bell and the Butterfly)","$2,399,100"
"The Hills Have Eyes 2","$2,361,263"
"Hellphone","$2,351,455"
"Happily N'Ever After","$2,330,580"
"Roman de gare","$2,293,387"
"Steak","$2,289,517"
"The Brave One","$2,227,950"
"La Vérité ou presque","$2,216,029"
"Truands","$2,208,617"
"Je déteste les enfants des autres","$2,186,729"
"Death at a Funeral","$2,174,809"
"La Tête de maman","$2,157,615"
"Epic Movie","$2,138,110"
"Les Chansons d'amour (Love Songs)","$2,136,942"
"Norbit","$2,128,671"
"Sicko","$2,036,068"
"No Reservations","$1,958,054"
"Le Fils de l'épicier (The Grocer's Son)","$1,927,778"
"The Illusionist","$1,920,541"
"Paranoid Park","$1,894,719"
"Knocked Up","$1,883,197"
"The Ugly Duckling and Me!","$1,874,383"
"The Last Legion","$1,791,820"
"Letters from Iwo Jima","$1,791,628"
"Alpha Dog","$1,781,149"
"Deep Sea 3-D (IMAX)","$1,745,432"
"2 Days in Paris","$1,739,660"
"Freedom Writers","$1,738,705"
"Evan Almighty","$1,686,367"
"Un baiser s'il vous plaît (Shall We Kiss?)","$1,673,943"
"WAR","$1,594,027"
"Très bien, merci","$1,585,807"
"The Reaping","$1,580,991"
