" Movie Title"," Gross"
"Madagascar: Escape 2 Africa","$45,925,782"
"Quantum of Solace","$40,739,699"
"Mamma Mia!","$39,040,538"
"Hancock","$39,008,160"
"Indiana Jones and the Kingdom of the Crystal Skull","$30,206,069"
"The Dark Knight","$29,669,980"
"Earth (2007)","$29,298,899"
"Sex and the City","$27,111,878"
"Kung Fu Panda","$25,866,121"
"I Am Legend","$25,290,675"
"Wall-E","$24,130,400"
"Die Welle (The Wave)","$23,620,131"
"Der Baader-Meinhof Komplex","$22,123,995"
"P.S. I Love You","$21,851,316"
"National Treasure: Book of Secrets","$18,646,685"
"High School Musical 3: Senior Year","$17,865,900"
"You Don't Mess with the Zohan","$17,732,656"
"Bienvenue chez les Ch'tis","$17,147,691"
"Australia","$16,239,240"
"The Mummy: Tomb of the Dragon Emperor","$16,137,978"
"1 1/2 Ritter - Auf der Suche nach der hinreißenden Herzelinde","$14,348,566"
"Dr. Seuss' Horton Hears a Who!","$13,914,992"
"Die Wilden Kerle 5","$13,250,133"
"Astérix aux jeux olympiques","$13,202,873"
"The Chronicles of Narnia: Prince Caspian","$13,108,900"
"Burn After Reading","$12,654,607"
"What Happens in Vegas","$11,844,131"
"Krabat","$11,826,472"
"Die Buddenbrooks","$11,422,762"
"Kirschblüten - Hanami (Cherry Blossoms)","$10,127,883"
"Inkheart","$10,112,691"
"Wanted","$9,207,537"
"Juno","$9,131,521"
"The Bucket List","$9,003,392"
"Step Up 2 the Streets","$8,959,609"
"Bedtime Stories","$8,873,264"
"10,000 B.C.","$8,871,023"
"Iron Man","$8,560,475"
"The Day the Earth Stood Still (2008)","$8,274,119"
"Die Geschichte vom Brandner Kaspar","$8,103,443"
"Sommer","$7,974,937"
"The Game Plan","$7,821,375"
"Freche Mädchen","$7,645,100"
"21","$7,622,140"
"Saw IV","$7,391,703"
"Meet the Spartans","$7,109,113"
"27 Dresses","$6,983,532"
"Nights in Rodanthe","$6,612,489"
"Rambo","$6,540,748"
"No Country for Old Men","$6,380,205"
"Vantage Point","$6,272,784"
"Jumper","$6,258,666"
"Get Smart","$5,745,900"
"Hellboy II: The Golden Army","$5,731,226"
"Die Rote Zora","$5,631,932"
"Superhero Movie","$5,529,622"
"Vicky Cristina Barcelona","$5,450,265"
"Body of Lies","$5,351,455"
"The Kite Runner","$5,300,155"
"Der Mondbär - Das grosse Kinoabenteuer","$4,807,831"
"Sweeney Todd: The Demon Barber of Fleet Street","$4,577,911"
"The Happening","$4,557,146"
"Forgetting Sarah Marshall","$4,524,552"
"Tropic Thunder","$4,429,024"
"Made of Honor","$4,318,556"
"Dodo (2007)","$4,138,755"
"Nim's Island","$4,074,404"
"Charlie Wilson's War","$4,060,021"
"Nordwand","$4,030,997"
"Wolke Neun","$3,874,417"
"Michael Clayton","$3,822,030"
"The Spiderwick Chronicles","$3,446,723"
"Babylon A.D.","$3,415,400"
"Eagle Eye","$3,379,769"
"The X-Files: I Want to Believe","$3,183,486"
"Recep Ivedik","$3,143,369"
"Urmel voll in Fahrt","$3,072,041"
"The Darjeeling Limited","$2,977,631"
