" Movie Title"," Gross"
"Avatar","$59,590"
"2012","$43,802"
"Angels & Demons","$43,414"
"The Proposal","$33,280"
"Sherlock Holmes","$32,109"
"Couples Retreat","$31,252"
"Harry Potter and the Half Blood Prince","$30,610"
"The Twilight Saga: New Moon","$25,102"
"Terminator Salvation: The Future Begins","$24,614"
"Ghosts of Girlfriends Past","$23,155"
"The Hangover","$22,365"
"Michael Jackson's This Is It","$22,224"
"X-Men Origins: Wolverine","$17,010"
"Alvin and the Chipmunks: The Squeakquel","$16,019"
"The Ugly Truth","$15,948"
"G-Force","$15,654"
"The Taking of Pelham One, Two, Three","$14,370"
"Ice Age: Dawn of the Dinosaurs","$13,817"
"Surrogates","$13,471"
"Night at the Museum: Battle of the Smithsonian","$13,090"
"Marley and Me","$12,957"
"The International","$12,463"
"Seven Pounds","$11,302"
"Up","$11,240"
"Bride Wars","$10,262"
"Year One","$10,116"
"Underworld: Rise of the Lycans","$9,939"
"District 9","$9,107"
"Bolt","$9,044"
"The Pink Panther 2","$8,560"
"The Princess and the Frog","$8,196"
"Inglourious Basterds","$7,487"
"The Time Traveler's Wife","$7,078"
"Valkyrie","$6,643"
"Zombieland","$5,864"
"12 Rounds","$5,795"
"Cloudy with a Chance of Meatballs","$5,348"
"Notorious (2009)","$5,288"
"Slumdog Millionaire","$5,268"
"G.I. Joe","$5,013"
"Love Aaj Kal","$4,944"
"Inkheart","$4,727"
"A Christmas Carol (2009)","$4,574"
"Street Fighter: The Legend of Chun-Li","$4,456"
"Dragonball Evolution","$4,293"
"Hannah Montana The Movie","$4,013"
"Gran Torino","$4,010"
"Doubt","$3,626"
"Race to Witch Mountain","$3,432"
"Julie & Julia","$2,960"
"Chandni Chowk to China","$2,939"
"My Sister's Keeper","$2,848"
"Confessions of a Shopaholic","$2,794"
"Transformers: Revenge of the Fallen","$2,572"
"Fame (2009)","$2,349"
"Yes Man","$2,278"
"The Curious Case of Benjamin Button","$2,226"
"Paul Blart: Mall Cop","$2,163"
"Aa Dekhen Zara","$2,119"
"Australia","$1,656"
"Bedtime Stories","$1,226"
"Shortkut - The Con Is On","$1,174"
"High School Musical 3: Senior Year","$305"
