" Movie Title"," Gross"
"Mamma Mia!","$7,394,659"
"Astérix aux jeux olympiques","$4,613,015"
"Molis horisa (Just Broke Up)","$4,587,030"
"Loufa kai apallagi - I4","$4,580,564"
"Bank Bang","$4,131,680"
"Quantum of Solace","$4,033,157"
"The Dark Knight","$3,807,925"
"Madagascar: Escape 2 Africa","$3,332,259"
"I Am Legend","$3,245,220"
"Indiana Jones and the Kingdom of the Crystal Skull","$3,039,531"
"O Ilias tou 16ou","$2,921,764"
"Sex and the City","$2,736,069"
"Vicky Cristina Barcelona","$2,677,884"
"To Gamilio party","$2,297,104"
"Atonement","$2,240,113"
"Kung Fu Panda","$2,114,577"
"Wanted","$2,080,360"
"National Treasure: Book of Secrets","$2,017,100"
"Afstiros katallilo","$1,986,772"
"10,000 B.C.","$1,825,458"
"Sweeney Todd: The Demon Barber of Fleet Street","$1,811,007"
"Iron Man","$1,799,601"
"Burn After Reading","$1,627,872"
"Righteous Kill","$1,605,060"
"Wall-E","$1,586,542"
"Changeling","$1,574,374"
"No Country for Old Men","$1,573,989"
"Hancock","$1,541,283"
"The Chronicles of Narnia: Prince Caspian","$1,510,214"
"Journey to the Center of the Earth","$1,504,034"
"Australia","$1,407,115"
"Step Up 2 the Streets","$1,363,571"
"Body of Lies","$1,295,910"
"You Don't Mess with the Zohan","$1,267,165"
"21","$1,254,010"
"Get Smart","$1,180,400"
"There Will Be Blood","$1,147,969"
"Charlie Wilson's War","$1,082,248"
"The Day the Earth Stood Still (2008)","$1,015,441"
"Tropic Thunder","$1,011,389"
"What Happens in Vegas","$969,061"
"High School Musical 3: Senior Year","$899,400"
"The Bucket List","$884,268"
"Before the Devil Knows You're Dead","$876,347"
"Saw V","$872,039"
"Jumper","$844,093"
"The Mummy: Tomb of the Dragon Emperor","$840,407"
"The Incredible Hulk","$833,969"
"Vantage Point","$833,881"
"Die Welle (The Wave)","$813,804"
"Fool's Gold","$787,307"
"Rambo","$764,957"
"Bedtime Stories","$758,382"
"Superhero Movie","$745,246"
"The Happening","$673,005"
"Dr. Seuss' Horton Hears a Who!","$663,985"
"Max Payne","$579,228"
"Entre les murs (The Class)","$575,050"
"Auf der anderen Seite (Yasamin kiyisinda) (The Edge of Heaven)","$573,165"
"Meet the Spartans","$571,990"
"The Other Boleyn Girl","$569,998"
"Nights in Rodanthe","$566,280"
"The Spirit","$564,916"
"The X-Files: I Want to Believe","$558,284"
"Juno","$514,809"
"In Bruges","$509,987"
"Fly Me to the Moon","$507,799"
"Alien vs. Predator - Requiem","$477,348"
"Pride & Glory","$456,894"
"The Strangers","$428,837"
"RockNRolla","$408,375"
"P.S. I Love You","$403,540"
"Four Christmases","$399,072"
"Doomsday","$397,893"
"Happy-Go-Lucky","$385,167"
"Mirrors","$356,096"
"Street Kings","$349,620"
"Tous à l'Ouest: Une nouvelle aventure de Lucky Luke","$337,942"
"Made of Honor","$335,631"
"27 Dresses","$334,888"
"Eagle Eye","$333,529"
"The Assassination of Jesse James by the Coward Robert Ford","$333,234"
"Gomorra","$332,145"
"Funny Games","$330,867"
"3:10 to Yuma (2007)","$318,576"
"The Accidental Husband","$318,088"
"Igor","$303,330"
"Hellboy II: The Golden Army","$302,858"
"Breakfast at Tiffany's (1961) (Re)","$302,285"
"Untraceable","$298,495"
"Death Race","$281,836"
"Meet Dave","$280,810"
"In Search of a Midnight Kiss","$267,156"
"Three Monkeys","$253,478"
"Cloverfield","$242,869"
"Der Baader-Meinhof Komplex","$241,562"
"The Spiderwick Chronicles","$226,783"
"Scar","$226,247"
"My Mom's New Boyfriend (a.k.a. Homeland Security)","$212,154"
"Forgetting Sarah Marshall","$208,778"
"My Best Friend's Girl","$207,450"
"Deception (2008)","$203,846"
"Death Defying Acts","$196,557"
"Wedding Daze","$196,139"
"Disaster Movie","$195,185"
"Gone Baby Gone","$193,330"
"Swing Vote","$179,116"
"The Life Before Her Eyes","$174,738"
"It's a Free World...","$173,020"
"The Bank Job","$171,255"
"The Game Plan","$169,329"
"Into the Wild","$166,853"
"Shutter","$166,439"
"Bangkok Dangerous (2008)","$163,746"
"Awake","$160,764"
"Blindness","$154,481"
"Nim's Island","$153,626"
"Definitely, Maybe","$147,807"
"The Women (2008)","$144,837"
"Elegy","$143,367"
"Bananas (1971) (Re)","$136,200"
"Il Divo","$135,613"
"Rear Window (1954) (Re) (2008)","$134,543"
"Zack and Miri Make a Porno","$132,932"
"Be Kind, Rewind","$132,771"
"Kala krymmena mystika, Athanasia","$125,827"
"Le Renard et l'enfant (The Fox and the Child)","$124,934"
"Sex Drive","$115,659"
"Sleuth (2007)","$113,256"
"Mad Money","$111,100"
"Mr. Magorium's Wonder Emporium","$102,406"
"Manhattan (Re)","$100,675"
"The Apartment (1960) (Re) (2008)","$98,700"
"Plein soleil (1960) (Re)","$98,030"
"[Rec]","$95,758"
"Speed Racer","$93,704"
"City of Ember","$92,561"
"L'Heure zéro","$91,569"
"Death Sentence","$90,180"
"Le Silence de lorna (Lorna's Silence)","$87,777"
"The Darjeeling Limited","$86,566"
"Reservation Road","$86,445"
"Irina Palm","$85,824"
"Die Fälscher (The Counterfeiters)","$84,226"
"Kilómetro 31","$83,150"
"U2 3D","$81,675"
"La Graine et le mulet (The Secret of the Grain)","$81,555"
"Hunger (2008)","$78,788"
"Then She Found Me","$75,796"
"The Eye","$74,787"
"Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972) (Re)","$73,775"
"Brideshead Revisited","$73,639"
"Le Grand alibi","$70,404"
"Il y a longtemps que je t'aime (I've Loved You So Long)","$69,088"
"The Ruins","$68,770"
"Soy Cuba","$67,546"
"Genova","$66,380"
"I'm Not There","$65,743"
"Deep End","$62,966"
"Sukkar banat (Caramel)","$58,588"
"Etz Limon (Lemon Tree)","$56,183"
"The Forbidden Kingdom","$55,122"
"Mrs. Ratcliffe's Revolution","$54,332"
"Reflections in a Golden Eye (1967) (Re)","$53,459"
"Faubourg 36 (Paris 36)","$52,697"
"The Mutant Chronicles","$51,959"
"Star Wars: The Clone Wars","$49,413"
"Angel (2007)","$46,932"
"Feast of Love","$44,976"
"An American Crime","$43,520"
"Night and the City (1950) (Re)","$43,024"
"The Kite Runner","$41,914"
"Tropa de Elite (Elite Squad)","$39,736"
"Mon oncle d'Amérique (1980) (Re)","$38,465"
"Klopka (The Trap)","$38,115"
"Il Conformista (The Conformist) (1970) (Re)","$37,183"
"Midnight Meat Train","$37,113"
"King of California","$36,681"
"Annie Hall (1977) (Re)","$35,753"
"Mourir à 30 ans (1982) (Re)","$35,753"
"La Zona","$35,582"
"Tanin no kao (1966) (Re)","$35,185"
"Yella","$34,848"
"La Fille coupée en deux (A Girl Cut in Two)","$34,466"
"Miss Pettigrew Lives for a Day","$34,075"
"Klute (1971) (Re)","$34,050"
"Picnic at Hanging Rock (1975) (Re)","$32,779"
"Ca$h","$31,496"
"W.","$30,742"
"Fireflies in the Garden","$30,733"
"This Is England","$30,448"
"Otoshiana (1962) (Re)","$30,078"
"Flashbacks of a Fool","$29,021"
"Paris (2008)","$28,352"
"Athina - Konstadinoupoli","$27,525"
"Je t'aime moi non plus (1976) (Re)","$24,539"
"In the Name of the King: A Dungeon Siege Tale","$24,264"
"Boy A","$23,542"
"Manuale d'amore 2 (Capitoli successivi)","$23,211"
"Caos calmo (Quiet Chaos)","$22,836"
"Tau ming chong (The Warlords)","$22,570"
"Grace Is Gone","$22,299"
"Kirschblüten - Hanami (Cherry Blossoms)","$21,791"
"Traitor","$20,941"
"Kurz und schmerzlos","$20,244"
"Cztery noce z Anna","$19,642"
"L'Âge des ténèbres","$19,455"
"The Wackness","$19,014"
"The Missouri Breaks (1976) (Re)","$18,523"
"Rescue Dawn","$18,186"
"Shine a Light","$17,707"
"Onna ga kaidan wo agaru toki (When a Women Ascends the Stairs) (1960) (Re)","$17,670"
"Mio fratello è figlio unico (My Brother Is an Only Child)","$17,429"
"Cidade dos Homens (City of Men)","$16,559"
"Enfin veuve","$16,045"
"Lars and the Real Girl","$15,960"
"Exomologiseis enos oikonomikou dolofonou","$15,917"
"La Antena","$15,246"
"While She Was Out","$14,891"
"Enas iroas...sti Romi","$14,755"
"Celui qui doit mourir (1957) (Re)","$14,568"
"Smother","$14,441"
"Ivanovo detstvo (1962) (Re)","$14,135"
"Les Femmes de l'ombre (Female Agents)","$14,066"
"Gruz 200 (Cargo 200)","$13,631"
"Le Voyage du ballon rouge (The Flight of the Red Balloon)","$13,526"
"Alice in den Städten (Alice in the Cities) (1974) (Re)","$13,234"
"Vratné lahve","$12,431"
"Zabriskie Point (1970) (Re)","$12,012"
"Son of Rambow","$11,725"
"The Black Balloon","$11,162"
"Utomlyonnye solntsem (1994) (Re)","$11,123"
"Un conte de Noël (A Christmas Tale)","$11,089"
"Flash of Genius","$11,010"
"La Misma luna (Under the Same Moon)","$10,035"
"Oi Paranomoi (1958) (Re)","$9,793"
"Judgment at Nuremberg (1961) (Re)","$9,080"
"10:30 P.M. Summer (1966) (Re)","$8,529"
"AFR","$8,513"
"Diorthosi (Correction)","$8,168"
"O Ano em que Meus Pais Saíram de Férias (The Year My Parents Went on Vacation)","$7,652"
"Beynelmilel","$7,487"
"Tuya de hun shi (Tuya's Marriage)","$7,166"
"Mýrin (Jar City)","$7,163"
"Tale 52","$7,123"
"L'Ennemi intime","$6,924"
"L'Empreinte de l'ange","$6,806"
"Youth Without Youth","$6,708"
"Les Chansons d'amour (Love Songs)","$6,186"
"Eyforiya (Euphoria)","$5,857"
"P.V.C.-1","$5,789"
"Om Gud vill","$5,732"
"Zuo you","$5,153"
"O'Horten","$5,073"
"Hamlet 2","$4,988"
"Day Night / Day Night","$4,077"
"Ben X","$4,075"
"Madeinusa","$3,973"
"Le Premier cri","$3,734"
"Film Noir","$3,677"
"Like Minds","$3,632"
"Roman Polanski: Wanted and Desired","$3,523"
"The Baker","$3,405"
"Sous les bombes","$3,267"
"Actrices","$3,259"
"O Casamento de Romeu e Julieta","$3,218"
"Kunsten å tenke negativt (The Art of Negative Thinking)","$2,803"
"Avaze gonjeshk-ha (The Song of Sparrows)","$2,409"
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour","$2,225"
"Mister Lonely","$2,179"
"American Teen","$2,178"
"Chiko","$2,100"
"Ulzhan","$2,041"
"När mörkret faller (When Darkness Falls)","$2,008"
"London to Brighton","$1,771"
"Bushi no ichibun (Love and Honor)","$1,600"
"Mystika kai psemata","$773"
"Malos hábitos (Bad Habits)","$738"
"Introducing the Dwights (a.ka.  Clubland)","$670"
"Voleurs de chevaux","$636"
