" Movie Title"," Gross"
"Spider-Man 3","$7,202,197"
"Harry Potter and the Order of the Phoenix","$6,650,517"
"Si jie (Lust, Caution)","$6,249,342"
"Pirates of the Caribbean: At World's End","$5,353,051"
"Transformers","$5,182,819"
"Night at the Museum","$4,895,815"
"Tau ming chong (The Warlords)","$3,577,262"
"Moon to (Protégé)","$3,395,447"
"Ratatouille","$3,250,746"
"Mr. Bean's Holiday","$2,870,460"
"I Am Legend","$2,791,588"
"Shrek the Third","$2,757,750"
"Fantastic Four: Rise of the Silver Surfer","$2,414,398"
"Live Free or Die Hard","$2,391,659"
"National Treasure: Book of Secrets","$2,263,496"
"300","$1,963,536"
"Alien vs. Predator - Requiem","$1,916,003"
"The Golden Compass","$1,897,656"
"Bu neng shuo de. mi mi (Secret)","$1,858,235"
"Nan er ben se (Invisible Target)","$1,689,135"
"Ocean's Thirteen","$1,566,989"
"Sup fun oi (Love Is Not All Around)","$1,557,958"
"Evan Almighty","$1,478,372"
"Hing dai (Brothers)","$1,449,529"
"Sun taam (Mad Detective)","$1,422,003"
"Resident Evil: Extinction","$1,389,420"
"The Simpsons Movie","$1,334,093"
"The Holiday","$1,254,680"
"Hei wong ji wong (Simply Actors)","$1,193,632"
"Mui dong bin wan si (Hooked on You)","$1,187,574"
"Dou fo sin (Flash Point)","$1,155,613"
"The Bourne Ultimatum","$1,151,946"
"Beowulf","$1,134,834"
"Blood Diamond","$1,119,267"
"Rush Hour 3","$1,057,751"
"Sum seung si sing (It's a Wonderful Life)","$999,005"
"Sun yat fai lok (Happy Birthday)","$959,251"
"Ghost Rider","$847,264"
"Music and Lyrics","$803,438"
"Bee Movie","$802,078"
"Seung chi sun tau (Twins Mission)","$793,102"
"Meet the Robinsons","$762,828"
"The Pursuit of Happyness","$744,209"
"C+ jing taam (The Detective)","$709,621"
"The Heartbreak Kid","$703,961"
"Tie saam gok (Triangle)","$701,677"
"Tôkyô tawâ: Okan to boku to, tokidoki, oton (Tokyo Tower)","$680,406"
"The Reaping","$650,490"
"1408","$619,546"
"Chung oi (In Love with the Dead)","$616,889"
"Chô Gekijôban Keroro Gunsô 2: Shinkai no Princess de Arimasu! (Sergeant Keroro Movie 2: The Deep Sea Princess) (2007)","$598,728"
"Stardust","$588,396"
"Charlotte's Web","$584,471"
"Alvin and the Chipmunks","$571,180"
"28 Weeks Later","$564,365"
"Hero (2007)","$563,626"
"Open Season","$563,596"
"The Queen","$562,448"
"Deja Vu","$544,497"
"Gun chung (Eye in the Sky)","$529,499"
"Hairspray (2007)","$522,121"
"The Invasion","$505,062"
"TMNT","$502,664"
"Mi-nyeo-neun Gwae-ro-wo (200 Pounds Beauty)","$488,715"
"Babel","$481,999"
"Por see yee (Trivial Matters)","$473,914"
"The Messengers","$470,335"
"I Now Pronounce You Chuck and Larry","$466,837"
"Sunshine","$460,847"
"Saw IV","$455,172"
"Alone (2007)","$451,580"
"Perfume - The Story of a Murderer","$447,714"
"Lik goo lik goo dui dui pong (House of Mahjong)","$427,894"
"Cheut ai kup gei (The Exodus)","$419,926"
"Rocky Balboa","$412,456"
"Ci qing (Spider Lilies)","$406,003"
"Lions for Lambs","$404,035"
"Sum yuen (Forest of Death)","$402,950"
"Beauty and the 7 Beasts","$395,716"
"Lo kong ching chuen (Mr. Cinema)","$393,361"
"The Nanny Diaries","$391,195"
"WAR","$349,304"
"30 Days of Night","$348,888"
"Tim sum fun si wong (Super Fans)","$348,427"
"The Kingdom","$336,815"
"Jeuk sing 3 gi ji mor saam bak faan (Kung Fu Mahjong 3: The Final Duel)","$322,759"
"Norbit","$321,701"
"Atonement","$317,816"
"Nana 2","$316,162"
"No Reservations","$315,455"
"Epic Movie","$312,436"
"Gong tau","$295,326"
"Bong ga (Kidnap)","$294,148"
"Shooter","$292,252"
"The Brave One","$291,708"
"Disturbia","$282,000"
"Flags of Our Fathers","$274,695"
"Amazing Grace","$274,465"
"Dan sun bo lok (Single Blog)","$272,223"
"Hannibal Rising","$262,231"
"Hup yeu ching yan (Contract Lover)","$258,770"
"Dei yuk dai sup gau tsang (Naraka 19)","$250,138"
"Underdog","$249,287"
"Limit of Love: Umizaru","$233,101"
"Feast","$225,140"
"Hors de prix (Priceless)","$224,592"
"Primeval","$223,219"
"Dreamgirls","$223,165"
"Bullet & Brain","$220,284"
"Zodiac","$218,297"
"Doraemon: Nobita no kyôryû (2006)","$216,864"
"Nui yan boon sik (Wonder Woman)","$216,318"
"Grindhouse: Planet Terror","$215,485"
"Baohulu de mimi (The Secret of the Magic Gourd)","$214,033"
"The Lady Iron Chef","$213,067"
"Michael Clayton","$210,145"
"Fracture","$209,612"
"Maeumi... (Hearty Paws)","$204,182"
"Happily N'Ever After","$192,147"
"Yi ma de hou xian dai sheng huo (The Postmodern Life of My Aunt)","$183,716"
"Toki wo kakeru shôjo (The Girl Who Lept Through Time)","$179,522"
"El Laberinto del Fauno (Pan's Labyrinth)","$179,074"
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","$176,065"
"The Painted Veil","$166,434"
"Ye. leung heun (The Pye-Dog)","$159,503"
"Next","$156,667"
"Letters from Iwo Jima","$153,385"
"Apocalypto","$151,967"
"2 Days in Paris","$148,659"
"Cashback","$148,350"
"Saibogujiman kwenchana (I'm a Cyborg, But That's OK)","$148,309"
"Das Leben der Anderen (The Lives of Others)","$147,453"
"Premonition","$140,460"
"Taiyo no uta (Midnight Sun)","$138,336"
"Bridge to Terabithia","$135,786"
"Marie Antoinette","$135,570"
"Hau mo chu (The Haunted School)","$134,866"
"Arthur et les Minimoys (Arthur and the Invisibles)","$123,859"
"Ming Ming","$121,444"
"Tian tang kou (Blood Brothers)","$120,373"
"Because I Said So","$118,288"
"The Hitcher (2007)","$117,987"
"Miss Potter","$115,738"
"Nada sô sô","$113,706"
"Prey (2007)","$111,890"
"Becoming Jane","$107,700"
"Surf's Up","$105,904"
"Zwartboek (Black Book)","$97,887"
"Feast of Love","$97,450"
"Wedding Daze","$96,961"
"Breaking and Entering","$93,226"
"Knocked Up","$91,219"
"Shoot 'Em Up","$90,936"
"The Flock","$90,927"
"Hatsukoi no yuki: Virgin Snow","$89,388"
"Persepolis","$86,858"
"Sing kung chok tse sup yut tam (Whispers and Moans)","$86,463"
"La Môme (La Vie en Rose)","$81,966"
"Halloween (2007)","$75,645"
"The Last Mimzy","$75,434"
"Tada, kimi wo aishiteru (Heavenly Forest)","$73,357"
"Eastern Promises","$71,052"
"Sparkling Red Star","$69,247"
"Dororo","$69,116"
"Sing see (Dancing Lion)","$68,862"
"Sheng xia guang nian (Eternal Summer)","$67,960"
"Conversations with God","$66,266"
"Evening","$64,602"
"The Return","$63,603"
"Wild Hogs","$62,523"
"Grindhouse: Death Proof","$62,237"
"Silk","$60,370"
"Captivity","$54,488"
"Tai yang zhao chang sheng qi (The Sun Also Rises)","$50,276"
"Bushi no ichibun (Love and Honor)","$47,861"
"Meitantei Conan: Konpeki no hitsugi (Detective Conan: Jolly Roger in the Deep Azure) (2007)","$44,231"
"Zhan. gu (The Drummer)","$43,484"
"Apartment 1303","$39,413"
"Milyang (Secret Sunshine)","$37,724"
"Luo ye gui gen (Getting Home)","$36,472"
"Cheongchun-manhwa (Almost Love)","$35,452"
"Summer's Tail","$34,530"
"Mor suit nam (Magic Boy)","$31,794"
"Rough","$31,752"
"Death Sentence","$29,019"
"Ashita no kioku (Memories of Tomorrow)","$27,115"
"Arang","$26,220"
"Hula gâru (Hula Girls)","$23,868"
"Aoki Ôkami: chi hate umi tsukiru made (Genghis Khan: To the Ends of the Earth and Sea)","$23,738"
"Tekkon kinkreet","$23,705"
"Mang shan (Blind Mountain)","$23,451"
"Who's Next?","$21,940"
"Xin zhong you gui (The Matrimony)","$21,097"
"Ping guo (Lost in Beijing)","$20,516"
"Mein Führer - Die wirklich wahrste Wahrheit über Adolf Hitler","$17,277"
"The Number 23","$15,858"
"Just Follow Law: Wo zai zheng fu bu men de ri zi","$15,728"
"Niji no megami (Rainbow Song)","$15,477"
"Sakebi (Retribution)","$13,655"
"Wu Qingyuan (The Go Master)","$12,298"
"Soom (Breath)","$12,236"
"Hachimitsu to Clover (Honey & Clover)","$11,924"
"Anna & Anna","$9,661"
"Chacun son cinéma ou Ce petit coup au coeur quand la lumière s'éteint et que le film commence","$9,533"
"Vexille","$8,969"
"Udon","$8,212"
"Byousoku 5 senchimeetoru","$7,525"
"Tegami (The Letter)","$7,476"
"Tokyo Friends: The Movie","$6,954"
"Renaissance","$5,000"
"Wonderful Woman","$4,005"
"Kung Fu Fighter","$3,511"
"Jopog manura 3 (My Wife Is a Gangster 3)","$1,813"
"Brave Story","$1,641"
"Gei sun yan (Sweet Revenge)","$340"
