" Movie Title"," Gross"
"Harry Potter and the Deathly Hallows (Part Two)","$3,379,099"
"Pirates of the Caribbean: On Stranger Tides (3D)","$2,665,375"
"Transformers 3","$2,184,687"
"The Hangover Part II","$2,044,993"
"Cars 2","$1,543,177"
"Puss in Boots","$1,493,552"
"The Smurfs","$1,353,183"
"Rio","$1,314,101"
"The Twilight Saga: Breaking Dawn Part 1","$1,193,692"
"Kung Fu Panda 2","$1,185,878"
"Just Go With It","$995,436"
"Horrible Bosses","$989,704"
"The King's Speech","$927,154"
"In Time","$904,823"
"Fast Five","$842,422"
"Yogi Bear","$825,092"
"Thor","$744,824"
"Mission: Impossible - Ghost Protocol","$717,127"
"Happy Feet Two","$625,068"
"Rango","$594,935"
"Immortals","$570,563"
"New Year's Eve","$555,337"
"Hall Pass","$543,703"
"Johnny English Reborn","$543,077"
"Mr. Popper's Penguins","$524,149"
"Zookeeper","$519,290"
"Love and Other Drugs","$516,873"
"Bad Teacher","$510,133"
"Captain America: The First Avenger","$505,909"
"Jack and Jill","$503,226"
"Final Destination 5","$496,463"
"No Strings Attached","$494,724"
"Winnie the Pooh","$446,010"
"Friends with Benefits","$440,665"
"X-Men: First Class","$437,623"
"Real Steel","$415,424"
"Arthur Christmas","$406,396"
"Crazy, Stupid, Love.","$405,016"
"Gulliver's Travels","$402,048"
"Black Swan","$392,121"
"Drive Angry","$389,740"
"The Dilemma","$389,450"
"The Next Three Days","$389,450"
"Battle: Los Angeles","$382,619"
"Tower Heist","$355,433"
"Super 8","$354,222"
"Alvin and the Chipmunks: Chipwrecked","$328,328"
"Rise of the Planet of the Apes","$326,365"
"The Adjustment Bureau","$325,229"
"Dolphin Tale","$323,073"
"Unknown","$309,755"
"Limitless","$301,244"
"Contagion","$296,332"
"Gnomeo and Juliet","$287,307"
"Big Mommas: Like Father, Like Son","$286,269"
"Something Borrowed","$265,324"
"Green Lantern","$257,011"
"Source Code","$249,153"
"The Rite","$247,472"
"Spy Kids: All the Time in the World","$247,347"
"The Darkest Hour","$242,641"
"The Green Hornet","$236,863"
"Bridesmaids","$236,099"
"I Am Number Four","$233,164"
"The Adventures of Tintin","$230,558"
"Larry Crowne","$228,167"
"The Lincoln Lawyer","$225,864"
"The Change-Up","$218,306"
"Priest","$214,247"
"Cowboys & Aliens","$205,154"
"Sucker Punch","$190,907"
"Drive (2011)","$190,190"
"Mars Needs Moms","$179,846"
"S.O.S Love! - The Million Dollar Contract","$179,154"
"Abduction","$170,881"
"The Three Musketeers (2011)","$168,522"
"Morning Glory","$155,645"
"Red Riding Hood","$139,965"
"Season of the Witch","$138,213"
"Killer Elite","$135,147"
"Midnight in Paris","$131,556"
"Intouchables","$126,380"
"Paranormal Activity 3","$115,720"
"You Will Meet a Tall Dark Stranger","$114,276"
"True Grit","$112,220"
"One Day","$112,126"
"Fright Night (2011)","$111,361"
"Hop","$104,009"
"I Don't Know How She Does It","$103,431"
"The Rum Diary","$97,203"
"Conan the Barbarian (2011)","$94,246"
"The Mechanic","$75,394"
"The Skin I Live In","$70,856"
"Piranha 3D","$69,999"
"Dream House","$67,993"
"How Do You Know","$59,088"
"The Thing (2011)","$54,445"
"Scream 4","$53,605"
"Hanna","$45,556"
"Paul","$37,360"
"Chloe","$36,095"
"Sanctum (3D)","$33,847"
"127 Hours","$32,475"
"Faster","$32,055"
"From Paris with Love","$31,285"
"London Boulevard","$29,388"
"The Eagle","$27,656"
"Moneyball","$21,065"
"Colombiana","$20,461"
"The Help","$20,158"
"Machine Gun Preacher","$18,387"
"The Double","$17,276"
"Never Let Me Go","$17,075"
"The Debt","$16,835"
"A kaland","$15,468"
"De vrais mensonges (Full Treatment)","$15,203"
"50/50","$6,013"
